Time [yyyy-MM-dd HH:mm:ss];ObservationPoint4: Water level at (PanKan2_B_B_ 3058_477)_ Flow1D [m AD];ObservationPoint6: Water level at (Nederrijn1_ 502)_ Flow1D [m AD];ObservationPoint5: Water level at (IJssel01_ 0)_ Flow1D [m AD];50909ObsUS: Water level at (Waal2_B_A_A_A_ 6292_695)_ Flow1D [m AD];50906ObsUS: Water level at (Waal3_A_ 691_776)_ Flow1D [m AD];889.00_WA: Water level at (Waal3_B_B_A_ 200_736)_ Flow1D [m AD];905.00_WA: Water level at (Waal3_B_B_B_ 334_729)_ Flow1D [m AD];50922ObsUS: Water level at (Waal4_A_ 2996)_ Flow1D [m AD];50930ObsUS: Water level at (Waal5_A_ 4993)_ Flow1D [m AD];938.00_WA: Water level at (Waal5_B_B_A_ 721_827)_ Flow1D [m AD];946.00_WA: Water level at (Waal5_B_B_B_A_ 332_373)_ Flow1D [m AD];51021ObsUS: Water level at (Waal5_B_B_B_A_ 5597_94)_ Flow1D [m AD];953.00_WA: Water level at (Waal6_A_ 499)_ Flow1D [m AD];51043ObsUS: Water level at (Waal6_A_ 2732_459)_ Flow1D [m AD];956.00_WA: Water level at (Waal6_B_A_ 762_541)_ Flow1D [m AD];957.00_WA: Water level at (Waal6_B_B_A_ 704_149)_ Flow1D [m AD];960.00_WA: Water level at (Waal6_B_B_B_B_B_ 0)_ Flow1D [m AD]
24-01-00 20:00;12.476;12.417;12.476;12.722;12.36;12.163;10.278;8.9868;7.0618;6.2127;4.6101;3.9328;3.7093;3.5255;3.4053;3.2085;2.8442
24-01-00 21:00;12.458;12.399;12.458;12.707;12.347;12.151;10.27;8.974;7.0498;6.2032;4.5968;3.9204;3.6944;3.5104;3.3911;3.1951;2.8318
24-01-00 22:00;12.441;12.382;12.441;12.692;12.334;12.138;10.261;8.9613;7.0378;6.1936;4.5839;3.9083;3.6799;3.4955;3.3771;3.1819;2.8195
24-01-00 23:00;12.423;12.364;12.423;12.677;12.321;12.126;10.253;8.9487;7.0259;6.184;4.5713;3.8965;3.6656;3.4808;3.3632;3.1689;2.8073
25-01-00 00:00;12.406;12.347;12.406;12.661;12.307;12.113;10.245;8.9361;7.014;6.1742;4.5589;3.885;3.6517;3.4663;3.3495;3.1559;2.7951
25-01-00 01:00;12.389;12.33;12.389;12.646;12.294;12.1;10.237;8.9237;7.0022;6.1642;4.5467;3.8737;3.638;3.452;3.3358;3.1431;2.783
25-01-00 02:00;12.372;12.313;12.372;12.63;12.28;12.087;10.229;8.9113;6.9902;6.1541;4.5347;3.8626;3.6245;3.4378;3.3223;3.1303;2.771
25-01-00 03:00;12.355;12.296;12.355;12.614;12.266;12.074;10.221;8.8989;6.9782;6.1438;4.5229;3.8517;3.6112;3.4236;3.3088;3.1176;2.759
25-01-00 04:00;12.338;12.28;12.338;12.598;12.252;12.061;10.214;8.8867;6.9662;6.1333;4.5112;3.8409;3.5981;3.4095;3.2953;3.1049;2.7469
25-01-00 05:00;12.321;12.263;12.321;12.582;12.238;12.048;10.206;8.8744;6.9542;6.1226;4.4996;3.8302;3.5853;3.3955;3.2818;3.0922;2.7349
25-01-00 06:00;12.305;12.247;12.305;12.566;12.224;12.035;10.198;8.8623;6.942;6.1117;4.4881;3.8196;3.5727;3.3816;3.2684;3.0795;2.7229
25-01-00 07:00;12.289;12.23;12.289;12.55;12.209;12.021;10.19;8.8502;6.9298;6.1005;4.4767;3.809;3.5604;3.3677;3.255;3.0669;2.7109
25-01-00 08:00;12.273;12.215;12.273;12.533;12.195;12.008;10.182;8.8381;6.9176;6.089;4.4653;3.7984;3.5482;3.3539;3.2417;3.0542;2.6989
25-01-00 09:00;12.258;12.199;12.258;12.516;12.18;11.994;10.174;8.8262;6.9054;6.0772;4.4539;3.7879;3.5363;3.3401;3.2283;3.0416;2.6869
25-01-00 10:00;12.242;12.184;12.242;12.499;12.165;11.98;10.167;8.8144;6.8931;6.065;4.4426;3.7773;3.5245;3.3263;3.2149;3.029;2.6749
25-01-00 11:00;12.227;12.168;12.227;12.482;12.15;11.966;10.159;8.8026;6.8809;6.0525;4.4313;3.7667;3.5129;3.3126;3.2015;3.0163;2.6629
25-01-00 12:00;12.211;12.153;12.211;12.465;12.135;11.952;10.151;8.7908;6.8686;6.0396;4.42;3.7561;3.5013;3.2989;3.188;3.0035;2.6509
25-01-00 13:00;12.195;12.137;12.195;12.447;12.12;11.938;10.143;8.7791;6.8562;6.0264;4.4086;3.7454;3.4898;3.2851;3.1745;2.9907;2.6388
25-01-00 14:00;12.18;12.121;12.18;12.429;12.104;11.923;10.135;8.7675;6.8439;6.0128;4.3971;3.7346;3.4784;3.2712;3.1609;2.9778;2.6267
25-01-00 15:00;12.164;12.105;12.164;12.411;12.088;11.908;10.127;8.7558;6.8315;5.9989;4.3856;3.7237;3.467;3.2574;3.1472;2.9648;2.6146
25-01-00 16:00;12.148;12.089;12.148;12.393;12.072;11.894;10.12;8.7443;6.819;5.9845;4.374;3.7128;3.4556;3.2434;3.1334;2.9518;2.6024
25-01-00 17:00;12.132;12.073;12.132;12.375;12.056;11.879;10.112;8.7329;6.8065;5.9698;4.3623;3.7018;3.4444;3.2295;3.1196;2.9386;2.5901
25-01-00 18:00;12.116;12.057;12.116;12.356;12.039;11.863;10.104;8.7215;6.7939;5.9547;4.3506;3.6909;3.4333;3.2154;3.1056;2.9253;2.5778
25-01-00 19:00;12.1;12.041;12.1;12.338;12.023;11.848;10.096;8.7101;6.7813;5.9393;4.3389;3.6799;3.4224;3.2014;3.0916;2.912;2.5654
25-01-00 20:00;12.083;12.025;12.083;12.319;12.006;11.833;10.087;8.6987;6.7684;5.9237;4.3273;3.669;3.4116;3.1874;3.0776;2.8986;2.5531
25-01-00 21:00;12.067;12.009;12.067;12.3;11.989;11.817;10.079;8.6872;6.7555;5.9077;4.3157;3.6582;3.4009;3.1735;3.0636;2.8853;2.5408
25-01-00 22:00;12.051;11.992;12.051;12.282;11.972;11.802;10.071;8.6757;6.7424;5.8914;4.3041;3.6474;3.3904;3.1598;3.0497;2.872;2.5286
25-01-00 23:00;12.034;11.976;12.034;12.263;11.955;11.786;10.062;8.6641;6.729;5.8748;4.2925;3.6367;3.3801;3.146;3.0358;2.8588;2.5164
26-01-00 00:00;12.017;11.959;12.017;12.244;11.938;11.771;10.053;8.6525;6.7155;5.8579;4.2808;3.6259;3.3698;3.1324;3.022;2.8456;2.5043
26-01-00 01:00;12.001;11.943;12.001;12.225;11.921;11.755;10.045;8.6407;6.7016;5.8407;4.2692;3.6152;3.3596;3.1189;3.0082;2.8325;2.4923
26-01-00 02:00;11.984;11.926;11.984;12.207;11.905;11.739;10.036;8.6288;6.6875;5.8232;4.2576;3.6046;3.3494;3.1054;2.9944;2.8195;2.4804
26-01-00 03:00;11.967;11.909;11.967;12.19;11.888;11.724;10.026;8.6169;6.673;5.8054;4.246;3.5939;3.3393;3.092;2.9807;2.8066;2.4686
26-01-00 04:00;11.951;11.893;11.951;12.172;11.872;11.709;10.017;8.605;6.6583;5.7875;4.2344;3.5832;3.3291;3.0787;2.967;2.7939;2.4569
26-01-00 05:00;11.935;11.877;11.935;12.156;11.857;11.695;10.008;8.5931;6.6434;5.7694;4.2227;3.5726;3.319;3.0655;2.9533;2.7812;2.4452
26-01-00 06:00;11.918;11.86;11.918;12.139;11.841;11.681;9.9994;8.5812;6.6282;5.7512;4.2111;3.5619;3.3089;3.0524;2.9397;2.7686;2.4336
26-01-00 07:00;11.903;11.844;11.903;12.124;11.826;11.667;9.9905;8.5694;6.6129;5.7329;4.1993;3.5512;3.2989;3.0393;2.9262;2.7561;2.4221
26-01-00 08:00;11.887;11.829;11.887;12.108;11.811;11.653;9.9816;8.5578;6.5974;5.7146;4.1875;3.5404;3.2887;3.0261;2.9127;2.7437;2.4105
26-01-00 09:00;11.871;11.813;11.871;12.092;11.797;11.639;9.9726;8.5461;6.5819;5.6965;4.1757;3.5295;3.2785;3.0129;2.8992;2.7312;2.3989
26-01-00 10:00;11.855;11.797;11.855;12.077;11.782;11.625;9.9637;8.5346;6.5664;5.6785;4.164;3.5186;3.2684;2.9998;2.8858;2.7189;2.3873
26-01-00 11:00;11.84;11.782;11.84;12.062;11.767;11.612;9.9547;8.523;6.5509;5.6608;4.1524;3.5077;3.2583;2.9868;2.8725;2.7067;2.3759
26-01-00 12:00;11.825;11.766;11.825;12.047;11.753;11.598;9.9457;8.5114;6.5354;5.6433;4.1408;3.4968;3.2483;2.9739;2.8595;2.6947;2.3646
26-01-00 13:00;11.809;11.751;11.809;12.032;11.738;11.585;9.9366;8.4999;6.52;5.626;4.1294;3.486;3.2383;2.9612;2.8466;2.6829;2.3535
26-01-00 14:00;11.794;11.735;11.794;12.018;11.724;11.571;9.9274;8.4883;6.5046;5.6089;4.118;3.4752;3.2285;2.9486;2.8339;2.6713;2.3426
26-01-00 15:00;11.778;11.72;11.778;12.003;11.709;11.557;9.9181;8.4767;6.489;5.5921;4.1068;3.4646;3.2188;2.9363;2.8215;2.66;2.3319
26-01-00 16:00;11.763;11.704;11.763;11.989;11.695;11.544;9.9086;8.4651;6.4733;5.5753;4.0957;3.454;3.2092;2.9241;2.8093;2.6489;2.3214
26-01-00 17:00;11.747;11.689;11.747;11.974;11.68;11.53;9.899;8.4535;6.4574;5.5588;4.0847;3.4435;3.1996;2.9122;2.7974;2.638;2.3112
26-01-00 18:00;11.732;11.673;11.732;11.96;11.665;11.516;9.8893;8.4418;6.4414;5.5424;4.0737;3.433;3.1902;2.9005;2.7857;2.6274;2.3011
26-01-00 19:00;11.716;11.658;11.716;11.945;11.651;11.502;9.8794;8.43;6.4252;5.5263;4.0628;3.4226;3.1808;2.8889;2.7742;2.6169;2.2913
26-01-00 20:00;11.701;11.642;11.701;11.931;11.636;11.488;9.8693;8.4182;6.4089;5.5102;4.052;3.4122;3.1714;2.8775;2.7629;2.6067;2.2817
26-01-00 21:00;11.685;11.626;11.685;11.917;11.621;11.474;9.859;8.4064;6.3926;5.4942;4.0412;3.4018;3.1621;2.8663;2.7518;2.5967;2.2722
26-01-00 22:00;11.669;11.611;11.669;11.902;11.605;11.459;9.8486;8.3945;6.3762;5.4784;4.0304;3.3914;3.1528;2.8553;2.741;2.5868;2.263
26-01-00 23:00;11.654;11.595;11.654;11.888;11.59;11.445;9.8379;8.3826;6.3596;5.4627;4.0196;3.3811;3.1436;2.8444;2.7303;2.5771;2.2539
27-01-00 00:00;11.638;11.579;11.638;11.873;11.575;11.43;9.8269;8.3707;6.343;5.4471;4.0088;3.3707;3.1344;2.8336;2.7197;2.5676;2.245
27-01-00 01:00;11.622;11.562;11.622;11.859;11.559;11.415;9.8157;8.3587;6.3263;5.4315;3.998;3.3604;3.1252;2.823;2.7093;2.5583;2.2362
27-01-00 02:00;11.606;11.546;11.606;11.845;11.543;11.4;9.8043;8.3467;6.3095;5.4162;3.9872;3.35;3.116;2.8125;2.6991;2.549;2.2275
27-01-00 03:00;11.59;11.531;11.59;11.832;11.529;11.386;9.7925;8.3346;6.2927;5.401;3.9764;3.3395;3.1068;2.8021;2.689;2.5399;2.219
27-01-00 04:00;11.575;11.515;11.575;11.819;11.514;11.371;9.7807;8.3225;6.276;5.3861;3.9655;3.329;3.0976;2.7917;2.6789;2.5309;2.2105
27-01-00 05:00;11.56;11.5;11.56;11.807;11.5;11.358;9.7687;8.3104;6.2592;5.3714;3.9547;3.3185;3.0883;2.7815;2.669;2.522;2.2021
27-01-00 06:00;11.545;11.485;11.545;11.795;11.486;11.344;9.7567;8.2984;6.2426;5.3568;3.944;3.3079;3.079;2.7712;2.6591;2.5131;2.1938
27-01-00 07:00;11.531;11.471;11.531;11.783;11.472;11.33;9.7447;8.2866;6.226;5.3424;3.9331;3.2973;3.0696;2.7611;2.6494;2.5044;2.1856
27-01-00 08:00;11.517;11.457;11.517;11.771;11.458;11.317;9.7326;8.2749;6.2096;5.328;3.9223;3.2867;3.0603;2.7511;2.6397;2.4957;2.1775
27-01-00 09:00;11.504;11.443;11.504;11.759;11.444;11.303;9.7204;8.2634;6.1933;5.3138;3.9115;3.2761;3.0509;2.7412;2.6302;2.4872;2.1695
27-01-00 10:00;11.49;11.429;11.49;11.748;11.43;11.29;9.708;8.2521;6.1773;5.2997;3.9007;3.2655;3.0416;2.7314;2.6209;2.4788;2.1616
27-01-00 11:00;11.477;11.416;11.477;11.736;11.416;11.276;9.6955;8.2409;6.1616;5.2856;3.8898;3.255;3.0322;2.7218;2.6116;2.4705;2.1539
27-01-00 12:00;11.464;11.403;11.464;11.724;11.402;11.263;9.6829;8.23;6.1462;5.2717;3.879;3.2443;3.0228;2.7122;2.6025;2.4623;2.1462
27-01-00 13:00;11.451;11.39;11.451;11.713;11.388;11.249;9.6701;8.2191;6.1311;5.258;3.8682;3.2337;3.0133;2.7027;2.5935;2.4542;2.1386
27-01-00 14:00;11.438;11.377;11.438;11.701;11.374;11.235;9.6572;8.2084;6.1163;5.2444;3.8575;3.2231;3.0039;2.6933;2.5846;2.4462;2.1311
27-01-00 15:00;11.426;11.364;11.426;11.689;11.36;11.221;9.644;8.1978;6.1018;5.2309;3.8469;3.2125;2.9944;2.6841;2.5758;2.4383;2.1237
27-01-00 16:00;11.413;11.351;11.413;11.678;11.346;11.207;9.6306;8.1873;6.0877;5.2176;3.8363;3.2018;2.985;2.6749;2.5671;2.4305;2.1164
27-01-00 17:00;11.401;11.339;11.401;11.666;11.332;11.193;9.617;8.1768;6.0738;5.2045;3.8257;3.1912;2.9755;2.6658;2.5585;2.4228;2.1092
27-01-00 18:00;11.388;11.326;11.388;11.655;11.317;11.179;9.6033;8.1665;6.0602;5.1916;3.8153;3.1807;2.966;2.6568;2.55;2.4152;2.1021
27-01-00 19:00;11.376;11.314;11.376;11.643;11.303;11.165;9.5895;8.1561;6.0469;5.1789;3.805;3.1703;2.9566;2.6479;2.5416;2.4077;2.0951
27-01-00 20:00;11.364;11.301;11.364;11.631;11.288;11.151;9.5755;8.1459;6.0338;5.1665;3.7949;3.1601;2.9473;2.6392;2.5334;2.4003;2.0882
27-01-00 21:00;11.351;11.289;11.351;11.619;11.274;11.136;9.5615;8.1358;6.0209;5.1542;3.7848;3.1499;2.9379;2.6306;2.5253;2.393;2.0815
27-01-00 22:00;11.339;11.277;11.339;11.607;11.259;11.122;9.5474;8.1257;6.0083;5.1421;3.7749;3.1399;2.9286;2.6221;2.5173;2.3859;2.0749
27-01-00 23:00;11.327;11.264;11.327;11.595;11.244;11.107;9.5332;8.1156;5.9959;5.1303;3.7651;3.13;2.9195;2.6138;2.5095;2.3788;2.0684
28-01-00 00:00;11.315;11.252;11.315;11.583;11.228;11.092;9.519;8.1053;5.9836;5.1187;3.7554;3.1202;2.9104;2.6056;2.5019;2.3719;2.062
28-01-00 01:00;11.303;11.24;11.303;11.57;11.213;11.076;9.5046;8.0947;5.9713;5.1072;3.7458;3.1105;2.9014;2.5976;2.4943;2.3652;2.0558
28-01-00 02:00;11.291;11.228;11.291;11.558;11.197;11.061;9.4901;8.0837;5.959;5.0956;3.7363;3.101;2.8925;2.5897;2.4869;2.3585;2.0497
28-01-00 03:00;11.279;11.216;11.279;11.546;11.182;11.046;9.4758;8.0724;5.9466;5.0842;3.7267;3.0914;2.8836;2.5818;2.4796;2.3519;2.0436
28-01-00 04:00;11.268;11.204;11.268;11.534;11.167;11.031;9.4615;8.061;5.9342;5.0727;3.7172;3.082;2.8748;2.5741;2.4723;2.3453;2.0377
28-01-00 05:00;11.256;11.193;11.256;11.522;11.152;11.016;9.4473;8.0495;5.9216;5.0611;3.7076;3.0725;2.8661;2.5663;2.4651;2.3388;2.0318
28-01-00 06:00;11.245;11.182;11.245;11.51;11.137;11.002;9.4331;8.0379;5.909;5.0495;3.6979;3.0631;2.8573;2.5586;2.4579;2.3323;2.0259
28-01-00 07:00;11.235;11.171;11.235;11.498;11.123;10.987;9.419;8.0263;5.8964;5.0379;3.6882;3.0536;2.8485;2.5509;2.4507;2.3258;2.02
28-01-00 08:00;11.224;11.16;11.224;11.486;11.108;10.973;9.4051;8.0146;5.8837;5.0262;3.6784;3.0441;2.8396;2.5432;2.4436;2.3192;2.0141
28-01-00 09:00;11.214;11.15;11.214;11.474;11.094;10.959;9.3914;8.0028;5.8709;5.0144;3.6686;3.0345;2.8308;2.5355;2.4364;2.3127;2.0083
28-01-00 10:00;11.203;11.139;11.203;11.462;11.079;10.945;9.3779;7.991;5.8582;5.0027;3.6587;3.025;2.8219;2.5277;2.4291;2.3061;2.0024
28-01-00 11:00;11.193;11.129;11.193;11.45;11.065;10.931;9.3646;7.979;5.8454;4.9909;3.6488;3.0153;2.8129;2.52;2.4219;2.2996;1.9966
28-01-00 12:00;11.183;11.119;11.183;11.438;11.051;10.917;9.3514;7.9669;5.8325;4.9791;3.6389;3.0057;2.804;2.5122;2.4146;2.293;1.9907
28-01-00 13:00;11.173;11.108;11.173;11.426;11.037;10.904;9.3383;7.9547;5.8197;4.9673;3.629;2.9961;2.795;2.5044;2.4074;2.2864;1.9849
28-01-00 14:00;11.162;11.098;11.162;11.414;11.023;10.89;9.3253;7.9424;5.8069;4.9554;3.619;2.9864;2.7859;2.4966;2.4001;2.2798;1.9791
28-01-00 15:00;11.152;11.088;11.152;11.402;11.009;10.876;9.3124;7.9303;5.7941;4.9435;3.6091;2.9766;2.7769;2.4888;2.3928;2.2731;1.9733
28-01-00 16:00;11.142;11.078;11.142;11.39;10.995;10.862;9.2995;7.9182;5.7812;4.9316;3.5991;2.9669;2.7678;2.481;2.3855;2.2665;1.9675
28-01-00 17:00;11.132;11.068;11.132;11.378;10.981;10.849;9.2867;7.9062;5.7683;4.9197;3.5891;2.9571;2.7587;2.4732;2.3782;2.2598;1.9617
28-01-00 18:00;11.122;11.058;11.122;11.365;10.968;10.835;9.274;7.894;5.7553;4.9077;3.579;2.9473;2.7495;2.4654;2.3709;2.2532;1.9559
28-01-00 19:00;11.112;11.047;11.112;11.353;10.954;10.822;9.2614;7.8818;5.7424;4.8957;3.569;2.9374;2.7403;2.4575;2.3635;2.2465;1.9501
28-01-00 20:00;11.102;11.037;11.102;11.341;10.94;10.809;9.2489;7.8697;5.7294;4.8838;3.559;2.9276;2.7311;2.4496;2.3562;2.2398;1.9443
28-01-00 21:00;11.092;11.027;11.092;11.328;10.927;10.795;9.2364;7.8576;5.7163;4.8718;3.5491;2.9177;2.7218;2.4417;2.3488;2.233;1.9385
28-01-00 22:00;11.082;11.018;11.082;11.316;10.913;10.782;9.224;7.8455;5.7033;4.8598;3.5392;2.9077;2.7126;2.4338;2.3413;2.2262;1.9327
28-01-00 23:00;11.072;11.008;11.072;11.303;10.899;10.769;9.2117;7.8334;5.6901;4.8478;3.5294;2.8978;2.7033;2.4258;2.3339;2.2194;1.9269
29-01-00 00:00;11.062;10.998;11.062;11.29;10.886;10.755;9.1994;7.8214;5.6771;4.8358;3.5195;2.8879;2.694;2.4179;2.3264;2.2126;1.9211
29-01-00 01:00;11.053;10.988;11.053;11.278;10.872;10.742;9.1872;7.8093;5.664;4.8239;3.5098;2.878;2.6847;2.4099;2.319;2.2058;1.9154
29-01-00 02:00;11.043;10.978;11.043;11.265;10.859;10.729;9.175;7.7973;5.651;4.8119;3.5;2.8681;2.6755;2.402;2.3115;2.199;1.9096
29-01-00 03:00;11.033;10.968;11.033;11.252;10.845;10.716;9.1628;7.7853;5.6381;4.8001;3.4903;2.8582;2.6662;2.394;2.304;2.1921;1.9039
29-01-00 04:00;11.023;10.958;11.023;11.239;10.832;10.703;9.1507;7.7732;5.6253;4.7883;3.4807;2.8484;2.657;2.3861;2.2966;2.1853;1.8982
29-01-00 05:00;11.012;10.947;11.012;11.226;10.818;10.689;9.1387;7.7611;5.6124;4.7765;3.4711;2.8386;2.6478;2.3782;2.2891;2.1785;1.8925
29-01-00 06:00;11.002;10.937;11.002;11.213;10.805;10.676;9.1268;7.7489;5.5996;4.7648;3.4617;2.8289;2.6387;2.3703;2.2817;2.1717;1.8869
29-01-00 07:00;10.992;10.927;10.992;11.2;10.791;10.663;9.1148;7.7368;5.5868;4.7532;3.4522;2.8192;2.6296;2.3625;2.2743;2.1649;1.8813
29-01-00 08:00;10.982;10.917;10.982;11.187;10.777;10.65;9.1029;7.7247;5.5741;4.7416;3.4429;2.8095;2.6205;2.3547;2.2669;2.1581;1.8756
29-01-00 09:00;10.972;10.907;10.972;11.174;10.764;10.636;9.091;7.7126;5.5613;4.73;3.4336;2.7999;2.6114;2.3468;2.2595;2.1512;1.8698
29-01-00 10:00;10.962;10.897;10.962;11.161;10.75;10.623;9.0791;7.7004;5.5486;4.7184;3.4244;2.7902;2.6024;2.3389;2.252;2.1443;1.8641
29-01-00 11:00;10.952;10.886;10.952;11.148;10.737;10.61;9.0672;7.6882;5.536;4.7069;3.4152;2.7806;2.5933;2.331;2.2446;2.1375;1.8584
29-01-00 12:00;10.941;10.876;10.941;11.134;10.723;10.597;9.0553;7.676;5.5233;4.6954;3.4061;2.771;2.5843;2.3232;2.2372;2.1306;1.8527
29-01-00 13:00;10.931;10.866;10.931;11.121;10.709;10.583;9.0434;7.6638;5.5107;4.684;3.397;2.7614;2.5752;2.3154;2.2298;2.1237;1.8471
29-01-00 14:00;10.921;10.855;10.921;11.108;10.695;10.57;9.0314;7.6515;5.498;4.6726;3.3879;2.7519;2.5663;2.3076;2.2224;2.1169;1.8415
29-01-00 15:00;10.91;10.845;10.91;11.095;10.682;10.557;9.0195;7.6392;5.4854;4.6612;3.3791;2.7423;2.5572;2.2997;2.2149;2.11;1.8359
29-01-00 16:00;10.9;10.835;10.9;11.081;10.668;10.543;9.0075;7.6269;5.4727;4.6499;3.3703;2.7327;2.5482;2.2919;2.2075;2.1032;1.8302
29-01-00 17:00;10.89;10.824;10.89;11.068;10.654;10.529;8.9956;7.6146;5.46;4.6386;3.3616;2.7232;2.5392;2.2841;2.2001;2.0963;1.8246
29-01-00 18:00;10.88;10.814;10.88;11.055;10.64;10.516;8.9836;7.6024;5.4474;4.6273;3.3529;2.7136;2.5303;2.2763;2.1927;2.0894;1.8191
29-01-00 19:00;10.869;10.804;10.869;11.041;10.627;10.502;8.9716;7.5902;5.4347;4.616;3.3442;2.7041;2.5213;2.2685;2.1853;2.0826;1.8135
29-01-00 20:00;10.859;10.793;10.859;11.028;10.613;10.489;8.9596;7.578;5.422;4.6047;3.3356;2.6946;2.5123;2.2607;2.1779;2.0757;1.8079
29-01-00 21:00;10.848;10.783;10.848;11.014;10.599;10.475;8.9476;7.5659;5.4094;4.5934;3.3269;2.6851;2.5034;2.2529;2.1705;2.0688;1.8024
29-01-00 22:00;10.838;10.772;10.838;11.001;10.585;10.461;8.9356;7.5538;5.3967;4.5821;3.3183;2.6756;2.4945;2.2451;2.1632;2.062;1.7968
29-01-00 23:00;10.827;10.762;10.827;10.987;10.571;10.447;8.9236;7.5417;5.384;4.5707;3.3096;2.6661;2.4855;2.2374;2.1558;2.0551;1.7913
30-01-00 00:00;10.817;10.751;10.817;10.974;10.557;10.434;8.9115;7.5297;5.3714;4.5594;3.301;2.6566;2.4766;2.2296;2.1484;2.0483;1.7858
30-01-00 01:00;10.806;10.741;10.806;10.96;10.543;10.42;8.8994;7.5178;5.3587;4.5481;3.2924;2.6472;2.4677;2.2218;2.141;2.0414;1.7802
30-01-00 02:00;10.797;10.731;10.797;10.948;10.53;10.406;8.8873;7.5058;5.346;4.5368;3.2839;2.6377;2.4588;2.214;2.1337;2.0346;1.7747
30-01-00 03:00;10.788;10.722;10.788;10.936;10.517;10.393;8.8752;7.4939;5.3334;4.5255;3.2753;2.6283;2.4499;2.2063;2.1263;2.0277;1.7692
30-01-00 04:00;10.779;10.713;10.779;10.925;10.505;10.381;8.8633;7.4821;5.3207;4.5142;3.2667;2.6188;2.441;2.1986;2.119;2.0209;1.7638
30-01-00 05:00;10.771;10.705;10.771;10.914;10.493;10.369;8.8517;7.4703;5.3081;4.5029;3.2581;2.6095;2.4322;2.1909;2.1116;2.0141;1.7583
30-01-00 06:00;10.764;10.698;10.764;10.904;10.482;10.358;8.8403;7.4587;5.2955;4.4917;3.2496;2.6001;2.4234;2.1832;2.1043;2.0072;1.7529
30-01-00 07:00;10.757;10.69;10.757;10.895;10.471;10.348;8.8293;7.4472;5.283;4.4805;3.241;2.5908;2.4146;2.1755;2.097;2.0005;1.7474
30-01-00 08:00;10.75;10.683;10.75;10.885;10.461;10.337;8.8186;7.436;5.2705;4.4693;3.2324;2.5814;2.4058;2.1678;2.0898;1.9937;1.742
30-01-00 09:00;10.743;10.677;10.743;10.877;10.452;10.328;8.8083;7.4251;5.2583;4.4582;3.2239;2.5722;2.3971;2.1602;2.0825;1.9869;1.7367
30-01-00 10:00;10.737;10.67;10.737;10.868;10.442;10.318;8.7983;7.4144;5.2462;4.4473;3.2155;2.563;2.3885;2.1526;2.0753;1.9802;1.7313
30-01-00 11:00;10.73;10.664;10.73;10.86;10.433;10.309;8.7887;7.404;5.2343;4.4366;3.2072;2.5539;2.3799;2.1451;2.0682;1.9736;1.726
30-01-00 12:00;10.724;10.658;10.724;10.852;10.425;10.301;8.7794;7.3938;5.2227;4.426;3.199;2.5449;2.3714;2.1377;2.0611;1.967;1.7208
30-01-00 13:00;10.718;10.652;10.718;10.844;10.417;10.292;8.7704;7.3839;5.2113;4.4156;3.1908;2.536;2.363;2.1304;2.0541;1.9605;1.7156
30-01-00 14:00;10.713;10.646;10.713;10.837;10.408;10.284;8.7617;7.3743;5.2002;4.4055;3.1829;2.5273;2.3548;2.1232;2.0473;1.9541;1.7105
30-01-00 15:00;10.707;10.641;10.707;10.83;10.401;10.276;8.7532;7.365;5.1894;4.3956;3.1751;2.5188;2.3468;2.1161;2.0406;1.9478;1.7055
30-01-00 16:00;10.702;10.635;10.702;10.823;10.393;10.268;8.7451;7.356;5.1789;4.386;3.1674;2.5104;2.3389;2.1092;2.034;1.9417;1.7006
30-01-00 17:00;10.697;10.63;10.697;10.816;10.386;10.261;8.7372;7.3472;5.1686;4.3766;3.16;2.5023;2.3312;2.1025;2.0276;1.9357;1.6958
30-01-00 18:00;10.691;10.625;10.691;10.809;10.378;10.254;8.7295;7.3387;5.1587;4.3674;3.1527;2.4943;2.3237;2.0959;2.0213;1.9298;1.6911
30-01-00 19:00;10.686;10.62;10.686;10.803;10.371;10.247;8.7221;7.3304;5.1491;4.3586;3.1457;2.4866;2.3164;2.0895;2.0152;1.9242;1.6865
30-01-00 20:00;10.681;10.615;10.681;10.796;10.365;10.24;8.7148;7.3224;5.1398;4.35;3.1388;2.4791;2.3093;2.0833;2.0093;1.9186;1.6821
30-01-00 21:00;10.677;10.61;10.677;10.79;10.358;10.233;8.7078;7.3145;5.1307;4.3417;3.1322;2.4718;2.3024;2.0773;2.0036;1.9133;1.6778
30-01-00 22:00;10.672;10.605;10.672;10.784;10.351;10.226;8.7009;7.307;5.122;4.3337;3.1257;2.4648;2.2958;2.0714;1.998;1.9081;1.6736
30-01-00 23:00;10.667;10.6;10.667;10.778;10.345;10.22;8.6943;7.2996;5.1135;4.3259;3.1195;2.4579;2.2894;2.0658;1.9926;1.903;1.6696
31-01-00 00:00;10.663;10.596;10.663;10.772;10.339;10.213;8.6877;7.2924;5.1054;4.3184;3.1134;2.4513;2.2831;2.0603;1.9874;1.8982;1.6657
