Time [yyyy-MM-dd HH:mm:ss];ObservationPoint4: Water level at (PanKan2_B_B_ 3058_477)_ Flow1D [m AD];ObservationPoint6: Water level at (Nederrijn1_ 502)_ Flow1D [m AD];ObservationPoint5: Water level at (IJssel01_ 0)_ Flow1D [m AD]
25-01-00 20:00;12.083;12.025;12.083
25-01-00 21:00;12.067;12.009;12.067
25-01-00 22:00;12.051;11.992;12.051
25-01-00 23:00;12.034;11.976;12.034
26-01-00 00:00;12.017;11.959;12.017
26-01-00 01:00;12.001;11.943;12.001
26-01-00 02:00;11.984;11.926;11.984
26-01-00 03:00;11.967;11.909;11.967
26-01-00 04:00;11.951;11.893;11.951
26-01-00 05:00;11.935;11.877;11.935
26-01-00 06:00;11.918;11.86;11.918
26-01-00 07:00;11.903;11.844;11.903
26-01-00 08:00;11.887;11.829;11.887
26-01-00 09:00;11.871;11.813;11.871
26-01-00 10:00;11.855;11.797;11.855
26-01-00 11:00;11.84;11.782;11.84
26-01-00 12:00;11.825;11.766;11.825
26-01-00 13:00;11.809;11.751;11.809
26-01-00 14:00;11.794;11.735;11.794
26-01-00 15:00;11.778;11.72;11.778
26-01-00 16:00;11.763;11.704;11.763
26-01-00 17:00;11.747;11.689;11.747
26-01-00 18:00;11.732;11.673;11.732
26-01-00 19:00;11.716;11.658;11.716
26-01-00 20:00;11.701;11.642;11.701
26-01-00 21:00;11.685;11.626;11.685
26-01-00 22:00;11.669;11.611;11.669
26-01-00 23:00;11.654;11.595;11.654
27-01-00 00:00;11.638;11.579;11.638
27-01-00 01:00;11.622;11.562;11.622
27-01-00 02:00;11.606;11.546;11.606
27-01-00 03:00;11.59;11.531;11.59
27-01-00 04:00;11.575;11.515;11.575
27-01-00 05:00;11.56;11.5;11.56
27-01-00 06:00;11.545;11.485;11.545
27-01-00 07:00;11.531;11.471;11.531
27-01-00 08:00;11.517;11.457;11.517
27-01-00 09:00;11.504;11.443;11.504
27-01-00 10:00;11.49;11.429;11.49
27-01-00 11:00;11.477;11.416;11.477
27-01-00 12:00;11.464;11.403;11.464
27-01-00 13:00;11.451;11.39;11.451
27-01-00 14:00;11.438;11.377;11.438
27-01-00 15:00;11.426;11.364;11.426
27-01-00 16:00;11.413;11.351;11.413
27-01-00 17:00;11.401;11.339;11.401
27-01-00 18:00;11.388;11.326;11.388
27-01-00 19:00;11.376;11.314;11.376
27-01-00 20:00;11.364;11.301;11.364
27-01-00 21:00;11.351;11.289;11.351
27-01-00 22:00;11.339;11.277;11.339
27-01-00 23:00;11.327;11.264;11.327
28-01-00 00:00;11.315;11.252;11.315
28-01-00 01:00;11.303;11.24;11.303
28-01-00 02:00;11.291;11.228;11.291
28-01-00 03:00;11.279;11.216;11.279
28-01-00 04:00;11.268;11.204;11.268
28-01-00 05:00;11.256;11.193;11.256
28-01-00 06:00;11.245;11.182;11.245
28-01-00 07:00;11.235;11.171;11.235
28-01-00 08:00;11.224;11.16;11.224
28-01-00 09:00;11.214;11.15;11.214
28-01-00 10:00;11.203;11.139;11.203
28-01-00 11:00;11.193;11.129;11.193
28-01-00 12:00;11.183;11.119;11.183
28-01-00 13:00;11.173;11.108;11.173
28-01-00 14:00;11.162;11.098;11.162
28-01-00 15:00;11.152;11.088;11.152
28-01-00 16:00;11.142;11.078;11.142
28-01-00 17:00;11.132;11.068;11.132
28-01-00 18:00;11.122;11.058;11.122
28-01-00 19:00;11.112;11.047;11.112
28-01-00 20:00;11.102;11.037;11.102
28-01-00 21:00;11.092;11.027;11.092
28-01-00 22:00;11.082;11.018;11.082
28-01-00 23:00;11.072;11.008;11.072
29-01-00 00:00;11.062;10.998;11.062
29-01-00 01:00;11.053;10.988;11.053
29-01-00 02:00;11.043;10.978;11.043
29-01-00 03:00;11.033;10.968;11.033
29-01-00 04:00;11.023;10.958;11.023
29-01-00 05:00;11.012;10.947;11.012
29-01-00 06:00;11.002;10.937;11.002
29-01-00 07:00;10.992;10.927;10.992
29-01-00 08:00;10.982;10.917;10.982
29-01-00 09:00;10.972;10.907;10.972
29-01-00 10:00;10.962;10.897;10.962
29-01-00 11:00;10.952;10.886;10.952
29-01-00 12:00;10.941;10.876;10.941
29-01-00 13:00;10.931;10.866;10.931
29-01-00 14:00;10.921;10.855;10.921
29-01-00 15:00;10.91;10.845;10.91
29-01-00 16:00;10.9;10.835;10.9
29-01-00 17:00;10.89;10.824;10.89
29-01-00 18:00;10.88;10.814;10.88
29-01-00 19:00;10.869;10.804;10.869
29-01-00 20:00;10.859;10.793;10.859
29-01-00 21:00;10.848;10.783;10.848
29-01-00 22:00;10.838;10.772;10.838
29-01-00 23:00;10.827;10.762;10.827
30-01-00 00:00;10.817;10.751;10.817
30-01-00 01:00;10.806;10.741;10.806
30-01-00 02:00;10.797;10.731;10.797
30-01-00 03:00;10.788;10.722;10.788
30-01-00 04:00;10.779;10.713;10.779
30-01-00 05:00;10.771;10.705;10.771
30-01-00 06:00;10.764;10.698;10.764
30-01-00 07:00;10.757;10.69;10.757
30-01-00 08:00;10.75;10.683;10.75
30-01-00 09:00;10.743;10.677;10.743
30-01-00 10:00;10.737;10.67;10.737
30-01-00 11:00;10.73;10.664;10.73
30-01-00 12:00;10.724;10.658;10.724
30-01-00 13:00;10.718;10.652;10.718
30-01-00 14:00;10.713;10.646;10.713
30-01-00 15:00;10.707;10.641;10.707
30-01-00 16:00;10.702;10.635;10.702
30-01-00 17:00;10.697;10.63;10.697
30-01-00 18:00;10.691;10.625;10.691
30-01-00 19:00;10.686;10.62;10.686
30-01-00 20:00;10.681;10.615;10.681
30-01-00 21:00;10.677;10.61;10.677
30-01-00 22:00;10.672;10.605;10.672
30-01-00 23:00;10.667;10.6;10.667
31-01-00 00:00;10.663;10.596;10.663
