Time [yyyy-MM-dd HH:mm:ss],Water level at (Waal2_A_ 3753_233) [m AD],Water level at (Waal2_B_A_A_A_ 6438_712) [m AD],Water level at (Waal2_B_A_A_B_ 2469_155) [m AD]
2000-01-01 01:00:00,11_569,11_174,11_035
2000-01-01 02:00:00,11_569,11_174,11_035
2000-01-01 03:00:00,11_569,11_174,11_035
2000-01-01 04:00:00,11_569,11_174,11_035
2000-01-01 05:00:00,11_57,11_175,11_036
2000-01-01 06:00:00,11_57,11_175,11_036
2000-01-01 07:00:00,11_57,11_175,11_036
2000-01-01 08:00:00,11_569,11_175,11_036
2000-01-01 09:00:00,11_569,11_174,11_036
2000-01-01 10:00:00,11_568,11_174,11_035
2000-01-01 11:00:00,11_567,11_173,11_035
2000-01-01 12:00:00,11_566,11_172,11_034
2000-01-01 13:00:00,11_565,11_171,11_033
2000-01-01 14:00:00,11_563,11_17,11_031
2000-01-01 15:00:00,11_562,11_168,11_03
2000-01-01 16:00:00,11_56,11_166,11_028
2000-01-01 17:00:00,11_557,11_164,11_026
2000-01-01 18:00:00,11_555,11_162,11_024
2000-01-01 19:00:00,11_552,11_16,11_021
2000-01-01 20:00:00,11_55,11_157,11_019
2000-01-01 21:00:00,11_547,11_154,11_016
2000-01-01 22:00:00,11_544,11_151,11_013
2000-01-01 23:00:00,11_54,11_148,11_01
2000-01-02 00:00:00,11_537,11_145,11_007
2000-01-02 01:00:00,11_533,11_141,11_003
2000-01-02 02:00:00,11_529,11_138,11
2000-01-02 03:00:00,11_525,11_134,10_996
2000-01-02 04:00:00,11_521,11_13,10_992
2000-01-02 05:00:00,11_517,11_126,10_988
2000-01-02 06:00:00,11_514,11_122,10_984
2000-01-02 07:00:00,11_51,11_118,10_98
2000-01-02 08:00:00,11_507,11_115,10_977
2000-01-02 09:00:00,11_505,11_112,10_974
2000-01-02 10:00:00,11_503,11_11,10_972
2000-01-02 11:00:00,11_502,11_108,10_97
2000-01-02 12:00:00,11_501,11_107,10_968
2000-01-02 13:00:00,11_501,11_106,10_968
2000-01-02 14:00:00,11_501,11_106,10_967
2000-01-02 15:00:00,11_502,11_107,10_968
2000-01-02 16:00:00,11_503,11_108,10_968
2000-01-02 17:00:00,11_505,11_109,10_97
2000-01-02 18:00:00,11_508,11_111,10_972
2000-01-02 19:00:00,11_511,11_114,10_974
2000-01-02 20:00:00,11_514,11_117,10_977
2000-01-02 21:00:00,11_518,11_12,10_98
2000-01-02 22:00:00,11_523,11_124,10_984
2000-01-02 23:00:00,11_528,11_129,10_988
2000-01-03 00:00:00,11_533,11_133,10_993
2000-01-03 01:00:00,11_538,11_139,10_998
2000-01-03 02:00:00,11_544,11_144,11_004
2000-01-03 03:00:00,11_55,11_15,11_009
2000-01-03 04:00:00,11_556,11_156,11_015
2000-01-03 05:00:00,11_563,11_162,11_022
2000-01-03 06:00:00,11_569,11_169,11_028
2000-01-03 07:00:00,11_575,11_175,11_034
2000-01-03 08:00:00,11_58,11_18,11_04
2000-01-03 09:00:00,11_585,11_186,11_045
2000-01-03 10:00:00,11_59,11_19,11_05
2000-01-03 11:00:00,11_594,11_195,11_055
2000-01-03 12:00:00,11_597,11_198,11_059
2000-01-03 13:00:00,11_599,11_202,11_062
2000-01-03 14:00:00,11_601,11_204,11_065
2000-01-03 15:00:00,11_602,11_206,11_067
2000-01-03 16:00:00,11_603,11_207,11_068
2000-01-03 17:00:00,11_603,11_208,11_069
2000-01-03 18:00:00,11_603,11_208,11_069
2000-01-03 19:00:00,11_601,11_207,11_069
2000-01-03 20:00:00,11_6,11_206,11_068
2000-01-03 21:00:00,11_598,11_205,11_067
2000-01-03 22:00:00,11_595,11_203,11_065
2000-01-03 23:00:00,11_592,11_2,11_062
2000-01-04 00:00:00,11_588,11_197,11_059
2000-01-04 01:00:00,11_584,11_193,11_056
2000-01-04 02:00:00,11_58,11_189,11_052
2000-01-04 03:00:00,11_575,11_185,11_048
2000-01-04 04:00:00,11_57,11_18,11_043
2000-01-04 05:00:00,11_565,11_175,11_038
2000-01-04 06:00:00,11_559,11_17,11_033
2000-01-04 07:00:00,11_553,11_164,11_027
2000-01-04 08:00:00,11_548,11_159,11_022
2000-01-04 09:00:00,11_542,11_153,11_017
2000-01-04 10:00:00,11_537,11_148,11_011
2000-01-04 11:00:00,11_532,11_143,11_006
2000-01-04 12:00:00,11_527,11_138,11_001
2000-01-04 13:00:00,11_522,11_133,10_996
2000-01-04 14:00:00,11_517,11_128,10_991
2000-01-04 15:00:00,11_513,11_123,10_986
2000-01-04 16:00:00,11_509,11_119,10_982
2000-01-04 17:00:00,11_505,11_115,10_978
2000-01-04 18:00:00,11_501,11_111,10_974
2000-01-04 19:00:00,11_497,11_107,10_97
2000-01-04 20:00:00,11_494,11_104,10_966
2000-01-04 21:00:00,11_491,11_1,10_963
2000-01-04 22:00:00,11_488,11_097,10_96
2000-01-04 23:00:00,11_485,11_094,10_957
2000-01-05 00:00:00,11_482,11_091,10_954
2000-01-05 01:00:00,11_48,11_089,10_951
2000-01-05 02:00:00,11_478,11_086,10_949
2000-01-05 03:00:00,11_475,11_084,10_946
2000-01-05 04:00:00,11_473,11_082,10_944
2000-01-05 05:00:00,11_472,11_08,10_942
2000-01-05 06:00:00,11_47,11_078,10_94
2000-01-05 07:00:00,11_469,11_077,10_939
2000-01-05 08:00:00,11_468,11_076,10_937
2000-01-05 09:00:00,11_467,11_075,10_936
2000-01-05 10:00:00,11_467,11_074,10_936
2000-01-05 11:00:00,11_467,11_074,10_936
2000-01-05 12:00:00,11_468,11_074,10_936
2000-01-05 13:00:00,11_469,11_075,10_936
2000-01-05 14:00:00,11_47,11_076,10_937
2000-01-05 15:00:00,11_471,11_077,10_938
2000-01-05 16:00:00,11_473,11_079,10_94
2000-01-05 17:00:00,11_475,11_08,10_941
2000-01-05 18:00:00,11_478,11_083,10_944
2000-01-05 19:00:00,11_481,11_085,10_946
2000-01-05 20:00:00,11_483,11_088,10_949
2000-01-05 21:00:00,11_487,11_091,10_951
2000-01-05 22:00:00,11_49,11_094,10_955
2000-01-05 23:00:00,11_494,11_097,10_958
2000-01-06 00:00:00,11_498,11_101,10_962
2000-01-06 01:00:00,11_502,11_105,10_965
2000-01-06 02:00:00,11_506,11_109,10_969
2000-01-06 03:00:00,11_51,11_113,10_974
2000-01-06 04:00:00,11_515,11_118,10_978
2000-01-06 05:00:00,11_52,11_122,10_983
2000-01-06 06:00:00,11_525,11_128,10_988
2000-01-06 07:00:00,11_532,11_133,10_993
2000-01-06 08:00:00,11_538,11_14,11
2000-01-06 09:00:00,11_546,11_146,11_006
2000-01-06 10:00:00,11_554,11_154,11_014
2000-01-06 11:00:00,11_562,11_162,11_022
2000-01-06 12:00:00,11_572,11_171,11_031
2000-01-06 13:00:00,11_582,11_181,11_04
2000-01-06 14:00:00,11_593,11_191,11_05
2000-01-06 15:00:00,11_605,11_202,11_061
2000-01-06 16:00:00,11_619,11_215,11_073
2000-01-06 17:00:00,11_633,11_228,11_086
2000-01-06 18:00:00,11_647,11_242,11_1
2000-01-06 19:00:00,11_663,11_256,11_114
2000-01-06 20:00:00,11_678,11_27,11_128
2000-01-06 21:00:00,11_694,11_285,11_142
2000-01-06 22:00:00,11_71,11_3,11_156
2000-01-06 23:00:00,11_725,11_314,11_171
2000-01-07 00:00:00,11_741,11_329,11_185
2000-01-07 01:00:00,11_757,11_343,11_199
2000-01-07 02:00:00,11_773,11_358,11_213
2000-01-07 03:00:00,11_788,11_372,11_226
2000-01-07 04:00:00,11_804,11_386,11_24
2000-01-07 05:00:00,11_82,11_4,11_254
2000-01-07 06:00:00,11_835,11_414,11_267
2000-01-07 07:00:00,11_851,11_429,11_281
2000-01-07 08:00:00,11_867,11_443,11_295
2000-01-07 09:00:00,11_883,11_457,11_309
2000-01-07 10:00:00,11_899,11_471,11_322
2000-01-07 11:00:00,11_914,11_485,11_336
2000-01-07 12:00:00,11_93,11_499,11_349
2000-01-07 13:00:00,11_946,11_514,11_363
2000-01-07 14:00:00,11_961,11_528,11_376
2000-01-07 15:00:00,11_977,11_542,11_39
2000-01-07 16:00:00,11_993,11_556,11_403
2000-01-07 17:00:00,12_008,11_57,11_416
2000-01-07 18:00:00,12_024,11_583,11_429
2000-01-07 19:00:00,12_039,11_597,11_443
2000-01-07 20:00:00,12_055,11_611,11_456
2000-01-07 21:00:00,12_07,11_625,11_469
2000-01-07 22:00:00,12_086,11_639,11_483
2000-01-07 23:00:00,12_102,11_653,11_496
2000-01-08 00:00:00,12_117,11_667,11_509
2000-01-08 01:00:00,12_133,11_681,11_522
2000-01-08 02:00:00,12_148,11_695,11_536
2000-01-08 03:00:00,12_164,11_708,11_549
2000-01-08 04:00:00,12_179,11_722,11_562
2000-01-08 05:00:00,12_195,11_736,11_576
2000-01-08 06:00:00,12_211,11_751,11_589
2000-01-08 07:00:00,12_228,11_765,11_603
2000-01-08 08:00:00,12_245,11_78,11_617
2000-01-08 09:00:00,12_263,11_795,11_631
2000-01-08 10:00:00,12_281,11_811,11_646
2000-01-08 11:00:00,12_3,11_827,11_661
2000-01-08 12:00:00,12_32,11_844,11_677
2000-01-08 13:00:00,12_34,11_861,11_693
2000-01-08 14:00:00,12_36,11_879,11_71
2000-01-08 15:00:00,12_382,11_898,11_727
2000-01-08 16:00:00,12_403,11_917,11_745
2000-01-08 17:00:00,12_425,11_937,11_764
2000-01-08 18:00:00,12_448,11_957,11_783
2000-01-08 19:00:00,12_471,11_977,11_801
2000-01-08 20:00:00,12_493,11_997,11_82
2000-01-08 21:00:00,12_515,12_017,11_838
2000-01-08 22:00:00,12_537,12_037,11_856
2000-01-08 23:00:00,12_559,12_056,11_874
2000-01-09 00:00:00,12_58,12_075,11_892
2000-01-09 01:00:00,12_601,12_095,11_91
2000-01-09 02:00:00,12_622,12_113,11_927
2000-01-09 03:00:00,12_643,12_132,11_944
2000-01-09 04:00:00,12_664,12_15,11_961
