Time [yyyy-MM-dd HH:mm:ss],Water level at (Waal2_A_ 3753_233) [m AD],Water level at (Waal2_B_A_A_A_ 6438_712) [m AD],Water level at (Waal2_B_A_A_B_ 2469_155) [m AD]
2000-01-18 17:00:00,16_305,15_89,15_689
2000-01-18 18:00:00,16_288,15_874,15_673
2000-01-18 19:00:00,16_271,15_858,15_657
2000-01-18 20:00:00,16_254,15_841,15_641
2000-01-18 21:00:00,16_237,15_825,15_625
2000-01-18 22:00:00,16_219,15_808,15_608
2000-01-18 23:00:00,16_202,15_791,15_591
2000-01-19 00:00:00,16_184,15_774,15_574
2000-01-19 01:00:00,16_166,15_756,15_557
2000-01-19 02:00:00,16_148,15_739,15_54
2000-01-19 03:00:00,16_129,15_721,15_522
2000-01-19 04:00:00,16_111,15_703,15_504
2000-01-19 05:00:00,16_092,15_685,15_487
2000-01-19 06:00:00,16_074,15_667,15_469
2000-01-19 07:00:00,16_055,15_649,15_451
2000-01-19 08:00:00,16_036,15_631,15_433
2000-01-19 09:00:00,16_018,15_613,15_415
2000-01-19 10:00:00,15_999,15_595,15_397
2000-01-19 11:00:00,15_98,15_577,15_379
2000-01-19 12:00:00,15_962,15_559,15_361
2000-01-19 13:00:00,15_943,15_541,15_343
2000-01-19 14:00:00,15_924,15_523,15_325
2000-01-19 15:00:00,15_905,15_505,15_307
2000-01-19 16:00:00,15_886,15_486,15_289
2000-01-19 17:00:00,15_867,15_468,15_271
2000-01-19 18:00:00,15_848,15_449,15_252
2000-01-19 19:00:00,15_829,15_43,15_234
2000-01-19 20:00:00,15_81,15_412,15_215
2000-01-19 21:00:00,15_791,15_393,15_196
2000-01-19 22:00:00,15_771,15_374,15_178
2000-01-19 23:00:00,15_752,15_355,15_159
2000-01-20 00:00:00,15_733,15_337,15_14
2000-01-20 01:00:00,15_714,15_318,15_122
2000-01-20 02:00:00,15_695,15_299,15_103
2000-01-20 03:00:00,15_676,15_28,15_084
2000-01-20 04:00:00,15_657,15_26,15_065
2000-01-20 05:00:00,15_638,15_241,15_046
2000-01-20 06:00:00,15_619,15_221,15_026
2000-01-20 07:00:00,15_6,15_202,15_007
2000-01-20 08:00:00,15_581,15_181,14_987
2000-01-20 09:00:00,15_562,15_161,14_967
2000-01-20 10:00:00,15_543,15_141,14_946
2000-01-20 11:00:00,15_524,15_12,14_926
2000-01-20 12:00:00,15_505,15_099,14_905
2000-01-20 13:00:00,15_486,15_078,14_884
2000-01-20 14:00:00,15_466,15_057,14_864
2000-01-20 15:00:00,15_446,15_037,14_843
2000-01-20 16:00:00,15_427,15_016,14_823
2000-01-20 17:00:00,15_406,14_996,14_803
2000-01-20 18:00:00,15_385,14_975,14_782
2000-01-20 19:00:00,15_364,14_955,14_762
2000-01-20 20:00:00,15_341,14_935,14_742
2000-01-20 21:00:00,15_318,14_915,14_722
2000-01-20 22:00:00,15_294,14_895,14_702
2000-01-20 23:00:00,15_271,14_875,14_682
2000-01-21 00:00:00,15_248,14_854,14_662
2000-01-21 01:00:00,15_224,14_833,14_641
2000-01-21 02:00:00,15_201,14_813,14_62
2000-01-21 03:00:00,15_179,14_791,14_6
2000-01-21 04:00:00,15_158,14_77,14_578
2000-01-21 05:00:00,15_137,14_748,14_557
2000-01-21 06:00:00,15_118,14_727,14_536
2000-01-21 07:00:00,15_099,14_705,14_514
2000-01-21 08:00:00,15_081,14_684,14_493
2000-01-21 09:00:00,15_063,14_663,14_472
2000-01-21 10:00:00,15_045,14_642,14_452
2000-01-21 11:00:00,15_027,14_621,14_431
2000-01-21 12:00:00,15_009,14_6,14_41
2000-01-21 13:00:00,14_991,14_579,14_39
2000-01-21 14:00:00,14_972,14_558,14_369
2000-01-21 15:00:00,14_953,14_537,14_348
2000-01-21 16:00:00,14_933,14_515,14_327
2000-01-21 17:00:00,14_911,14_492,14_305
2000-01-21 18:00:00,14_888,14_469,14_283
2000-01-21 19:00:00,14_864,14_446,14_259
2000-01-21 20:00:00,14_838,14_422,14_235
2000-01-21 21:00:00,14_812,14_397,14_209
2000-01-21 22:00:00,14_785,14_372,14_182
2000-01-21 23:00:00,14_758,14_347,14_154
2000-01-22 00:00:00,14_731,14_321,14_124
2000-01-22 01:00:00,14_703,14_296,14_093
2000-01-22 02:00:00,14_676,14_271,14_061
2000-01-22 03:00:00,14_649,14_247,14_028
2000-01-22 04:00:00,14_624,14_224,13_994
2000-01-22 05:00:00,14_599,14_203,13_96
2000-01-22 06:00:00,14_575,14_181,13_926
2000-01-22 07:00:00,14_552,14_16,13_893
2000-01-22 08:00:00,14_528,14_139,13_861
2000-01-22 09:00:00,14_505,14_117,13_83
2000-01-22 10:00:00,14_481,14_096,13_799
2000-01-22 11:00:00,14_457,14_074,13_768
2000-01-22 12:00:00,14_433,14_052,13_738
2000-01-22 13:00:00,14_409,14_029,13_709
2000-01-22 14:00:00,14_385,14_006,13_68
2000-01-22 15:00:00,14_36,13_982,13_653
2000-01-22 16:00:00,14_335,13_958,13_626
2000-01-22 17:00:00,14_31,13_933,13_601
2000-01-22 18:00:00,14_286,13_91,13_576
2000-01-22 19:00:00,14_264,13_888,13_553
2000-01-22 20:00:00,14_244,13_867,13_531
2000-01-22 21:00:00,14_224,13_848,13_51
2000-01-22 22:00:00,14_205,13_829,13_491
2000-01-22 23:00:00,14_187,13_811,13_472
2000-01-23 00:00:00,14_17,13_794,13_454
2000-01-23 01:00:00,14_154,13_777,13_438
2000-01-23 02:00:00,14_139,13_762,13_422
2000-01-23 03:00:00,14_125,13_748,13_407
2000-01-23 04:00:00,14_112,13_734,13_394
2000-01-23 05:00:00,14_099,13_721,13_38
2000-01-23 06:00:00,14_086,13_708,13_368
2000-01-23 07:00:00,14_072,13_695,13_355
2000-01-23 08:00:00,14_059,13_682,13_342
2000-01-23 09:00:00,14_044,13_668,13_329
2000-01-23 10:00:00,14_03,13_654,13_315
2000-01-23 11:00:00,14_014,13_639,13_3
2000-01-23 12:00:00,13_997,13_623,13_285
2000-01-23 13:00:00,13_98,13_606,13_269
2000-01-23 14:00:00,13_962,13_588,13_251
2000-01-23 15:00:00,13_941,13_568,13_233
2000-01-23 16:00:00,13_896,13_531,13_202
2000-01-23 17:00:00,13_86,13_488,13_162
2000-01-23 18:00:00,13_831,13_45,13_124
2000-01-23 19:00:00,13_807,13_416,13_091
2000-01-23 20:00:00,13_786,13_383,13_06
2000-01-23 21:00:00,13_769,13_353,13_031
2000-01-23 22:00:00,13_754,13_325,13_004
2000-01-23 23:00:00,13_739,13_298,12_978
2000-01-24 00:00:00,13_726,13_271,12_954
2000-01-24 01:00:00,13_712,13_244,12_93
2000-01-24 02:00:00,13_698,13_217,12_907
2000-01-24 03:00:00,13_684,13_189,12_885
2000-01-24 04:00:00,13_668,13_159,12_863
2000-01-24 05:00:00,13_652,13_128,12_841
2000-01-24 06:00:00,13_635,13_097,12_82
2000-01-24 07:00:00,13_616,13_068,12_801
2000-01-24 08:00:00,13_596,13_04,12_782
2000-01-24 09:00:00,13_574,13_015,12_763
2000-01-24 10:00:00,13_552,12_99,12_743
2000-01-24 11:00:00,13_532,12_968,12_724
2000-01-24 12:00:00,13_513,12_947,12_704
2000-01-24 13:00:00,13_495,12_928,12_685
2000-01-24 14:00:00,13_477,12_909,12_667
2000-01-24 15:00:00,13_46,12_891,12_65
2000-01-24 16:00:00,13_443,12_873,12_633
2000-01-24 17:00:00,13_427,12_857,12_617
2000-01-24 18:00:00,13_411,12_84,12_601
2000-01-24 19:00:00,13_396,12_825,12_586
2000-01-24 20:00:00,13_381,12_81,12_571
2000-01-24 21:00:00,13_367,12_795,12_557
2000-01-24 22:00:00,13_354,12_781,12_544
2000-01-24 23:00:00,13_341,12_768,12_531
2000-01-25 00:00:00,13_328,12_754,12_519
2000-01-25 01:00:00,13_315,12_742,12_506
2000-01-25 02:00:00,13_303,12_729,12_495
2000-01-25 03:00:00,13_29,12_717,12_483
2000-01-25 04:00:00,13_278,12_705,12_472
2000-01-25 05:00:00,13_267,12_693,12_461
2000-01-25 06:00:00,13_255,12_681,12_45
2000-01-25 07:00:00,13_244,12_67,12_439
2000-01-25 08:00:00,13_233,12_659,12_429
2000-01-25 09:00:00,13_223,12_648,12_419
2000-01-25 10:00:00,13_212,12_638,12_409
2000-01-25 11:00:00,13_202,12_627,12_399
2000-01-25 12:00:00,13_191,12_617,12_39
2000-01-25 13:00:00,13_181,12_607,12_38
2000-01-25 14:00:00,13_17,12_597,12_371
2000-01-25 15:00:00,13_16,12_586,12_361
2000-01-25 16:00:00,13_149,12_576,12_352
2000-01-25 17:00:00,13_138,12_566,12_342
2000-01-25 18:00:00,13_127,12_555,12_333
2000-01-25 19:00:00,13_115,12_545,12_323
2000-01-25 20:00:00,13_104,12_534,12_313
2000-01-25 21:00:00,13_092,12_524,12_303
2000-01-25 22:00:00,13_08,12_513,12_293
2000-01-25 23:00:00,13_068,12_502,12_284
2000-01-26 00:00:00,13_056,12_492,12_274
2000-01-26 01:00:00,13_044,12_481,12_264
2000-01-26 02:00:00,13_032,12_471,12_254
2000-01-26 03:00:00,13_019,12_46,12_244
2000-01-26 04:00:00,13_007,12_449,12_235
2000-01-26 05:00:00,12_994,12_439,12_225
2000-01-26 06:00:00,12_981,12_428,12_215
2000-01-26 07:00:00,12_968,12_417,12_205
2000-01-26 08:00:00,12_955,12_406,12_195
2000-01-26 09:00:00,12_942,12_396,12_186
2000-01-26 10:00:00,12_93,12_385,12_176
2000-01-26 11:00:00,12_917,12_374,12_166
2000-01-26 12:00:00,12_904,12_364,12_156
2000-01-26 13:00:00,12_891,12_353,12_147
2000-01-26 14:00:00,12_878,12_343,12_137
2000-01-26 15:00:00,12_866,12_332,12_128
2000-01-26 16:00:00,12_853,12_322,12_118
2000-01-26 17:00:00,12_841,12_312,12_109
2000-01-26 18:00:00,12_829,12_302,12_1
2000-01-26 19:00:00,12_817,12_292,12_091
2000-01-26 20:00:00,12_805,12_282,12_083
2000-01-26 21:00:00,12_793,12_272,12_074
2000-01-26 22:00:00,12_782,12_263,12_066
2000-01-26 23:00:00,12_77,12_254,12_057
2000-01-27 00:00:00,12_759,12_244,12_049
2000-01-27 01:00:00,12_748,12_235,12_041
2000-01-27 02:00:00,12_737,12_226,12_033
2000-01-27 03:00:00,12_726,12_218,12_026
2000-01-27 04:00:00,12_715,12_209,12_018
2000-01-27 05:00:00,12_705,12_2,12_01
2000-01-27 06:00:00,12_694,12_191,12_002
2000-01-27 07:00:00,12_683,12_182,11_994
2000-01-27 08:00:00,12_672,12_173,11_986
2000-01-27 09:00:00,12_66,12_164,11_978
2000-01-27 10:00:00,12_649,12_154,11_97
2000-01-27 11:00:00,12_637,12_145,11_961
2000-01-27 12:00:00,12_625,12_135,11_953
2000-01-27 13:00:00,12_613,12_125,11_944
2000-01-27 14:00:00,12_601,12_115,11_935
2000-01-27 15:00:00,12_589,12_104,11_926
2000-01-27 16:00:00,12_576,12_094,11_916
2000-01-27 17:00:00,12_564,12_083,11_907
2000-01-27 18:00:00,12_551,12_072,11_897
2000-01-27 19:00:00,12_538,12_061,11_888
2000-01-27 20:00:00,12_525,12_05,11_878
2000-01-27 21:00:00,12_512,12_039,11_868
2000-01-27 22:00:00,12_498,12_028,11_858
2000-01-27 23:00:00,12_485,12_016,11_847
2000-01-28 00:00:00,12_471,12_005,11_837
2000-01-28 01:00:00,12_457,11_993,11_826
2000-01-28 02:00:00,12_442,11_98,11_815
2000-01-28 03:00:00,12_427,11_968,11_803
2000-01-28 04:00:00,12_412,11_955,11_792
2000-01-28 05:00:00,12_397,11_942,11_78
2000-01-28 06:00:00,12_382,11_929,11_768
2000-01-28 07:00:00,12_367,11_916,11_755
2000-01-28 08:00:00,12_352,11_902,11_743
2000-01-28 09:00:00,12_337,11_889,11_73
2000-01-28 10:00:00,12_322,11_876,11_718
2000-01-28 11:00:00,12_307,11_863,11_706
2000-01-28 12:00:00,12_293,11_85,11_694
2000-01-28 13:00:00,12_279,11_838,11_682
2000-01-28 14:00:00,12_265,11_826,11_671
2000-01-28 15:00:00,12_252,11_814,11_66
2000-01-28 16:00:00,12_239,11_803,11_649
2000-01-28 17:00:00,12_227,11_792,11_638
2000-01-28 18:00:00,12_214,11_781,11_628
2000-01-28 19:00:00,12_203,11_771,11_618
2000-01-28 20:00:00,12_191,11_76,11_609
2000-01-28 21:00:00,12_18,11_751,11_6
2000-01-28 22:00:00,12_169,11_741,11_59
2000-01-28 23:00:00,12_159,11_732,11_582
2000-01-29 00:00:00,12_148,11_722,11_573
2000-01-29 01:00:00,12_138,11_713,11_564
2000-01-29 02:00:00,12_128,11_705,11_556
2000-01-29 03:00:00,12_119,11_696,11_548
2000-01-29 04:00:00,12_109,11_688,11_54
2000-01-29 05:00:00,12_1,11_68,11_532
2000-01-29 06:00:00,12_091,11_672,11_525
2000-01-29 07:00:00,12_083,11_664,11_518
2000-01-29 08:00:00,12_075,11_657,11_511
2000-01-29 09:00:00,12_067,11_65,11_504
2000-01-29 10:00:00,12_06,11_644,11_498
2000-01-29 11:00:00,12_053,11_638,11_492
2000-01-29 12:00:00,12_047,11_632,11_486
2000-01-29 13:00:00,12_041,11_626,11_481
2000-01-29 14:00:00,12_035,11_621,11_476
2000-01-29 15:00:00,12_03,11_616,11_471
2000-01-29 16:00:00,12_025,11_611,11_466
2000-01-29 17:00:00,12_02,11_606,11_462
2000-01-29 18:00:00,12_015,11_602,11_457
2000-01-29 19:00:00,12_011,11_598,11_453
2000-01-29 20:00:00,12_007,11_594,11_449
2000-01-29 21:00:00,12_003,11_59,11_446
2000-01-29 22:00:00,11_999,11_587,11_442
2000-01-29 23:00:00,11_996,11_583,11_439
2000-01-30 00:00:00,11_993,11_58,11_436
2000-01-30 01:00:00,11_99,11_577,11_433
2000-01-30 02:00:00,11_987,11_574,11_43
2000-01-30 03:00:00,11_984,11_571,11_427
2000-01-30 04:00:00,11_981,11_569,11_424
2000-01-30 05:00:00,11_978,11_566,11_422
2000-01-30 06:00:00,11_975,11_563,11_419
2000-01-30 07:00:00,11_972,11_561,11_417
2000-01-30 08:00:00,11_969,11_558,11_414
2000-01-30 09:00:00,11_966,11_554,11_411
2000-01-30 10:00:00,11_962,11_551,11_408
2000-01-30 11:00:00,11_958,11_548,11_405
2000-01-30 12:00:00,11_953,11_544,11_401
2000-01-30 13:00:00,11_949,11_54,11_397
2000-01-30 14:00:00,11_944,11_536,11_394
2000-01-30 15:00:00,11_939,11_532,11_39
2000-01-30 16:00:00,11_933,11_527,11_385
2000-01-30 17:00:00,11_928,11_523,11_381
2000-01-30 18:00:00,11_922,11_518,11_377
2000-01-30 19:00:00,11_916,11_513,11_372
2000-01-30 20:00:00,11_91,11_508,11_367
2000-01-30 21:00:00,11_904,11_502,11_362
2000-01-30 22:00:00,11_897,11_497,11_357
2000-01-30 23:00:00,11_89,11_491,11_352
2000-01-31 00:00:00,11_884,11_485,11_346
