Time [yyyy-MM-dd HH:mm:ss];odd_018: Water level at (Nederrijn2_A_ 0)_ Flow1D [m AD];882.00_NR: Water level at (Nederrijn2_B_B_A_ 149_703)_ Flow1D [m AD];886.00_NR: Water level at (Nederrijn2_B_B_B_A_ 2770_079)_ Flow1D [m AD];903.00_NR: Water level at (Nederrijn3_A_ 1004)_ Flow1D [m AD];909.00_NR: Water level at (Nederrijn4_A_ 1005)_ Flow1D [m AD];917.00_NR: Water level at (Nederrijn5_A_ 3014)_ Flow1D [m AD];EckenWiel: Water level at (Nederrijn5_B_A_ 870_737)_ Flow1D [m AD];931.00_LE: Water level at (Lek1_B_A_ 1177_909)_ Flow1D [m AD];941.00_LE: Water level at (Lek1_B_B_A_ 1192_286)_ Flow1D [m AD];944.00_LE: Water level at (Lek1_B_B_B_A_ 658_638)_ Flow1D [m AD];946.00_LE: Water level at (Lek1_B_B_B_B_ 565_87)_ Flow1D [m AD];949.00_LE: Water level at (Lek2_ 1505)_ Flow1D [m AD];951.00_LE: Water level at (Lek5_A_ 0)_ Flow1D [m AD];50983ObsUS: Water level at (Lek5_B_A_ 1036_231)_ Flow1D [m AD];Q-HagestbeSchoonh: Water level at (Lek5_B_B_A_ 5742_415)_ Flow1D [m AD];961.00_LE: Water level at (Lek5_B_B_B_ 718_746)_ Flow1D [m AD];972.00_LE: Water level at (Lek7_A_B_ 4715_827)_ Flow1D [m AD];978.00_LE: Water level at (Lek7_B_B_ 1192_65)_ Flow1D [m AD]
24-01-00 18:00;12.31;12.046;11.575;9.756;9.0011;7.9228;7.6233;6.2611;5.0153;4.7058;4.5542;4.0926;3.9518;3.7384;3.2692;3.1236;2.2777;1.9657
24-01-00 19:00;12.29;12.029;11.557;9.7401;8.9847;7.9063;7.6072;6.2474;5.0034;4.6935;4.5414;4.0806;3.9394;3.7264;3.2572;3.1127;2.2703;1.9606
24-01-00 20:00;12.272;12.012;11.54;9.724;8.9681;7.8899;7.591;6.2336;4.9915;4.6813;4.5286;4.0687;3.9271;3.7146;3.2453;3.102;2.263;1.9556
24-01-00 21:00;12.253;11.995;11.522;9.7078;8.9513;7.8734;7.5748;6.2197;4.9796;4.6692;4.5159;4.057;3.915;3.7031;3.2334;3.0913;2.2558;1.9507
24-01-00 22:00;12.235;11.978;11.504;9.6914;8.9341;7.8568;7.5585;6.2056;4.9675;4.6572;4.5033;4.0455;3.9031;3.6917;3.2217;3.0807;2.2487;1.9458
24-01-00 23:00;12.217;11.962;11.487;9.675;8.9164;7.8401;7.5422;6.1914;4.9554;4.6453;4.4908;4.0341;3.8914;3.6804;3.2102;3.0702;2.2417;1.941
25-01-00 00:00;12.199;11.945;11.469;9.6585;8.8984;7.8233;7.5258;6.1771;4.9432;4.6335;4.4783;4.0228;3.8797;3.6692;3.1988;3.0599;2.2348;1.9363
25-01-00 01:00;12.182;11.929;11.452;9.6419;8.8802;7.8064;7.5092;6.1628;4.931;4.6217;4.4659;4.0115;3.868;3.658;3.1875;3.0497;2.228;1.9316
25-01-00 02:00;12.164;11.913;11.434;9.6252;8.8617;7.7894;7.4926;6.1483;4.9187;4.6099;4.4534;4.0003;3.8564;3.6469;3.1764;3.0396;2.2213;1.9271
25-01-00 03:00;12.147;11.897;11.417;9.6083;8.8431;7.7721;7.4759;6.1337;4.9064;4.5981;4.4409;3.9891;3.8449;3.6359;3.1653;3.0296;2.2147;1.9226
25-01-00 04:00;12.129;11.88;11.4;9.5912;8.8245;7.7543;7.4586;6.119;4.894;4.5862;4.4284;3.978;3.8334;3.6249;3.1543;3.0196;2.2082;1.9181
25-01-00 05:00;12.112;11.864;11.382;9.5738;8.8059;7.7364;7.4413;6.1041;4.8815;4.5743;4.4159;3.9668;3.8218;3.6138;3.1434;3.0097;2.2017;1.9137
25-01-00 06:00;12.095;11.849;11.365;9.5559;8.7871;7.7184;7.4238;6.089;4.869;4.5623;4.4034;3.9557;3.8103;3.6029;3.1326;2.9999;2.1953;1.9093
25-01-00 07:00;12.079;11.833;11.348;9.5373;8.7681;7.7002;7.4062;6.0738;4.8563;4.5502;4.3908;3.9446;3.7989;3.5919;3.1218;2.9901;2.1889;1.905
25-01-00 08:00;12.062;11.817;11.331;9.5182;8.7487;7.6818;7.3883;6.0585;4.8435;4.538;4.378;3.9334;3.7873;3.5809;3.1111;2.9803;2.1826;1.9007
25-01-00 09:00;12.046;11.802;11.314;9.4988;8.7291;7.663;7.3701;6.0431;4.8305;4.5257;4.3652;3.9222;3.7758;3.5699;3.1003;2.9706;2.1763;1.8964
25-01-00 10:00;12.03;11.787;11.298;9.4791;8.7091;7.6439;7.3516;6.0276;4.8174;4.5132;4.3523;3.9109;3.7642;3.5588;3.0896;2.9608;2.1701;1.8922
25-01-00 11:00;12.015;11.771;11.281;9.4592;8.6885;7.6244;7.3328;6.0119;4.8041;4.5006;4.3392;3.8996;3.7525;3.5477;3.0789;2.9511;2.1639;1.888
25-01-00 12:00;11.998;11.756;11.264;9.4391;8.6675;7.6044;7.3136;5.9959;4.7906;4.4878;4.326;3.8881;3.7407;3.5364;3.0682;2.9413;2.1577;1.8838
25-01-00 13:00;11.982;11.74;11.248;9.4186;8.6463;7.5839;7.2939;5.9797;4.7769;4.4748;4.3126;3.8766;3.7289;3.5251;3.0575;2.9316;2.1515;1.8796
25-01-00 14:00;11.966;11.725;11.231;9.3977;8.6248;7.5631;7.2739;5.9632;4.763;4.4616;4.299;3.8649;3.7169;3.5137;3.0468;2.9218;2.1453;1.8754
25-01-00 15:00;11.95;11.709;11.215;9.3766;8.6031;7.5418;7.2535;5.9464;4.7489;4.4482;4.2852;3.8531;3.7048;3.5022;3.036;2.9119;2.1392;1.8712
25-01-00 16:00;11.933;11.694;11.198;9.3555;8.5812;7.5202;7.2327;5.9293;4.7344;4.4345;4.2712;3.8412;3.6926;3.4906;3.0252;2.902;2.133;1.867
25-01-00 17:00;11.917;11.678;11.182;9.3344;8.5592;7.4983;7.2115;5.9119;4.7198;4.4206;4.257;3.8291;3.6802;3.4788;3.0143;2.892;2.1268;1.8628
25-01-00 18:00;11.901;11.662;11.165;9.3131;8.5371;7.4759;7.19;5.8941;4.7048;4.4064;4.2425;3.8167;3.6677;3.4668;3.0033;2.882;2.1205;1.8586
25-01-00 19:00;11.884;11.646;11.149;9.2918;8.5149;7.4533;7.1681;5.8757;4.6895;4.3919;4.2278;3.8042;3.655;3.4547;2.9923;2.8719;2.1143;1.8544
25-01-00 20:00;11.867;11.63;11.132;9.2704;8.4929;7.4304;7.1459;5.8569;4.6738;4.3771;4.2128;3.7914;3.642;3.4424;2.9812;2.8617;2.108;1.8501
25-01-00 21:00;11.851;11.614;11.115;9.2489;8.4708;7.4072;7.1236;5.8378;4.6578;4.3619;4.1976;3.7784;3.6289;3.43;2.97;2.8513;2.1016;1.8457
25-01-00 22:00;11.834;11.597;11.099;9.2274;8.4489;7.3839;7.101;5.8183;4.6413;4.3463;4.182;3.7651;3.6155;3.4172;2.9587;2.8408;2.095;1.841
25-01-00 23:00;11.817;11.581;11.082;9.206;8.4269;7.3603;7.0781;5.7985;4.6245;4.3304;4.166;3.7514;3.6019;3.4043;2.9471;2.8301;2.0882;1.8362
26-01-00 00:00;11.8;11.564;11.065;9.1846;8.4051;7.3365;7.055;5.7784;4.6074;4.3142;4.1498;3.7375;3.588;3.391;2.9354;2.8193;2.0813;1.8314
26-01-00 01:00;11.783;11.548;11.049;9.1632;8.3834;7.3126;7.0318;5.7577;4.5899;4.2976;4.1332;3.7232;3.5738;3.3775;2.9235;2.8082;2.0743;1.8264
26-01-00 02:00;11.766;11.531;11.032;9.1418;8.362;7.2886;7.0085;5.7368;4.572;4.2806;4.1163;3.7086;3.5594;3.3638;2.9114;2.797;2.0672;1.8214
26-01-00 03:00;11.749;11.514;11.015;9.1205;8.3406;7.2645;6.9849;5.7155;4.5537;4.2633;4.099;3.6937;3.5447;3.3498;2.8992;2.7855;2.06;1.8163
26-01-00 04:00;11.732;11.497;10.998;9.0992;8.3193;7.2402;6.9613;5.6938;4.5351;4.2456;4.0814;3.6785;3.5297;3.3355;2.8868;2.7739;2.0527;1.8111
26-01-00 05:00;11.715;11.48;10.981;9.078;8.298;7.2158;6.9375;5.672;4.5161;4.2276;4.0636;3.663;3.5145;3.321;2.8742;2.7621;2.0453;1.8059
26-01-00 06:00;11.698;11.464;10.964;9.0571;8.2767;7.1914;6.9135;5.6498;4.4968;4.2092;4.0454;3.6472;3.4991;3.3063;2.8614;2.7502;2.0378;1.8006
26-01-00 07:00;11.682;11.447;10.947;9.0362;8.2554;7.1669;6.8896;5.6274;4.4772;4.1904;4.0268;3.631;3.4834;3.2914;2.8485;2.7381;2.0303;1.7952
26-01-00 08:00;11.665;11.431;10.93;9.0156;8.2341;7.1425;6.8656;5.6047;4.4573;4.1713;4.008;3.6146;3.4675;3.2762;2.8354;2.7258;2.0226;1.7898
26-01-00 09:00;11.649;11.414;10.913;8.995;8.2128;7.118;6.8415;5.5819;4.4371;4.1519;3.9889;3.5978;3.4514;3.2609;2.8222;2.7133;2.0148;1.7843
26-01-00 10:00;11.633;11.398;10.896;8.9746;8.1915;7.0937;6.8175;5.5588;4.4166;4.1322;3.9695;3.5809;3.4351;3.2453;2.8089;2.7007;2.007;1.7788
26-01-00 11:00;11.617;11.382;10.88;8.9544;8.1703;7.0694;6.7936;5.5354;4.3959;4.1121;3.95;3.5637;3.4186;3.2295;2.7954;2.6879;1.999;1.7731
26-01-00 12:00;11.601;11.365;10.863;8.9343;8.1492;7.0452;6.7698;5.512;4.375;4.0918;3.9302;3.5463;3.4019;3.2136;2.7819;2.6751;1.9911;1.7675
26-01-00 13:00;11.585;11.349;10.847;8.9144;8.1281;7.0212;6.7461;5.4884;4.3537;4.0713;3.9102;3.5287;3.385;3.1975;2.7682;2.662;1.983;1.7618
26-01-00 14:00;11.57;11.333;10.83;8.8946;8.1071;6.9975;6.7226;5.4647;4.3322;4.0505;3.89;3.511;3.368;3.1813;2.7544;2.6489;1.9749;1.7561
26-01-00 15:00;11.554;11.317;10.813;8.8751;8.0863;6.9741;6.6994;5.4409;4.3105;4.0294;3.8696;3.493;3.3507;3.1649;2.7404;2.6357;1.9668;1.7503
26-01-00 16:00;11.538;11.3;10.796;8.8556;8.0655;6.9511;6.6766;5.4171;4.2885;4.0081;3.849;3.4749;3.3333;3.1483;2.7263;2.6223;1.9585;1.7445
26-01-00 17:00;11.522;11.284;10.779;8.8364;8.0448;6.9285;6.6544;5.3934;4.2664;3.9867;3.8282;3.4567;3.3158;3.1316;2.7122;2.6089;1.9503;1.7386
26-01-00 18:00;11.506;11.267;10.762;8.8172;8.0243;6.9064;6.6325;5.3696;4.2442;3.9652;3.8074;3.4382;3.2981;3.1147;2.6979;2.5953;1.942;1.7327
26-01-00 19:00;11.49;11.25;10.745;8.798;8.0039;6.8848;6.6113;5.346;4.222;3.9436;3.7864;3.4197;3.2803;3.0978;2.6835;2.5817;1.9336;1.7268
26-01-00 20:00;11.474;11.234;10.727;8.7789;7.9836;6.8636;6.5905;5.3224;4.1998;3.9219;3.7654;3.4012;3.2624;3.0807;2.6691;2.568;1.9253;1.7209
26-01-00 21:00;11.457;11.217;10.71;8.7599;7.9635;6.843;6.5703;5.2989;4.1776;3.9003;3.7444;3.3825;3.2445;3.0636;2.6546;2.5542;1.9169;1.715
26-01-00 22:00;11.441;11.2;10.692;8.7409;7.9434;6.8229;6.5506;5.2754;4.1554;3.8786;3.7233;3.3639;3.2266;3.0465;2.6401;2.5405;1.9085;1.709
26-01-00 23:00;11.425;11.182;10.675;8.722;7.9234;6.8032;6.5313;5.252;4.1332;3.857;3.7024;3.3453;3.2087;3.0295;2.6256;2.5267;1.9001;1.703
27-01-00 00:00;11.408;11.165;10.657;8.7031;7.9036;6.7837;6.5124;5.2288;4.1111;3.8354;3.6814;3.3267;3.1908;3.0124;2.6112;2.513;1.8918;1.6971
27-01-00 01:00;11.391;11.148;10.639;8.6843;7.8838;6.7646;6.4936;5.2057;4.0889;3.8139;3.6605;3.3081;3.1729;2.9954;2.5968;2.4994;1.8835;1.6912
27-01-00 02:00;11.375;11.131;10.622;8.6655;7.8641;6.7456;6.4751;5.1829;4.0669;3.7924;3.6396;3.2896;3.1551;2.9784;2.5824;2.4858;1.8752;1.6853
27-01-00 03:00;11.358;11.114;10.604;8.6466;7.8444;6.7268;6.4566;5.1605;4.0451;3.7711;3.619;3.2712;3.1373;2.9616;2.5682;2.4722;1.867;1.6795
27-01-00 04:00;11.342;11.098;10.587;8.6278;7.8247;6.7081;6.4383;5.1384;4.0235;3.75;3.5985;3.2529;3.1197;2.9448;2.554;2.4588;1.8589;1.6737
27-01-00 05:00;11.326;11.082;10.571;8.609;7.8051;6.6895;6.42;5.1166;4.0022;3.7292;3.5782;3.2348;3.1023;2.9282;2.5399;2.4455;1.8508;1.668
27-01-00 06:00;11.31;11.067;10.555;8.5903;7.7854;6.6709;6.4017;5.0951;3.981;3.7086;3.5582;3.2169;3.0851;2.9118;2.526;2.4323;1.8429;1.6623
27-01-00 07:00;11.295;11.053;10.539;8.5716;7.7658;6.6523;6.3834;5.074;3.9602;3.6882;3.5384;3.1992;3.0681;2.8956;2.5123;2.4193;1.835;1.6567
27-01-00 08:00;11.28;11.038;10.524;8.553;7.7464;6.6337;6.365;5.0533;3.9397;3.6682;3.5189;3.1818;3.0513;2.8797;2.4988;2.4065;1.8273;1.6512
27-01-00 09:00;11.266;11.025;10.509;8.5346;7.7271;6.615;6.3465;5.033;3.9196;3.6485;3.4997;3.1646;3.0348;2.864;2.4856;2.3939;1.8197;1.6458
27-01-00 10:00;11.251;11.011;10.494;8.5164;7.7079;6.5962;6.3277;5.013;3.8998;3.6292;3.4809;3.1477;3.0185;2.8486;2.4725;2.3815;1.8123;1.6405
27-01-00 11:00;11.237;10.998;10.48;8.4983;7.6888;6.5771;6.3084;4.9937;3.8805;3.6103;3.4625;3.1312;3.0026;2.8334;2.4598;2.3694;1.805;1.6353
27-01-00 12:00;11.223;10.985;10.466;8.4804;7.6698;6.5579;6.2892;4.9748;3.8617;3.5919;3.4445;3.115;2.9871;2.8187;2.4473;2.3576;1.7979;1.6302
27-01-00 13:00;11.21;10.972;10.452;8.4627;7.6509;6.5388;6.2701;4.9562;3.8433;3.5738;3.4269;3.0992;2.9719;2.8042;2.4351;2.346;1.791;1.6252
27-01-00 14:00;11.196;10.959;10.438;8.4452;7.6321;6.52;6.2511;4.9379;3.8253;3.5562;3.4097;3.0838;2.957;2.7901;2.4232;2.3347;1.7842;1.6203
27-01-00 15:00;11.182;10.947;10.425;8.428;7.6135;6.5014;6.2324;4.9198;3.8076;3.539;3.3929;3.0687;2.9425;2.7764;2.4116;2.3237;1.7776;1.6156
27-01-00 16:00;11.169;10.934;10.411;8.4109;7.5952;6.483;6.214;4.902;3.7903;3.5221;3.3764;3.054;2.9283;2.7629;2.4003;2.313;1.7713;1.6111
27-01-00 17:00;11.156;10.922;10.398;8.394;7.577;6.4649;6.1958;4.8845;3.7734;3.5056;3.3603;3.0395;2.9145;2.7498;2.3892;2.3025;1.765;1.6066
27-01-00 18:00;11.143;10.91;10.385;8.3775;7.5592;6.4469;6.1778;4.8673;3.7568;3.4893;3.3445;3.0254;2.9009;2.7369;2.3785;2.2923;1.759;1.6022
27-01-00 19:00;11.13;10.898;10.372;8.3612;7.5418;6.4292;6.16;4.8504;3.7406;3.4734;3.329;3.0115;2.8876;2.7244;2.368;2.2824;1.7531;1.598
27-01-00 20:00;11.117;10.886;10.359;8.3453;7.5248;6.4118;6.1425;4.8338;3.7246;3.4579;3.3139;2.998;2.8747;2.7121;2.3577;2.2727;1.7473;1.5939
27-01-00 21:00;11.104;10.874;10.347;8.3297;7.5081;6.3948;6.1253;4.8174;3.7089;3.4426;3.299;2.9847;2.862;2.7001;2.3477;2.2632;1.7417;1.5899
27-01-00 22:00;11.091;10.862;10.334;8.3144;7.4917;6.378;6.1084;4.8014;3.6936;3.4276;3.2844;2.9717;2.8495;2.6884;2.3379;2.2539;1.7363;1.5859
27-01-00 23:00;11.078;10.85;10.321;8.2994;7.4756;6.3615;6.0918;4.7856;3.6785;3.4129;3.2702;2.959;2.8374;2.6769;2.3283;2.2448;1.7309;1.5821
28-01-00 00:00;11.065;10.839;10.309;8.2847;7.4598;6.3453;6.0755;4.7702;3.6637;3.3985;3.2562;2.9465;2.8254;2.6656;2.3189;2.2359;1.7256;1.5781
28-01-00 01:00;11.052;10.827;10.297;8.2702;7.4442;6.3295;6.0595;4.755;3.6492;3.3844;3.2425;2.9343;2.8138;2.6546;2.3096;2.2271;1.7202;1.574
28-01-00 02:00;11.04;10.816;10.285;8.256;7.4289;6.3139;6.0438;4.7401;3.635;3.3706;3.229;2.9223;2.8023;2.6437;2.3005;2.2185;1.7148;1.57
28-01-00 03:00;11.027;10.804;10.273;8.242;7.4139;6.2987;6.0284;4.7255;3.621;3.357;3.2158;2.9106;2.791;2.6331;2.2915;2.2099;1.7095;1.5659
28-01-00 04:00;11.015;10.793;10.261;8.2283;7.3992;6.2837;6.0133;4.7112;3.6073;3.3437;3.2029;2.899;2.78;2.6226;2.2826;2.2015;1.7043;1.562
28-01-00 05:00;11.003;10.782;10.249;8.2148;7.3847;6.2691;5.9986;4.6972;3.5939;3.3307;3.1902;2.8877;2.7691;2.6123;2.274;2.1933;1.6992;1.5581
28-01-00 06:00;10.992;10.771;10.237;8.2015;7.3705;6.2547;5.9841;4.6834;3.5808;3.3179;3.1778;2.8765;2.7585;2.6022;2.2654;2.1852;1.6942;1.5542
28-01-00 07:00;10.981;10.76;10.226;8.1885;7.3567;6.2405;5.9698;4.67;3.5679;3.3054;3.1656;2.8657;2.7481;2.5923;2.2571;2.1773;1.6892;1.5505
28-01-00 08:00;10.97;10.749;10.215;8.1758;7.3432;6.2265;5.9558;4.6567;3.5553;3.2931;3.1536;2.855;2.7379;2.5827;2.249;2.1696;1.6844;1.5468
28-01-00 09:00;10.959;10.739;10.203;8.1633;7.33;6.2129;5.942;4.6437;3.5429;3.2811;3.142;2.8446;2.7279;2.5732;2.241;2.162;1.6797;1.5432
28-01-00 10:00;10.948;10.728;10.192;8.151;7.3171;6.1994;5.9285;4.631;3.5307;3.2693;3.1305;2.8343;2.7181;2.5639;2.2332;2.1546;1.6751;1.5397
28-01-00 11:00;10.937;10.718;10.182;8.139;7.3044;6.1863;5.9153;4.6185;3.5188;3.2577;3.1193;2.8243;2.7086;2.5548;2.2255;2.1473;1.6706;1.5363
28-01-00 12:00;10.927;10.707;10.171;8.1272;7.2919;6.1734;5.9023;4.6062;3.5072;3.2464;3.1083;2.8145;2.6992;2.546;2.218;2.1402;1.6662;1.5329
28-01-00 13:00;10.916;10.697;10.16;8.1155;7.2797;6.1608;5.8896;4.5942;3.4958;3.2354;3.0976;2.8049;2.69;2.5372;2.2107;2.1333;1.6619;1.5296
28-01-00 14:00;10.906;10.687;10.15;8.104;7.2677;6.1484;5.8771;4.5824;3.4846;3.2245;3.087;2.7955;2.6811;2.5287;2.2035;2.1265;1.6577;1.5264
28-01-00 15:00;10.895;10.677;10.139;8.0927;7.2559;6.1362;5.8649;4.5708;3.4737;3.2139;3.0768;2.7863;2.6723;2.5204;2.1965;2.1198;1.6536;1.5233
28-01-00 16:00;10.885;10.666;10.129;8.0815;7.2443;6.1243;5.8529;4.5595;3.463;3.2036;3.0667;2.7773;2.6637;2.5122;2.1897;2.1133;1.6496;1.5202
28-01-00 17:00;10.875;10.656;10.118;8.0705;7.2328;6.1126;5.8411;4.5484;3.4525;3.1934;3.0568;2.7685;2.6553;2.5042;2.1829;2.1069;1.6457;1.5172
28-01-00 18:00;10.864;10.646;10.108;8.0596;7.2215;6.101;5.8296;4.5375;3.4422;3.1834;3.0471;2.7599;2.6471;2.4964;2.1764;2.1007;1.6419;1.5143
28-01-00 19:00;10.854;10.636;10.098;8.0488;7.2104;6.0897;5.8182;4.5268;3.4321;3.1737;3.0377;2.7515;2.6391;2.4887;2.1699;2.0946;1.6381;1.5114
28-01-00 20:00;10.844;10.626;10.088;8.0381;7.1994;6.0785;5.807;4.5163;3.4222;3.1641;3.0284;2.7432;2.6312;2.4812;2.1637;2.0887;1.6345;1.5086
28-01-00 21:00;10.833;10.616;10.078;8.0275;7.1885;6.0675;5.796;4.5059;3.4126;3.1548;3.0194;2.7352;2.6236;2.4739;2.1575;2.0828;1.6309;1.5059
28-01-00 22:00;10.823;10.606;10.068;8.0169;7.1778;6.0566;5.7851;4.4958;3.4031;3.1456;3.0105;2.7273;2.616;2.4667;2.1515;2.0771;1.6274;1.5032
28-01-00 23:00;10.813;10.597;10.058;8.0065;7.1672;6.0459;5.7743;4.4858;3.3938;3.1367;3.0018;2.7195;2.6087;2.4597;2.1456;2.0716;1.624;1.5006
29-01-00 00:00;10.803;10.587;10.048;7.9962;7.1567;6.0353;5.7637;4.476;3.3846;3.1279;2.9933;2.712;2.6015;2.4528;2.1399;2.0661;1.6207;1.4981
29-01-00 01:00;10.793;10.577;10.038;7.9859;7.1462;6.0248;5.7533;4.4663;3.3757;3.1192;2.9849;2.7045;2.5944;2.4461;2.1342;2.0608;1.6174;1.4956
29-01-00 02:00;10.782;10.567;10.028;7.9757;7.1358;6.0144;5.7429;4.4567;3.3669;3.1107;2.9767;2.6972;2.5875;2.4394;2.1287;2.0555;1.6142;1.4931
29-01-00 03:00;10.772;10.557;10.018;7.9657;7.1255;6.0041;5.7326;4.4473;3.3582;3.1024;2.9686;2.6901;2.5807;2.4329;2.1233;2.0504;1.6111;1.4907
29-01-00 04:00;10.762;10.547;10.008;7.9556;7.1152;5.9938;5.7224;4.438;3.3497;3.0942;2.9607;2.683;2.574;2.4266;2.118;2.0454;1.6081;1.4884
29-01-00 05:00;10.752;10.537;9.9975;7.9456;7.105;5.9837;5.7123;4.4289;3.3413;3.0861;2.9529;2.6761;2.5674;2.4203;2.1127;2.0404;1.6051;1.4861
29-01-00 06:00;10.741;10.527;9.9875;7.9357;7.0949;5.9736;5.7023;4.4198;3.333;3.0781;2.9452;2.6693;2.561;2.4141;2.1076;2.0356;1.6021;1.4838
29-01-00 07:00;10.731;10.517;9.9775;7.9257;7.0848;5.9637;5.6924;4.4108;3.3248;3.0703;2.9376;2.6626;2.5546;2.408;2.1025;2.0308;1.5992;1.4816
29-01-00 08:00;10.721;10.507;9.9674;7.9158;7.0748;5.9537;5.6826;4.4019;3.3168;3.0625;2.9301;2.656;2.5483;2.4021;2.0976;2.0261;1.5964;1.4794
29-01-00 09:00;10.71;10.497;9.9574;7.9059;7.0648;5.9439;5.6728;4.3931;3.3088;3.0549;2.9228;2.6495;2.5422;2.3962;2.0927;2.0215;1.5936;1.4773
29-01-00 10:00;10.7;10.487;9.9473;7.896;7.0548;5.9341;5.6631;4.3844;3.3009;3.0473;2.9155;2.643;2.5361;2.3904;2.0879;2.0169;1.5908;1.4752
29-01-00 11:00;10.689;10.477;9.9372;7.8862;7.0448;5.9243;5.6534;4.3757;3.2931;3.0398;2.9083;2.6367;2.53;2.3846;2.0831;2.0124;1.5881;1.4731
29-01-00 12:00;10.679;10.467;9.9271;7.8763;7.0349;5.9146;5.6438;4.3671;3.2854;3.0324;2.9011;2.6304;2.5241;2.379;2.0784;2.008;1.5855;1.471
29-01-00 13:00;10.669;10.457;9.917;7.8665;7.025;5.9049;5.6342;4.3586;3.2777;3.0251;2.8941;2.6242;2.5182;2.3734;2.0738;2.0036;1.5828;1.469
29-01-00 14:00;10.658;10.447;9.9068;7.8566;7.0152;5.8953;5.6246;4.3501;3.2701;3.0179;2.8871;2.6181;2.5124;2.3678;2.0692;1.9992;1.5802;1.467
29-01-00 15:00;10.648;10.437;9.8967;7.8468;7.0053;5.8857;5.6151;4.3417;3.2626;3.0107;2.8802;2.612;2.5067;2.3623;2.0647;1.995;1.5777;1.4651
29-01-00 16:00;10.637;10.426;9.8866;7.8369;6.9955;5.8761;5.6057;4.3333;3.2551;3.0035;2.8733;2.6059;2.5009;2.3569;2.0602;1.9907;1.5751;1.4631
29-01-00 17:00;10.627;10.416;9.8764;7.8271;6.9857;5.8665;5.5962;4.3249;3.2477;2.9965;2.8665;2.5999;2.4953;2.3515;2.0557;1.9865;1.5726;1.4612
29-01-00 18:00;10.616;10.406;9.8663;7.8173;6.9759;5.857;5.5868;4.3166;3.2403;2.9894;2.8597;2.594;2.4897;2.3462;2.0513;1.9824;1.5701;1.4593
29-01-00 19:00;10.606;10.396;9.8561;7.8075;6.9661;5.8475;5.5774;4.3083;3.2329;2.9824;2.853;2.5881;2.4841;2.3409;2.047;1.9783;1.5677;1.4574
29-01-00 20:00;10.595;10.386;9.8459;7.7977;6.9564;5.838;5.568;4.3;3.2256;2.9755;2.8463;2.5822;2.4786;2.3356;2.0426;1.9742;1.5652;1.4555
29-01-00 21:00;10.584;10.376;9.8357;7.7879;6.9466;5.8285;5.5587;4.2918;3.2184;2.9686;2.8397;2.5764;2.4731;2.3304;2.0384;1.9701;1.5628;1.4537
29-01-00 22:00;10.574;10.365;9.8255;7.7781;6.9369;5.8191;5.5494;4.2836;3.2111;2.9617;2.8331;2.5706;2.4676;2.3252;2.0341;1.9661;1.5604;1.4518
29-01-00 23:00;10.563;10.355;9.8152;7.7683;6.9272;5.8097;5.5401;4.2755;3.2039;2.9548;2.8265;2.5649;2.4622;2.32;2.0298;1.9621;1.5581;1.45
30-01-00 00:00;10.552;10.345;9.805;7.7585;6.9175;5.8002;5.5308;4.2673;3.1968;2.948;2.82;2.5592;2.4568;2.3149;2.0256;1.9581;1.5557;1.4482
30-01-00 01:00;10.542;10.335;9.7947;7.7486;6.9077;5.7908;5.5215;4.2592;3.1896;2.9412;2.8135;2.5535;2.4514;2.3098;2.0214;1.9541;1.5534;1.4464
30-01-00 02:00;10.532;10.325;9.7845;7.7388;6.898;5.7814;5.5122;4.2511;3.1825;2.9345;2.807;2.5478;2.4461;2.3047;2.0173;1.9502;1.551;1.4446
30-01-00 03:00;10.522;10.315;9.7748;7.7289;6.8883;5.772;5.503;4.243;3.1754;2.9277;2.8005;2.5421;2.4408;2.2997;2.0131;1.9463;1.5487;1.4428
30-01-00 04:00;10.513;10.307;9.7656;7.7192;6.8786;5.7626;5.4937;4.2349;3.1683;2.921;2.7941;2.5365;2.4355;2.2946;2.009;1.9424;1.5464;1.4411
30-01-00 05:00;10.505;10.298;9.7568;7.7096;6.869;5.7533;5.4845;4.2268;3.1613;2.9143;2.7877;2.5309;2.4302;2.2896;2.0049;1.9385;1.5441;1.4393
30-01-00 06:00;10.497;10.29;9.7484;7.7002;6.8595;5.744;5.4753;4.2188;3.1542;2.9077;2.7813;2.5253;2.425;2.2846;2.0008;1.9347;1.5418;1.4376
30-01-00 07:00;10.49;10.283;9.7403;7.6911;6.8503;5.7348;5.4662;4.2108;3.1472;2.901;2.7749;2.5197;2.4197;2.2797;1.9967;1.9308;1.5396;1.4358
30-01-00 08:00;10.482;10.276;9.7326;7.6823;6.8412;5.7257;5.4572;4.2028;3.1402;2.8944;2.7686;2.5142;2.4145;2.2747;1.9927;1.927;1.5373;1.4341
30-01-00 09:00;10.475;10.269;9.7252;7.6737;6.8324;5.7169;5.4484;4.1949;3.1333;2.8878;2.7622;2.5087;2.4093;2.2698;1.9886;1.9232;1.5351;1.4323
30-01-00 10:00;10.469;10.262;9.7181;7.6655;6.8239;5.7082;5.4397;4.1871;3.1264;2.8813;2.756;2.5032;2.4041;2.2649;1.9846;1.9194;1.5328;1.4306
30-01-00 11:00;10.462;10.256;9.7112;7.6575;6.8156;5.6996;5.4313;4.1794;3.1196;2.8748;2.7498;2.4977;2.399;2.26;1.9806;1.9156;1.5306;1.4289
