Time [yyyy-MM-dd HH:mm:ss];Discharge at (51_A_B_ 3863_562) [m³/s];Discharge at (Bovenrijn_A_ 1797_096) [m³/s]
29-01-00 00:00;6011;6030
29-01-00 01:00;5996.5;6015.2
29-01-00 02:00;5982.3;6000.7
29-01-00 03:00;5968.8;5986.7
29-01-00 04:00;5956.4;5973.7
29-01-00 05:00;5945.2;5961.7
29-01-00 06:00;5935.2;5950.7
29-01-00 07:00;5926.1;5940.7
29-01-00 08:00;5918;5931.6
29-01-00 09:00;5910.6;5923.3
29-01-00 10:00;5904;5915.8
29-01-00 11:00;5898;5909
29-01-00 12:00;5892.6;5902.8
29-01-00 13:00;5887.6;5897.1
29-01-00 14:00;5883.1;5892
29-01-00 15:00;5879.1;5887.3
29-01-00 16:00;5875.3;5883
29-01-00 17:00;5871.9;5879.1
29-01-00 18:00;5868.8;5875.5
29-01-00 19:00;5865.9;5872.2
29-01-00 20:00;5863.3;5869.1
29-01-00 21:00;5860.8;5866.3
29-01-00 22:00;5858.5;5863.7
29-01-00 23:00;5856.4;5861.3
30-01-00 00:00;5854.5;5859
30-01-00 01:00;5852.6;5856.9
30-01-00 02:00;5850.9;5855
30-01-00 03:00;5848.5;5852.7
30-01-00 04:00;5845.1;5849.6
30-01-00 05:00;5840.4;5845.5
30-01-00 06:00;5834.7;5840.3
30-01-00 07:00;5827.8;5834.2
30-01-00 08:00;5820.1;5827.1
30-01-00 09:00;5811.6;5819.2
30-01-00 10:00;5802.3;5810.6
30-01-00 11:00;5792.5;5801.3
30-01-00 12:00;5782.1;5791.5
30-01-00 13:00;5771.2;5781.1
30-01-00 14:00;5759.9;5770.3
30-01-00 15:00;5748.2;5759
30-01-00 16:00;5736.2;5747.4
30-01-00 17:00;5723.9;5735.5
30-01-00 18:00;5711.3;5723.2
30-01-00 19:00;5698.5;5710.8
30-01-00 20:00;5685.5;5698
30-01-00 21:00;5672.3;5685.1
30-01-00 22:00;5659;5672
30-01-00 23:00;5645.6;5658.7
31-01-00 00:00;5632.3;5645.5
