Time [yyyy-MM-dd HH:mm:ss];Q-IJsselkpDoesbbrg: Discharge at (IJssel02_B_B_B_ 173_859)_ Flow1D [m³/s];905.00_IJ: Discharge at (IJssel03_B_A_ 474_452)_ Flow1D [m³/s];50844ObsUS: Discharge at (IJssel03_B_A_ 12393_22)_ Flow1D [m³/s];923.00_IJ: Discharge at (IJssel03_B_B_B_ 498_93)_ Flow1D [m³/s];50848ObsUS: Discharge at (IJssel04_A_ 109_4015)_ Flow1D [m³/s];940.00_IJ: Discharge at (IJssel05_B_ 665_96)_ Flow1D [m³/s];50842ObsUS: Discharge at (IJssel06_A_ 1202_662)_ Flow1D [m³/s];Veessenboven: Discharge at (IJssel07_B_B_ 348_517)_ Flow1D [m³/s];odd_006: Discharge at (IJssel07_A_ 249)_ Flow1D [m³/s];944.00_IJ: Discharge at (IJssel06_B_B_A_ 187_8305)_ Flow1D [m³/s];947.00_IJ: Discharge at (IJssel06_B_B_B_A_ 434_799)_ Flow1D [m³/s];949.00_IJ: Discharge at (IJssel06_B_B_B_B_A_ 42_872)_ Flow1D [m³/s];950.00_IJ: Discharge at (IJssel06_B_B_B_B_B_ 65_6005)_ Flow1D [m³/s];977.00_IJ: Discharge at (IJssel09_B_ 100_375)_ Flow1D [m³/s]
29-01-00 22:00;660.18;717.65;743.01;754.18;791.05;801.63;812.53;838.41;832.19;813.44;819.91;821.42;822.35;859.99
29-01-00 23:00;658.17;715.63;740.98;752.13;789.02;799.63;810.53;836.42;830.22;811.45;817.93;819.43;820.37;857.82
30-01-00 00:00;656.17;713.62;738.95;750.1;787.01;797.63;808.55;834.45;828.27;809.46;815.95;817.46;818.4;855.68
30-01-00 01:00;654.18;711.6;736.93;748.07;785;795.64;806.58;832.49;826.33;807.5;813.99;815.51;816.45;853.56
30-01-00 02:00;652.27;709.59;734.91;746.04;783;793.67;804.62;830.55;824.41;805.54;812.04;813.57;814.51;851.47
30-01-00 03:00;650.57;707.58;732.89;744.02;781;791.7;802.66;828.62;822.5;803.59;810.09;811.63;812.57;849.4
30-01-00 04:00;649.04;705.63;730.86;741.99;779.01;789.74;800.71;826.71;820.6;801.64;808.16;809.7;810.65;847.35
30-01-00 05:00;647.65;703.76;728.85;739.97;777.03;787.79;798.77;824.82;818.72;799.71;806.23;807.79;808.74;845.32
30-01-00 06:00;646.38;701.98;726.85;737.96;775.04;785.84;796.84;822.93;816.85;797.79;804.32;805.88;806.84;843.31
30-01-00 07:00;645.2;700.28;724.89;735.98;773.07;783.9;794.92;821.07;814.99;795.87;802.41;803.99;804.95;841.32
30-01-00 08:00;644.1;698.67;722.96;734.03;771.12;781.97;793.01;819.22;813.15;793.96;800.52;802.1;803.06;839.35
30-01-00 09:00;643.06;697.13;721.07;732.12;769.18;780.06;791.1;817.38;811.32;792.06;798.63;800.23;801.19;837.4
30-01-00 10:00;642.08;695.66;719.24;730.25;767.27;778.16;789.22;815.55;809.5;790.18;796.76;798.36;799.34;835.46
30-01-00 11:00;641.15;694.26;717.45;728.43;765.39;776.27;787.35;813.73;807.69;788.31;794.9;796.52;797.49;833.54
30-01-00 12:00;640.26;692.92;715.7;726.65;763.54;774.42;785.5;811.93;805.89;786.47;793.06;794.69;795.66;831.64
30-01-00 13:00;639.42;691.62;714;724.92;761.72;772.59;783.67;810.14;804.1;784.64;791.25;792.88;793.86;829.75
30-01-00 14:00;638.6;690.38;712.34;723.22;759.95;770.78;781.87;808.36;802.34;782.84;789.45;791.09;792.07;827.87
30-01-00 15:00;637.82;689.15;710.72;721.57;758.2;769;780.1;806.59;800.58;781.07;787.69;789.33;790.31;826.02
30-01-00 16:00;637.05;687.96;709.15;719.97;756.49;767.24;778.34;804.85;798.85;779.32;785.94;787.59;788.57;824.18
30-01-00 17:00;636.31;686.8;707.63;718.4;754.82;765.52;776.62;803.12;797.14;777.59;784.22;785.87;786.86;822.36
30-01-00 18:00;635.58;685.68;706.16;716.89;753.19;763.84;774.93;801.41;795.45;775.9;782.53;784.19;785.18;820.56
30-01-00 19:00;634.86;684.6;704.73;715.42;751.6;762.2;773.28;799.72;793.79;774.25;780.88;782.54;783.53;818.77
30-01-00 20:00;634.16;683.57;703.25;713.93;750.04;760.59;771.66;798.05;792.16;772.63;779.26;780.93;781.92;816.99
30-01-00 21:00;633.48;682.55;701.82;712.46;748.51;759.02;770.08;796.4;790.54;771.05;777.68;779.34;780.33;815.23
30-01-00 22:00;632.82;681.56;700.45;711.05;746.99;757.47;768.52;794.78;788.95;769.49;776.12;777.78;778.76;813.48
30-01-00 23:00;632.17;680.59;699.12;709.68;745.51;755.95;766.99;793.17;787.38;767.96;774.59;776.24;777.23;811.75
31-01-00 00:00;631.53;679.65;697.83;708.36;744.07;754.45;765.49;791.59;785.83;766.45;773.08;774.74;775.71;810.03
