Time [yyyy-MM-dd HH:mm:ss];Water level at (IJssel02_B_B_A_ 3217_346) [m AD];Water level at (IJssel03_A_ 1522_164) [m AD];Water level at (IJssel03_B_A_ 12530_57) [m AD];Water level at (IJssel03_B_B_A_ 491_564) [m AD];Water level at (IJssel03_B_B_B_A_ 7027_466) [m AD];Water level at (IJssel05_A_ 3094_672) [m AD];Water level at (IJssel06_A_ 1402_453) [m AD];Water level at (IJssel06_B_A_ 729_084) [m AD];Water level at (IJssel06_B_B_A_ 2698_613) [m AD];Water level at (IJssel06_B_B_B_A_ 2605_797) [m AD];Water level at (IJssel06_B_B_B_B_A_ 957_632) [m AD];Water level at (IJssel07_A_ 655_737) [m AD];Water level at (IJssel07_B_A_ 2728_796) [m AD];Water level at (IJssel09_A_ 3283_163) [m AD]
10-01-00 01:00;10.724;9.5762;8.17;8.0911;7.224;6.1966;5.9041;5.7939;5.4729;5.3682;5.347;4.9007;4.6459;3.1403
10-01-00 02:00;10.739;9.5821;8.1766;8.0974;7.2286;6.199;5.9067;5.7963;5.4754;5.3716;5.3503;4.9034;4.6514;3.144
10-01-00 03:00;10.753;9.5884;8.1834;8.1038;7.2332;6.2014;5.9093;5.7986;5.4778;5.3751;5.3536;4.9062;4.6569;3.1478
10-01-00 04:00;10.768;9.5949;8.1902;8.1103;7.238;6.2039;5.9119;5.8009;5.4803;5.3785;5.3569;4.9089;4.6624;3.1516
10-01-00 05:00;10.783;9.6016;8.1973;8.117;7.2428;6.2063;5.9146;5.8033;5.4828;5.382;5.3602;4.9116;4.6679;3.1555
10-01-00 06:00;10.798;9.6085;8.2045;8.1239;7.2478;6.2088;5.9173;5.8057;5.4853;5.3855;5.3635;4.9143;4.6734;3.1595
10-01-00 07:00;10.812;9.6153;8.2119;8.131;7.253;6.2113;5.92;5.8082;5.4879;5.389;5.3668;4.917;4.6789;3.1635
10-01-00 08:00;10.827;9.6222;8.2195;8.1382;7.2583;6.2139;5.9229;5.8107;5.4905;5.3925;5.3702;4.9196;4.6845;3.1676
10-01-00 09:00;10.842;9.6291;8.2272;8.1455;7.2637;6.2166;5.9257;5.8133;5.4932;5.3961;5.3736;4.9223;4.69;3.1717
10-01-00 10:00;10.857;9.6362;8.2349;8.153;7.2691;6.2193;5.9287;5.816;5.496;5.3998;5.377;4.9249;4.6955;3.1759
10-01-00 11:00;10.874;9.6435;8.2428;8.1605;7.2747;6.2221;5.9317;5.8187;5.4988;5.4035;5.3806;4.9276;4.7011;3.1802
10-01-00 12:00;10.893;9.6514;8.2507;8.1681;7.2803;6.2249;5.9348;5.8214;5.5017;5.4073;5.3842;4.9303;4.7067;3.1845
10-01-00 13:00;10.912;9.6597;8.2588;8.1758;7.286;6.2277;5.9379;5.8242;5.5046;5.4112;5.3878;4.933;4.7123;3.1889
10-01-00 14:00;10.932;9.6685;8.2672;8.1839;7.2918;6.2306;5.9411;5.8271;5.5077;5.4151;5.3915;4.9357;4.7178;3.1935
10-01-00 15:00;10.953;9.6778;8.2759;8.1921;7.2978;6.2335;5.9443;5.83;5.5108;5.419;5.3952;4.9383;4.7233;3.1981
10-01-00 16:00;10.975;9.6875;8.2849;8.2008;7.304;6.2365;5.9476;5.833;5.514;5.423;5.3989;4.941;4.7287;3.2029
10-01-00 17:00;10.997;9.6975;8.2942;8.2097;7.3106;6.2396;5.9511;5.8361;5.5172;5.427;5.4028;4.9436;4.7341;3.2078
10-01-00 18:00;11.02;9.708;8.3037;8.2187;7.3175;6.2428;5.9546;5.8393;5.5206;5.4311;5.4066;4.9462;4.7395;3.2128
10-01-00 19:00;11.043;9.7187;8.3133;8.2279;7.3247;6.2461;5.9583;5.8426;5.5241;5.4354;5.4106;4.9488;4.7448;3.218
10-01-00 20:00;11.068;9.73;8.3231;8.2371;7.3321;6.2495;5.9621;5.846;5.5278;5.4398;5.4148;4.9515;4.7502;3.2233
10-01-00 21:00;11.094;9.7417;8.3328;8.2464;7.3398;6.2532;5.966;5.8496;5.5317;5.4443;5.419;4.9542;4.7556;3.2287
10-01-00 22:00;11.123;9.7541;8.3426;8.2557;7.3478;6.2569;5.9701;5.8533;5.5358;5.449;5.4235;4.9569;4.761;3.2343
10-01-00 23:00;11.153;9.7675;8.3525;8.2651;7.356;6.2607;5.9744;5.8571;5.5401;5.4539;5.428;4.9597;4.7665;3.24
11-01-00 00:00;11.182;9.7817;8.3625;8.2745;7.3645;6.2647;5.9787;5.861;5.5445;5.4589;5.4328;4.9626;4.7722;3.2459
11-01-00 01:00;11.209;9.7962;8.3727;8.2842;7.3733;6.2688;5.9832;5.865;5.5492;5.4642;5.4377;4.9655;4.7779;3.2519
11-01-00 02:00;11.236;9.8112;8.3831;8.2939;7.3825;6.273;5.9878;5.8692;5.5541;5.4696;5.4427;4.9685;4.7837;3.2582
11-01-00 03:00;11.26;9.8263;8.3935;8.3038;7.3922;6.2774;5.9926;5.8734;5.5593;5.4752;5.448;4.9716;4.7896;3.2647
11-01-00 04:00;11.284;9.841;8.404;8.3136;7.4022;6.2819;5.9974;5.8778;5.5649;5.4812;5.4536;4.9747;4.7955;3.2715
11-01-00 05:00;11.307;9.8554;8.4144;8.3234;7.4125;6.2865;6.0023;5.8822;5.5708;5.4874;5.4595;4.978;4.8015;3.2784
11-01-00 06:00;11.328;9.8692;8.4246;8.3331;7.4231;6.2913;6.0075;5.8868;5.577;5.494;5.4656;4.9813;4.8075;3.2857
11-01-00 07:00;11.349;9.8828;8.4346;8.3426;7.434;6.2963;6.0128;5.8916;5.5836;5.5008;5.472;4.9846;4.8135;3.2934
11-01-00 08:00;11.369;9.896;8.4443;8.3517;7.445;6.3013;6.0182;5.8965;5.5904;5.5078;5.4786;4.9881;4.8195;3.3013
11-01-00 09:00;11.388;9.9088;8.4536;8.3605;7.4559;6.3065;6.0237;5.9015;5.5976;5.515;5.4853;4.9916;4.8256;3.3096
11-01-00 10:00;11.407;9.9211;8.4626;8.369;7.4668;6.3116;6.0293;5.9066;5.605;5.5224;5.4923;4.9952;4.8316;3.3181
11-01-00 11:00;11.425;9.9328;8.4714;8.3773;7.4775;6.3168;6.0349;5.9117;5.6126;5.5299;5.4993;4.9989;4.8377;3.327
11-01-00 12:00;11.443;9.944;8.48;8.3854;7.4881;6.322;6.0405;5.9169;5.6203;5.5374;5.5063;5.0026;4.8438;3.3361
11-01-00 13:00;11.461;9.9547;8.4885;8.3934;7.4985;6.3271;6.0462;5.9221;5.6282;5.545;5.5134;5.0063;4.8498;3.3455
11-01-00 14:00;11.478;9.9651;8.4967;8.4011;7.5089;6.3323;6.0519;5.9273;5.6361;5.5527;5.5205;5.0099;4.8557;3.3551
11-01-00 15:00;11.496;9.9751;8.5048;8.4087;7.5192;6.3374;6.0575;5.9326;5.6442;5.5603;5.5277;5.0137;4.8617;3.3648
11-01-00 16:00;11.512;9.9848;8.5126;8.416;7.5294;6.3425;6.0631;5.9378;5.6522;5.5679;5.5348;5.0174;4.8676;3.3746
11-01-00 17:00;11.529;9.9941;8.5203;8.4232;7.5395;6.3476;6.0688;5.9431;5.6604;5.5756;5.542;5.0213;4.8735;3.3845
11-01-00 18:00;11.544;10.003;8.5279;8.4303;7.5495;6.3526;6.0744;5.9484;5.6685;5.5832;5.5492;5.0253;4.8794;3.3944
11-01-00 19:00;11.56;10.011;8.5354;8.4374;7.5593;6.3576;6.0801;5.9538;5.6768;5.5909;5.5564;5.0293;4.8853;3.4042
11-01-00 20:00;11.575;10.019;8.5428;8.4443;7.569;6.3626;6.0858;5.9591;5.6851;5.5986;5.5636;5.0334;4.8913;3.4139
11-01-00 21:00;11.59;10.026;8.5501;8.4511;7.5786;6.3676;6.0915;5.9645;5.6935;5.6064;5.5709;5.0377;4.8973;3.4235
11-01-00 22:00;11.605;10.033;8.5574;8.458;7.5881;6.3726;6.0971;5.9699;5.7019;5.6142;5.5782;5.0421;4.9034;3.4329
11-01-00 23:00;11.62;10.04;8.5647;8.4648;7.5975;6.3775;6.1028;5.9754;5.7104;5.622;5.5856;5.0467;4.9097;3.4422
12-01-00 00:00;11.637;10.046;8.5721;8.4718;7.6071;6.3825;6.1086;5.9809;5.7191;5.63;5.5931;5.0515;4.9161;3.4513
12-01-00 01:00;11.653;10.053;8.5797;8.4788;7.6167;6.3876;6.1145;5.9865;5.7278;5.638;5.6006;5.0564;4.9227;3.4603
12-01-00 02:00;11.67;10.059;8.5873;8.4859;7.6261;6.3927;6.1204;5.9923;5.7368;5.6462;5.6084;5.0616;4.9294;3.4691
12-01-00 03:00;11.687;10.065;8.5951;8.4931;7.6354;6.398;6.1266;5.9982;5.7459;5.6546;5.6163;5.0669;4.9361;3.4778
12-01-00 04:00;11.703;10.071;8.6029;8.5004;7.6446;6.4034;6.1329;6.0044;5.7553;5.6632;5.6244;5.0724;4.943;3.4864
12-01-00 05:00;11.718;10.077;8.6108;8.5078;7.6537;6.4091;6.1395;6.0108;5.7649;5.672;5.6328;5.0782;4.9501;3.495
12-01-00 06:00;11.728;10.082;8.6188;8.5153;7.6628;6.4149;6.1463;6.0174;5.7749;5.6811;5.6414;5.0843;4.9574;3.5034
12-01-00 07:00;11.743;10.087;8.6268;8.5227;7.6718;6.4208;6.1532;6.0243;5.7854;5.6906;5.6505;5.0906;4.9648;3.5117
12-01-00 08:00;11.756;10.092;8.6346;8.53;7.6806;6.427;6.1604;6.0313;5.7962;5.7005;5.6599;5.0973;4.9725;3.5199
12-01-00 09:00;11.769;10.096;8.642;8.5369;7.6892;6.4333;6.1678;6.0386;5.8074;5.7108;5.6696;5.1043;4.9805;3.528
12-01-00 10:00;11.781;10.1;8.6491;8.5436;7.6974;6.4396;6.1754;6.0461;5.8188;5.7213;5.6797;5.1117;4.9888;3.5361
12-01-00 11:00;11.792;10.105;8.6559;8.5499;7.7054;6.446;6.1831;6.0538;5.8305;5.7321;5.69;5.1195;4.9973;3.5441
12-01-00 12:00;11.803;10.108;8.6624;8.5559;7.7131;6.4525;6.191;6.0617;5.8423;5.7431;5.7005;5.1276;5.006;3.5518
12-01-00 13:00;11.815;10.112;8.6687;8.5617;7.7204;6.4591;6.199;6.0697;5.8544;5.7543;5.7113;5.136;5.0151;3.5593
12-01-00 14:00;11.826;10.116;8.6746;8.5673;7.7275;6.4657;6.2073;6.0781;5.8666;5.7657;5.7223;5.1449;5.0245;3.5665
12-01-00 15:00;11.837;10.119;8.6803;8.5728;7.7343;6.4725;6.2158;6.0867;5.879;5.7774;5.7335;5.1541;5.0342;3.5734
12-01-00 16:00;11.847;10.122;8.6858;8.578;7.7407;6.4792;6.2245;6.0956;5.8915;5.7892;5.7449;5.1636;5.0441;3.58
12-01-00 17:00;11.858;10.126;8.6911;8.5831;7.7469;6.4861;6.2334;6.1047;5.9041;5.8011;5.7565;5.1734;5.0541;3.5863
12-01-00 18:00;11.87;10.129;8.6962;8.588;7.7528;6.493;6.2424;6.114;5.9167;5.8131;5.7681;5.1833;5.0642;3.5923
12-01-00 19:00;11.883;10.132;8.7011;8.5929;7.7585;6.4999;6.2516;6.1234;5.9294;5.8251;5.7797;5.1935;5.0744;3.5981
12-01-00 20:00;11.897;10.135;8.7058;8.5975;7.764;6.5067;6.2606;6.1327;5.9421;5.8373;5.7915;5.2038;5.0847;3.6037
12-01-00 21:00;11.913;10.138;8.7104;8.6021;7.7692;6.5134;6.2698;6.1422;5.9547;5.8493;5.8033;5.2143;5.095;3.6091
12-01-00 22:00;11.93;10.141;8.7149;8.6066;7.7743;6.5202;6.2791;6.1518;5.9672;5.8612;5.8149;5.225;5.1052;3.6143
12-01-00 23:00;11.95;10.144;8.7193;8.611;7.7794;6.5269;6.2885;6.1615;5.9795;5.8731;5.8264;5.2356;5.1154;3.6193
13-01-00 00:00;11.972;10.147;8.7238;8.6155;7.7843;6.5336;6.298;6.1714;5.9917;5.8848;5.8378;5.2462;5.1255;3.6242
13-01-00 01:00;11.997;10.15;8.7283;8.62;7.7892;6.5401;6.3077;6.1815;6.0037;5.8963;5.8491;5.2567;5.1355;3.6289
13-01-00 02:00;12.023;10.154;8.7329;8.6247;7.7942;6.5461;6.3176;6.1918;6.0158;5.9078;5.8603;5.267;5.1453;3.6335
13-01-00 03:00;12.053;10.157;8.7377;8.6296;7.7993;6.5509;6.3279;6.2025;6.028;5.9194;5.8716;5.2773;5.1551;3.6381
13-01-00 04:00;12.084;10.161;8.7428;8.6348;7.8045;6.5525;6.339;6.214;6.0407;5.9315;5.8833;5.2877;5.165;3.6425
13-01-00 05:00;12.116;10.165;8.7482;8.6403;7.81;6.5492;6.351;6.2264;6.0545;5.9444;5.8958;5.2984;5.175;3.647
13-01-00 06:00;12.149;10.17;8.7539;8.6463;7.8159;6.5517;6.3613;6.2374;6.0669;5.9567;5.9079;5.3094;5.1854;3.6514
13-01-00 07:00;12.183;10.175;8.7602;8.6529;7.8222;6.5593;6.3714;6.248;6.0784;5.9677;5.9187;5.32;5.1956;3.6559
13-01-00 08:00;12.218;10.18;8.7671;8.6601;7.8288;6.5684;6.3822;6.2592;6.0904;5.9792;5.9299;5.3302;5.2054;3.6604
13-01-00 09:00;12.253;10.185;8.7746;8.6681;7.8358;6.5787;6.3934;6.2709;6.1028;5.991;5.9414;5.3406;5.2152;3.6648
13-01-00 10:00;12.288;10.191;8.7825;8.6767;7.8434;6.5899;6.4052;6.2831;6.1157;6.0032;5.9532;5.3511;5.2252;3.6693
13-01-00 11:00;12.323;10.197;8.7911;8.6859;7.8515;6.602;6.4177;6.2961;6.1291;6.0159;5.9655;5.3619;5.2354;3.6738
13-01-00 12:00;12.359;10.203;8.8002;8.6959;7.8602;6.615;6.431;6.3099;6.1432;6.0291;5.9784;5.3729;5.246;3.6784
13-01-00 13:00;12.395;10.21;8.8099;8.7067;7.8697;6.629;6.4452;6.3246;6.1581;6.0431;5.9919;5.3845;5.2569;3.683
13-01-00 14:00;12.431;10.217;8.82;8.7181;7.8799;6.6439;6.4602;6.3401;6.1738;6.0579;6.0062;5.3965;5.2684;3.6878
13-01-00 15:00;12.471;10.224;8.8305;8.7301;7.8911;6.6598;6.4761;6.3566;6.1905;6.0735;6.0213;5.4092;5.2804;3.6928
13-01-00 16:00;12.514;10.232;8.8415;8.7428;7.9033;6.6764;6.4927;6.3739;6.2077;6.0897;6.037;5.4225;5.2931;3.6981
13-01-00 17:00;12.556;10.24;8.8534;8.7566;7.9163;6.6941;6.5101;6.3921;6.2256;6.1065;6.0533;5.4364;5.3062;3.7036
13-01-00 18:00;12.587;10.249;8.866;8.7715;7.9305;6.7129;6.5285;6.4111;6.2441;6.1239;6.0702;5.4509;5.32;3.7094
13-01-00 19:00;12.607;10.261;8.8795;8.7876;7.9456;6.7331;6.5479;6.4311;6.2631;6.1418;6.0876;5.4658;5.3342;3.7156
13-01-00 20:00;12.62;10.279;8.8948;8.8061;7.9618;6.7548;6.5684;6.4523;6.283;6.1606;6.1058;5.4814;5.349;3.7222
13-01-00 21:00;12.632;10.304;8.9141;8.8295;7.9801;6.7781;6.5901;6.4747;6.304;6.1802;6.1248;5.4976;5.3643;3.7292
13-01-00 22:00;12.646;10.334;8.9374;8.8576;8.0017;6.8038;6.6136;6.4989;6.3262;6.2009;6.145;5.5146;5.3803;3.7367
13-01-00 23:00;12.662;10.366;8.9626;8.8873;8.0248;6.8326;6.6395;6.5255;6.3506;6.2233;6.1669;5.5325;5.3972;3.7448
14-01-00 00:00;12.681;10.399;8.9879;8.9162;8.0473;6.864;6.671;6.5576;6.3791;6.2491;6.1917;5.5519;5.4154;3.7535
14-01-00 01:00;12.701;10.435;9.0125;8.9434;8.0685;6.8972;6.7056;6.5931;6.4114;6.2786;6.2204;5.5739;5.4357;3.7629
14-01-00 02:00;12.722;10.474;9.0368;8.9698;8.0887;6.932;6.7421;6.6306;6.4458;6.3104;6.2513;5.5982;5.4583;3.7736
14-01-00 03:00;12.742;10.514;9.0611;8.9953;8.108;6.9679;6.7799;6.6696;6.482;6.3439;6.284;5.6245;5.4827;3.786
14-01-00 04:00;12.76;10.552;9.0856;9.0206;8.1272;7.0045;6.8185;6.7094;6.5192;6.3786;6.3179;5.6524;5.5089;3.8004
14-01-00 05:00;12.776;10.589;9.11;9.0453;8.1459;7.0419;6.8582;6.7504;6.5576;6.4145;6.353;5.6817;5.5364;3.817
14-01-00 06:00;12.789;10.622;9.1338;9.0689;8.1643;7.0796;6.8982;6.7919;6.5966;6.4512;6.3889;5.7122;5.5652;3.8362
14-01-00 07:00;12.802;10.654;9.1565;9.0911;8.1823;7.1174;6.9385;6.8338;6.6361;6.4883;6.4253;5.7436;5.5949;3.8578
14-01-00 08:00;12.813;10.687;9.1786;9.1124;8.2002;7.1552;6.9794;6.8764;6.6763;6.5262;6.4625;5.7755;5.6253;3.8818
14-01-00 09:00;12.824;10.721;9.2008;9.1338;8.2185;7.1932;7.0204;6.9192;6.7167;6.5644;6.5;5.8082;5.6565;3.908
14-01-00 10:00;12.834;10.755;9.2238;9.1561;8.237;7.2317;7.0618;6.9624;6.7575;6.6029;6.5378;5.8413;5.6883;3.9363
14-01-00 11:00;12.843;10.785;9.2474;9.1791;8.2558;7.2708;7.103;7.0053;6.7984;6.6416;6.576;5.875;5.7206;3.9663
14-01-00 12:00;12.85;10.819;9.2708;9.202;8.2749;7.3101;7.1441;7.0481;6.839;6.6803;6.6142;5.9089;5.7533;3.9975
14-01-00 13:00;12.855;10.859;9.2964;9.2268;8.2952;7.3497;7.1862;7.0885;6.8782;6.718;6.6515;5.9427;5.7859;4.0295
14-01-00 14:00;12.86;10.895;9.3246;9.2544;8.3183;7.389;7.2276;7.1294;6.9171;6.7551;6.6882;5.9759;5.818;4.0625
14-01-00 15:00;12.864;10.929;9.354;9.2836;8.3425;7.4282;7.269;7.171;6.9567;6.7926;6.7253;6.0089;5.8497;4.0962
14-01-00 16:00;12.868;10.964;9.3838;9.3134;8.3651;7.4681;7.3114;7.214;6.9974;6.8309;6.7631;6.0419;5.8814;4.1303
14-01-00 17:00;12.872;10.995;9.4128;9.3423;8.3856;7.5087;7.3547;7.2586;7.0396;6.8706;6.802;6.0755;5.9136;4.1649
14-01-00 18:00;12.875;11.022;9.4397;9.3693;8.4043;7.549;7.3984;7.3039;7.0826;6.9111;6.8419;6.1099;5.9466;4.2
14-01-00 19:00;12.879;11.045;9.4644;9.3939;8.4206;7.5864;7.4426;7.35;7.1264;6.9524;6.8826;6.145;5.9804;4.2357
14-01-00 20:00;12.882;11.066;9.4866;9.4161;8.4358;7.6195;7.4837;7.3933;7.1686;6.993;6.9228;6.1806;6.0144;4.2733
14-01-00 21:00;12.886;11.084;9.5068;9.4364;8.4503;7.6479;7.519;7.4335;7.2078;7.031;6.9605;6.215;6.0476;4.313
14-01-00 22:00;12.889;11.1;9.5251;9.4547;8.4637;7.6698;7.5461;7.4662;7.2406;7.0629;6.9925;6.2474;6.0791;4.3556
14-01-00 23:00;12.892;11.114;9.5415;9.4712;8.4759;7.6914;7.5752;7.5026;7.2756;7.097;7.0262;6.2767;6.1075;4.4007
15-01-00 00:00;12.895;11.128;9.5564;9.4862;8.4873;7.7112;7.6007;7.5351;7.3076;7.1283;7.0574;6.3054;6.1353;4.4456
15-01-00 01:00;12.899;11.142;9.5703;9.5001;8.4981;7.7298;7.6236;7.5648;7.3368;7.1569;7.0859;6.3323;6.1615;4.49
15-01-00 02:00;12.903;11.156;9.5836;9.5134;8.5086;7.7472;7.645;7.5925;7.3641;7.1835;7.1124;6.3575;6.1861;4.5314
15-01-00 03:00;12.907;11.17;9.5966;9.5264;8.5191;7.7634;7.6654;7.6183;7.3891;7.208;7.1369;6.3811;6.2093;4.5708
15-01-00 04:00;12.911;11.185;9.6096;9.5394;8.5296;7.7788;7.685;7.6428;7.4127;7.231;7.1598;6.4032;6.231;4.609
15-01-00 05:00;12.915;11.202;9.6232;9.553;8.5405;7.7938;7.7035;7.666;7.4349;7.2527;7.1814;6.4243;6.2518;4.6463
15-01-00 06:00;12.918;11.219;9.6376;9.5673;8.5523;7.8088;7.7214;7.688;7.456;7.2734;7.202;6.4444;6.2716;4.6824
15-01-00 07:00;12.922;11.235;9.6524;9.5822;8.5647;7.8238;7.739;7.7093;7.4764;7.2932;7.2217;6.4637;6.2908;4.7168
15-01-00 08:00;12.925;11.251;9.6674;9.5972;8.5776;7.8396;7.7573;7.7306;7.4966;7.3127;7.2411;6.4827;6.3096;4.7493
15-01-00 09:00;12.928;11.268;9.6825;9.6123;8.591;7.8561;7.776;7.7518;7.5166;7.3321;7.2604;6.5015;6.3283;4.7788
15-01-00 10:00;12.932;11.284;9.6978;9.6276;8.6051;7.8735;7.7952;7.7731;7.5368;7.3516;7.2797;6.5203;6.347;4.8053
15-01-00 11:00;12.935;11.3;9.7133;9.6432;8.6199;7.8916;7.815;7.7947;7.5571;7.3712;7.2992;6.5392;6.3658;4.8303
15-01-00 12:00;12.938;11.315;9.729;9.6591;8.6355;7.9105;7.8354;7.8166;7.5777;7.391;7.3189;6.5582;6.3846;4.8536
15-01-00 13:00;12.94;11.331;9.7451;9.6753;8.652;7.9304;7.8564;7.8388;7.5986;7.4111;7.3388;6.5772;6.4035;4.8756
15-01-00 14:00;12.943;11.346;9.7613;9.6918;8.6694;7.9511;7.8782;7.8615;7.6198;7.4315;7.359;6.5967;6.4225;4.8969
15-01-00 15:00;12.946;11.36;9.7775;9.7082;8.6875;7.9727;7.9006;7.8846;7.6416;7.4524;7.3797;6.6166;6.4421;4.9177
15-01-00 16:00;12.948;11.373;9.7935;9.7246;8.7061;7.995;7.9236;7.9081;7.6636;7.4737;7.4009;6.6372;6.4622;4.9384
15-01-00 17:00;12.951;11.386;9.8093;9.7407;8.725;8.018;7.9471;7.9319;7.686;7.4953;7.4224;6.6581;6.4828;4.9591
15-01-00 18:00;12.953;11.398;9.8249;9.7566;8.7444;8.0415;7.971;7.9558;7.7087;7.5172;7.4441;6.6795;6.5039;4.98
15-01-00 19:00;12.955;11.41;9.8403;9.7724;8.7641;8.0649;7.9945;7.9794;7.7311;7.5391;7.466;6.7012;6.5252;5.0011
15-01-00 20:00;12.958;11.421;9.8555;9.788;8.7835;8.0872;8.017;8.0019;7.7527;7.5604;7.4872;6.7228;6.5467;5.0226
15-01-00 21:00;12.96;11.432;9.8703;9.8031;8.8021;8.1087;8.0387;8.0235;7.7737;7.581;7.5079;6.7442;6.5679;5.0443
15-01-00 22:00;12.962;11.442;9.8846;9.8178;8.8199;8.1295;8.0596;8.0444;7.7939;7.601;7.5279;6.7652;6.5889;5.0662
15-01-00 23:00;12.964;11.452;9.8985;9.832;8.837;8.1495;8.0798;8.0647;7.8136;7.6205;7.5474;6.7857;6.6094;5.0883
16-01-00 00:00;12.966;11.462;9.9118;9.8456;8.8536;8.1689;8.0994;8.0844;7.8327;7.6394;7.5664;6.8059;6.6297;5.1104
16-01-00 01:00;12.968;11.471;9.9247;9.8588;8.8696;8.1878;8.1184;8.1035;7.8512;7.6579;7.5848;6.8257;6.6496;5.1324
16-01-00 02:00;12.971;11.48;9.9372;9.8716;8.885;8.206;8.1368;8.1219;7.8692;7.6758;7.6028;6.8451;6.6691;5.1539
16-01-00 03:00;12.973;11.489;9.9493;9.884;8.9;8.2238;8.1547;8.1399;7.8868;7.6932;7.6203;6.864;6.6881;5.1745
16-01-00 04:00;12.975;11.498;9.961;9.896;8.9146;8.241;8.1721;8.1574;7.9038;7.7102;7.6373;6.8823;6.7065;5.1944
16-01-00 05:00;12.977;11.507;9.9724;9.9076;8.9287;8.2577;8.189;8.1743;7.9203;7.7266;7.6539;6.9001;6.7244;5.2137
16-01-00 06:00;12.978;11.515;9.9835;9.9189;8.9424;8.2739;8.2054;8.1907;7.9364;7.7426;7.6699;6.9173;6.7417;5.2324
16-01-00 07:00;12.98;11.523;9.9942;9.9299;8.9557;8.2897;8.2213;8.2067;7.9519;7.758;7.6855;6.9341;6.7585;5.2505
16-01-00 08:00;12.982;11.53;10.005;9.9405;8.9686;8.305;8.2367;8.2221;7.967;7.7731;7.7006;6.9503;6.7748;5.2681
16-01-00 09:00;12.983;11.537;10.015;9.9507;8.9811;8.3198;8.2516;8.2371;7.9816;7.7876;7.7152;6.9659;6.7906;5.2852
16-01-00 10:00;12.984;11.544;10.024;9.9606;8.9932;8.3341;8.266;8.2516;7.9958;7.8017;7.7293;6.9811;6.8058;5.3018
16-01-00 11:00;12.985;11.55;10.033;9.97;9.0049;8.3479;8.28;8.2656;8.0095;7.8153;7.743;6.9959;6.8206;5.3179
16-01-00 12:00;12.986;11.556;10.042;9.9791;9.0161;8.3613;8.2935;8.2792;8.0227;7.8285;7.7563;7.0101;6.8349;5.3335
16-01-00 13:00;12.986;11.562;10.051;9.9877;9.0269;8.3742;8.3065;8.2922;8.0355;7.8413;7.7691;7.0239;6.8487;5.3487
16-01-00 14:00;12.987;11.567;10.059;9.996;9.0373;8.3866;8.3191;8.3048;8.0478;7.8535;7.7815;7.0372;6.8621;5.3633
16-01-00 15:00;12.987;11.572;10.066;10.004;9.0472;8.3986;8.3311;8.3169;8.0597;7.8654;7.7934;7.0501;6.8751;5.3776
16-01-00 16:00;12.987;11.576;10.074;10.011;9.0566;8.4101;8.3427;8.3286;8.0711;7.8768;7.8049;7.0625;6.8876;5.3913
16-01-00 17:00;12.987;11.58;10.08;10.018;9.0656;8.4211;8.3538;8.3397;8.082;7.8877;7.8159;7.0744;6.8996;5.4047
16-01-00 18:00;12.987;11.584;10.087;10.025;9.0742;8.4316;8.3644;8.3504;8.0925;7.8983;7.8265;7.0859;6.9112;5.4176
16-01-00 19:00;12.987;11.587;10.093;10.031;9.0823;8.4416;8.3746;8.3605;8.1025;7.9083;7.8366;7.097;6.9223;5.43
16-01-00 20:00;12.987;11.59;10.098;10.036;9.09;8.4512;8.3842;8.3702;8.1121;7.9179;7.8463;7.1076;6.933;5.442
16-01-00 21:00;12.987;11.593;10.103;10.042;9.0973;8.4603;8.3934;8.3795;8.1212;7.9271;7.8556;7.1177;6.9433;5.4535
16-01-00 22:00;12.986;11.595;10.108;10.047;9.1041;8.4689;8.4021;8.3882;8.1299;7.9358;7.8644;7.1274;6.9531;5.4647
16-01-00 23:00;12.986;11.597;10.113;10.051;9.1105;8.477;8.4104;8.3965;8.1381;7.9441;7.8727;7.1367;6.9624;5.4753
17-01-00 00:00;12.985;11.599;10.117;10.055;9.1165;8.4847;8.4182;8.4043;8.1459;7.9519;7.8806;7.1455;6.9713;5.4856
17-01-00 01:00;12.984;11.601;10.12;10.059;9.1222;8.492;8.4255;8.4117;8.1532;7.9593;7.8881;7.1539;6.9798;5.4954
17-01-00 02:00;12.984;11.602;10.124;10.063;9.1274;8.4988;8.4324;8.4186;8.1601;7.9664;7.8952;7.1618;6.9879;5.5048
17-01-00 03:00;12.983;11.603;10.127;10.066;9.1323;8.5052;8.4389;8.4251;8.1666;7.973;7.9019;7.1693;6.9955;5.5137
17-01-00 04:00;12.982;11.604;10.13;10.069;9.1368;8.5112;8.445;8.4312;8.1727;7.9792;7.9082;7.1765;7.0027;5.5223
17-01-00 05:00;12.981;11.604;10.132;10.072;9.1409;8.5167;8.4506;8.4369;8.1784;7.985;7.9141;7.1832;7.0095;5.5304
17-01-00 06:00;12.98;11.605;10.134;10.074;9.1447;8.5219;8.4559;8.4422;8.1838;7.9904;7.9196;7.1895;7.016;5.5381
17-01-00 07:00;12.979;11.605;10.136;10.076;9.1482;8.5267;8.4608;8.4471;8.1887;7.9955;7.9247;7.1954;7.022;5.5455
17-01-00 08:00;12.977;11.604;10.138;10.078;9.1514;8.5312;8.4653;8.4516;8.1933;8.0002;7.9295;7.2009;7.0277;5.5524
17-01-00 09:00;12.976;11.604;10.139;10.079;9.1542;8.5352;8.4694;8.4558;8.1976;8.0046;7.9339;7.2061;7.0329;5.5589
