Time [yyyy-MM-dd HH:mm:ss];Water level at (Waal2_A_ 3753_233) [m AD];Water level at (Waal2_B_A_A_A_ 6438_712) [m AD];Water level at (Waal2_B_A_A_B_ 2469_155) [m AD];Water level at (Waal2_B_A_B_A_ 2376_095) [m AD];Water level at (Waal3_A_ 691_637) [m AD];Water level at (Waal3_B_A_ 1117_265) [m AD];Water level at (Waal3_B_B_A_A_ 14276_89) [m AD];Water level at (Waal3_B_B_A_B_ 434_885) [m AD];Water level at (Waal4_A_B_ 2436_3) [m AD];Water level at (Waal5_A_ 5200_192) [m AD];Water level at (Waal5_B_A_ 5567_768) [m AD];Water level at (Waal5_B_B_A_B_ 6363_314) [m AD];Water level at (Waal5_B_B_B_A_ 5601_266) [m AD];Water level at (Waal6_B_A_ 1057_043) [m AD];Water level at (Waal6_B_B_A_ 973_946) [m AD];Water level at (Waal6_A_ 2734_108) [m AD];Water level at (Waal6_B_B_B_A_ 479_153) [m AD];Water level at (Waal6_B_B_B_B_A_ 1993_346) [m AD];;
23-01-00 21:00;13.769;13.353;13.031;12.872;12.764;12.679;10.729;10.72;9.5036;7.3996;6.5164;5.2446;4.4799;3.8094;3.6394;4.0419;3.6127;3.3393;;
23-01-00 22:00;13.754;13.325;13.004;12.845;12.737;12.652;10.706;10.696;9.4803;7.3832;6.4963;5.2274;4.4642;3.7965;3.6273;4.0278;3.6007;3.3289;;
23-01-00 23:00;13.739;13.298;12.978;12.819;12.711;12.627;10.683;10.673;9.4568;7.366;6.4756;5.2096;4.4477;3.7831;3.6148;4.0131;3.5883;3.318;;
24-01-00 00:00;13.726;13.271;12.954;12.795;12.686;12.603;10.662;10.651;9.4333;7.3484;6.4546;5.1912;4.4307;3.7692;3.6017;3.9978;3.5754;3.3067;;
24-01-00 01:00;13.712;13.244;12.93;12.771;12.663;12.58;10.641;10.63;9.4099;7.3303;6.4338;5.1723;4.4132;3.7548;3.5882;3.9821;3.5621;3.2951;;
24-01-00 02:00;13.698;13.217;12.907;12.748;12.64;12.557;10.621;10.61;9.3867;7.3119;6.4134;5.1533;4.3954;3.7402;3.5745;3.9661;3.5485;3.2832;;
24-01-00 03:00;13.684;13.189;12.885;12.726;12.617;12.535;10.603;10.591;9.3638;7.2933;6.3938;5.1341;4.3775;3.7254;3.5605;3.95;3.5346;3.2711;;
24-01-00 04:00;13.668;13.159;12.863;12.704;12.595;12.513;10.585;10.573;9.341;7.2746;6.3752;5.1146;4.3595;3.7104;3.5463;3.9337;3.5206;3.2588;;
24-01-00 05:00;13.652;13.128;12.841;12.682;12.573;12.492;10.568;10.556;9.3185;7.2558;6.3578;5.095;4.3413;3.6951;3.532;3.9174;3.5064;3.2463;;
24-01-00 06:00;13.635;13.097;12.82;12.662;12.552;12.472;10.551;10.539;9.2962;7.2372;6.3411;5.0752;4.3231;3.6797;3.5174;3.9012;3.492;3.2337;;
24-01-00 07:00;13.616;13.068;12.801;12.642;12.532;12.452;10.536;10.524;9.274;7.219;6.3253;5.0549;4.3047;3.6639;3.5025;3.8848;3.4773;3.2208;;
24-01-00 08:00;13.596;13.04;12.782;12.623;12.513;12.434;10.522;10.509;9.2521;7.2012;6.3103;5.0344;4.2861;3.6478;3.4873;3.8684;3.4622;3.2075;;
24-01-00 09:00;13.574;13.015;12.763;12.604;12.495;12.415;10.508;10.496;9.2309;7.1839;6.296;5.0135;4.2673;3.6313;3.4717;3.8518;3.4468;3.194;;
24-01-00 10:00;13.552;12.99;12.743;12.585;12.476;12.397;10.496;10.483;9.2104;7.1671;6.2826;4.9925;4.2484;3.6144;3.4558;3.8352;3.4311;3.1803;;
24-01-00 11:00;13.532;12.968;12.724;12.566;12.456;12.378;10.484;10.471;9.1906;7.151;6.27;4.9714;4.2293;3.5972;3.4395;3.8185;3.415;3.1663;;
24-01-00 12:00;13.513;12.947;12.704;12.546;12.437;12.359;10.473;10.459;9.1715;7.1356;6.2584;4.9505;4.2102;3.5798;3.423;3.8018;3.3987;3.1521;;
24-01-00 13:00;13.495;12.928;12.685;12.527;12.418;12.34;10.462;10.447;9.1532;7.1208;6.2477;4.9298;4.1912;3.5621;3.4064;3.7853;3.3822;3.1378;;
24-01-00 14:00;13.477;12.909;12.667;12.51;12.4;12.323;10.452;10.436;9.1356;7.1063;6.2376;4.9094;4.1724;3.5445;3.3897;3.769;3.3657;3.1235;;
24-01-00 15:00;13.46;12.891;12.65;12.492;12.383;12.306;10.442;10.425;9.1186;7.0921;6.228;4.8896;4.1539;3.5269;3.3731;3.753;3.3493;3.1092;;
24-01-00 16:00;13.443;12.873;12.633;12.476;12.367;12.29;10.433;10.415;9.1022;7.0784;6.2191;4.8701;4.1358;3.5095;3.3566;3.7373;3.333;3.095;;
24-01-00 17:00;13.427;12.857;12.617;12.46;12.351;12.275;10.424;10.405;9.0863;7.0653;6.2107;4.8511;4.1179;3.4921;3.3402;3.722;3.3167;3.0809;;
24-01-00 18:00;13.411;12.84;12.601;12.444;12.336;12.26;10.416;10.395;9.071;7.0528;6.203;4.8326;4.1006;3.4751;3.3241;3.7072;3.3008;3.067;;
24-01-00 19:00;13.396;12.825;12.586;12.43;12.321;12.245;10.408;10.386;9.0563;7.041;6.1959;4.8146;4.0838;3.4583;3.3083;3.6928;3.2851;3.0534;;
24-01-00 20:00;13.381;12.81;12.571;12.415;12.307;12.232;10.4;10.376;9.042;7.0298;6.1892;4.7975;4.0675;3.442;3.2928;3.6789;3.2698;3.0401;;
24-01-00 21:00;13.367;12.795;12.557;12.402;12.294;12.219;10.392;10.367;9.0282;7.0191;6.1831;4.7811;4.0519;3.4264;3.2778;3.6657;3.255;3.0272;;
24-01-00 22:00;13.354;12.781;12.544;12.389;12.281;12.206;10.384;10.358;9.0148;7.009;6.1773;4.7655;4.0369;3.4118;3.2635;3.653;3.2408;3.0148;;
24-01-00 23:00;13.341;12.768;12.531;12.376;12.269;12.194;10.377;10.348;9.0017;6.9993;6.1718;4.7504;4.0226;3.3979;3.2498;3.6409;3.2272;3.003;;
25-01-00 00:00;13.328;12.754;12.519;12.364;12.257;12.183;10.369;10.339;8.9889;6.9901;6.1667;4.7358;4.0087;3.3849;3.2366;3.6294;3.2142;2.9917;;
25-01-00 01:00;13.315;12.742;12.506;12.352;12.245;12.172;10.362;10.33;8.9765;6.9812;6.1618;4.7216;3.9953;3.3725;3.224;3.6183;3.2017;2.9808;;
25-01-00 02:00;13.303;12.729;12.495;12.341;12.234;12.161;10.354;10.32;8.9644;6.9727;6.1572;4.7077;3.9825;3.3608;3.2119;3.6076;3.1897;2.9704;;
25-01-00 03:00;13.29;12.717;12.483;12.33;12.223;12.151;10.347;10.31;8.9525;6.9645;6.1527;4.6941;3.97;3.3497;3.2002;3.5973;3.1782;2.9604;;
25-01-00 04:00;13.278;12.705;12.472;12.319;12.213;12.141;10.34;10.3;8.9409;6.9564;6.1484;4.6809;3.9579;3.339;3.189;3.5874;3.167;2.9508;;
25-01-00 05:00;13.267;12.693;12.461;12.308;12.202;12.131;10.332;10.29;8.9294;6.9484;6.1441;4.6678;3.9462;3.3288;3.1781;3.5777;3.1562;2.9415;;
25-01-00 06:00;13.255;12.681;12.45;12.298;12.192;12.121;10.325;10.28;8.9179;6.9403;6.14;4.655;3.9348;3.319;3.1675;3.5684;3.1458;2.9325;;
25-01-00 07:00;13.244;12.67;12.439;12.288;12.183;12.112;10.318;10.27;8.9064;6.9322;6.1358;4.6423;3.9236;3.3095;3.1572;3.5592;3.1356;2.9238;;
25-01-00 08:00;13.233;12.659;12.429;12.278;12.173;12.103;10.312;10.26;8.895;6.9239;6.1316;4.6296;3.9126;3.3003;3.1471;3.5502;3.1256;2.9152;;
25-01-00 09:00;13.223;12.648;12.419;12.268;12.164;12.094;10.305;10.251;8.8837;6.9157;6.1274;4.6168;3.9016;3.2913;3.137;3.5413;3.1156;2.9065;;
25-01-00 10:00;13.212;12.638;12.409;12.259;12.155;12.085;10.299;10.241;8.8726;6.9073;6.1231;4.6039;3.8907;3.2822;3.1269;3.5323;3.1056;2.8978;;
25-01-00 11:00;13.202;12.627;12.399;12.25;12.146;12.077;10.293;10.232;8.8617;6.899;6.1187;4.5909;3.8797;3.2732;3.1167;3.5232;3.0955;2.889;;
25-01-00 12:00;13.191;12.617;12.39;12.241;12.137;12.069;10.287;10.222;8.851;6.8906;6.1144;4.5778;3.8688;3.2642;3.1065;3.5141;3.0853;2.8802;;
25-01-00 13:00;13.181;12.607;12.38;12.232;12.129;12.061;10.282;10.213;8.8406;6.8821;6.11;4.5646;3.8578;3.2553;3.0962;3.5049;3.0752;2.8714;;
25-01-00 14:00;13.17;12.597;12.371;12.223;12.12;12.052;10.277;10.204;8.8304;6.8737;6.1056;4.5513;3.8469;3.2465;3.0859;3.4957;3.065;2.8625;;
25-01-00 15:00;13.16;12.586;12.361;12.214;12.112;12.044;10.272;10.196;8.8203;6.8652;6.1011;4.5381;3.8362;3.2377;3.0755;3.4864;3.0547;2.8537;;
25-01-00 16:00;13.149;12.576;12.352;12.205;12.103;12.036;10.267;10.188;8.8104;6.8567;6.0966;4.525;3.8257;3.2289;3.0651;3.477;3.0444;2.8447;;
25-01-00 17:00;13.138;12.566;12.342;12.196;12.095;12.028;10.263;10.179;8.8008;6.8482;6.0921;4.5119;3.8153;3.2202;3.0547;3.4676;3.0341;2.8357;;
25-01-00 18:00;13.127;12.555;12.333;12.187;12.086;12.02;10.258;10.171;8.7913;6.8397;6.0875;4.4991;3.8053;3.2115;3.0442;3.4581;3.0237;2.8267;;
25-01-00 19:00;13.115;12.545;12.323;12.178;12.077;12.011;10.254;10.164;8.782;6.8312;6.0829;4.4866;3.7955;3.203;3.0338;3.4487;3.0134;2.8177;;
25-01-00 20:00;13.104;12.534;12.313;12.168;12.068;12.003;10.249;10.156;8.7728;6.8226;6.0783;4.4743;3.786;3.1947;3.0235;3.4394;3.0033;2.8088;;
25-01-00 21:00;13.092;12.524;12.303;12.159;12.06;11.994;10.245;10.148;8.7635;6.814;6.0735;4.462;3.7768;3.1864;3.0134;3.43;2.9932;2.8;;
25-01-00 22:00;13.08;12.513;12.293;12.15;12.051;11.985;10.241;10.141;8.7543;6.8053;6.0687;4.4498;3.7678;3.1781;3.0032;3.4205;2.9831;2.791;;
25-01-00 23:00;13.068;12.502;12.284;12.141;12.042;11.976;10.237;10.134;8.7451;6.7965;6.0638;4.4376;3.7588;3.1697;2.9929;3.4107;2.9729;2.782;;
26-01-00 00:00;13.056;12.492;12.274;12.132;12.034;11.968;10.234;10.127;8.7359;6.7875;6.0587;4.4254;3.75;3.1611;2.9826;3.4009;2.9628;2.773;;
26-01-00 01:00;13.044;12.481;12.264;12.122;12.025;11.959;10.23;10.12;8.7269;6.7785;6.0536;4.4133;3.7413;3.1524;2.9723;3.3908;2.9525;2.7638;;
26-01-00 02:00;13.032;12.471;12.254;12.113;12.016;11.95;10.226;10.114;8.7179;6.7695;6.0484;4.4012;3.7326;3.1436;2.9619;3.3807;2.9422;2.7545;;
26-01-00 03:00;13.019;12.46;12.244;12.104;12.008;11.941;10.223;10.107;8.7089;6.7604;6.0431;4.3892;3.7241;3.1347;2.9514;3.3704;2.9318;2.7451;;
26-01-00 04:00;13.007;12.449;12.235;12.095;11.999;11.931;10.22;10.101;8.6998;6.7514;6.0377;4.3774;3.7158;3.1257;2.9409;3.36;2.9215;2.7357;;
26-01-00 05:00;12.994;12.439;12.225;12.086;11.99;11.922;10.217;10.095;8.6906;6.7423;6.0322;4.3657;3.7075;3.1167;2.9305;3.3496;2.9112;2.7263;;
26-01-00 06:00;12.981;12.428;12.215;12.077;11.982;11.913;10.213;10.09;8.6813;6.7331;6.0266;4.3541;3.6995;3.1076;2.9201;3.3392;2.9009;2.7168;;
26-01-00 07:00;12.968;12.417;12.205;12.068;11.973;11.904;10.21;10.084;8.672;6.7239;6.0209;4.3426;3.6915;3.0985;2.9099;3.3287;2.8908;2.7073;;
26-01-00 08:00;12.955;12.406;12.195;12.059;11.965;11.894;10.208;10.079;8.6626;6.7144;6.015;4.3311;3.6837;3.0894;2.8998;3.3182;2.8808;2.6978;;
26-01-00 09:00;12.942;12.396;12.186;12.05;11.956;11.885;10.205;10.074;8.6532;6.7047;6.0089;4.3198;3.676;3.0802;2.8898;3.3077;2.8709;2.6882;;
26-01-00 10:00;12.93;12.385;12.176;12.041;11.948;11.875;10.202;10.069;8.6438;6.6949;6.0027;4.3086;3.6685;3.0711;2.88;3.2973;2.8612;2.6787;;
26-01-00 11:00;12.917;12.374;12.166;12.032;11.939;11.865;10.199;10.064;8.6342;6.6852;5.9962;4.2975;3.6611;3.0621;2.8703;3.2869;2.8517;2.6691;;
26-01-00 12:00;12.904;12.364;12.156;12.023;11.931;11.856;10.196;10.06;8.6246;6.6753;5.9895;4.2865;3.6537;3.0531;2.8609;3.2765;2.8423;2.6597;;
26-01-00 13:00;12.891;12.353;12.147;12.014;11.923;11.846;10.194;10.055;8.6149;6.6654;5.9825;4.2755;3.6463;3.0442;2.8516;3.2662;2.8332;2.6503;;
26-01-00 14:00;12.878;12.343;12.137;12.005;11.914;11.836;10.191;10.051;8.6052;6.6554;5.9752;4.2648;3.639;3.0353;2.8425;3.256;2.8242;2.6408;;
26-01-00 15:00;12.866;12.332;12.128;11.996;11.906;11.826;10.189;10.046;8.5956;6.6456;5.9675;4.2542;3.6317;3.0264;2.8335;3.2457;2.8153;2.6314;;
26-01-00 16:00;12.853;12.322;12.118;11.988;11.898;11.816;10.186;10.042;8.586;6.6359;5.9594;4.2437;3.6243;3.0175;2.8247;3.2354;2.8066;2.6219;;
26-01-00 17:00;12.841;12.312;12.109;11.979;11.89;11.806;10.184;10.038;8.5763;6.6264;5.9509;4.2334;3.617;3.0085;2.8159;3.2251;2.798;2.6124;;
26-01-00 18:00;12.829;12.302;12.1;11.971;11.883;11.796;10.181;10.034;8.5667;6.617;5.9419;4.2234;3.6098;2.9996;2.8073;3.2148;2.7895;2.6029;;
26-01-00 19:00;12.817;12.292;12.091;11.963;11.875;11.787;10.179;10.03;8.5571;6.6077;5.9323;4.2135;3.6026;2.9907;2.7988;3.2045;2.7811;2.5933;;
26-01-00 20:00;12.805;12.282;12.083;11.955;11.868;11.777;10.176;10.026;8.5475;6.5986;5.9222;4.2039;3.5956;2.9819;2.7905;3.1943;2.773;2.5839;;
26-01-00 21:00;12.793;12.272;12.074;11.947;11.861;11.767;10.174;10.022;8.5379;6.5897;5.9114;4.1944;3.5885;2.9731;2.7824;3.1842;2.7649;2.5745;;
26-01-00 22:00;12.782;12.263;12.066;11.94;11.854;11.757;10.171;10.018;8.5284;6.5811;5.9;4.1851;3.5815;2.9643;2.7744;3.1741;2.757;2.5652;;
26-01-00 23:00;12.77;12.254;12.057;11.932;11.847;11.748;10.169;10.015;8.5189;6.5727;5.888;4.1759;3.5745;2.9556;2.7664;3.164;2.7492;2.5559;;
27-01-00 00:00;12.759;12.244;12.049;11.925;11.84;11.738;10.166;10.011;8.5095;6.5645;5.8752;4.1669;3.5675;2.9468;2.7586;3.1539;2.7414;2.5468;;
27-01-00 01:00;12.748;12.235;12.041;11.918;11.833;11.728;10.164;10.007;8.5002;6.5565;5.8621;4.1579;3.5604;2.9381;2.7508;3.1439;2.7338;2.5377;;
27-01-00 02:00;12.737;12.226;12.033;11.91;11.827;11.719;10.162;10.004;8.4911;6.5487;5.8487;4.149;3.5533;2.9294;2.7432;3.1339;2.7263;2.5287;;
27-01-00 03:00;12.726;12.218;12.026;11.903;11.82;11.71;10.159;10;8.482;6.5412;5.835;4.14;3.5461;2.9206;2.7356;3.1238;2.7188;2.5196;;
27-01-00 04:00;12.715;12.209;12.018;11.896;11.814;11.7;10.157;9.9969;8.4731;6.534;5.8212;4.131;3.5388;2.9117;2.7279;3.1136;2.7112;2.5105;;
27-01-00 05:00;12.705;12.2;12.01;11.889;11.807;11.691;10.155;9.9935;8.4644;6.527;5.8073;4.1222;3.5314;2.9028;2.7201;3.1034;2.7036;2.5012;;
27-01-00 06:00;12.694;12.191;12.002;11.882;11.801;11.682;10.152;9.99;8.4557;6.5204;5.7933;4.1134;3.5241;2.8939;2.7123;3.0931;2.6959;2.4919;;
27-01-00 07:00;12.683;12.182;11.994;11.875;11.794;11.672;10.15;9.9865;8.4473;6.5141;5.7794;4.1048;3.5166;2.8849;2.7045;3.0828;2.6882;2.4826;;
27-01-00 08:00;12.672;12.173;11.986;11.868;11.788;11.663;10.147;9.983;8.4389;6.5081;5.7655;4.0962;3.5092;2.8758;2.6966;3.0723;2.6804;2.4733;;
27-01-00 09:00;12.66;12.164;11.978;11.861;11.781;11.653;10.145;9.9794;8.4308;6.5022;5.7518;4.0877;3.5016;2.8666;2.6885;3.0618;2.6724;2.464;;
27-01-00 10:00;12.649;12.154;11.97;11.853;11.774;11.643;10.142;9.9758;8.4227;6.4965;5.7384;4.0793;3.4941;2.8573;2.6803;3.0511;2.6644;2.4547;;
27-01-00 11:00;12.637;12.145;11.961;11.845;11.767;11.633;10.139;9.972;8.4146;6.4908;5.7252;4.071;3.4865;2.8478;2.672;3.0404;2.6562;2.4454;;
27-01-00 12:00;12.625;12.135;11.953;11.838;11.76;11.623;10.137;9.9682;8.4066;6.4852;5.7122;4.0628;3.479;2.8383;2.6636;3.0296;2.6479;2.4361;;
27-01-00 13:00;12.613;12.125;11.944;11.83;11.752;11.613;10.134;9.9643;8.3986;6.4796;5.6995;4.0548;3.4714;2.8287;2.6551;3.0186;2.6395;2.4269;;
27-01-00 14:00;12.601;12.115;11.935;11.821;11.745;11.602;10.131;9.9603;8.3906;6.4739;5.6869;4.0468;3.4639;2.8189;2.6464;3.0077;2.631;2.4177;;
27-01-00 15:00;12.589;12.104;11.926;11.813;11.737;11.592;10.128;9.9561;8.3826;6.4683;5.6746;4.039;3.4563;2.8091;2.6377;2.9966;2.6224;2.4086;;
27-01-00 16:00;12.576;12.094;11.916;11.805;11.729;11.581;10.124;9.9519;8.3745;6.4626;5.6625;4.0311;3.4486;2.7992;2.6288;2.9855;2.6136;2.3993;;
27-01-00 17:00;12.564;12.083;11.907;11.796;11.722;11.57;10.121;9.9475;8.3664;6.4568;5.6506;4.0234;3.4409;2.789;2.6197;2.9742;2.6046;2.3901;;
27-01-00 18:00;12.551;12.072;11.897;11.787;11.713;11.559;10.117;9.943;8.3583;6.4511;5.6388;4.0157;3.433;2.7788;2.6105;2.9627;2.5955;2.3808;;
27-01-00 19:00;12.538;12.061;11.888;11.779;11.705;11.549;10.114;9.9384;8.3501;6.4452;5.627;4.008;3.425;2.7684;2.6012;2.9512;2.5863;2.3715;;
27-01-00 20:00;12.525;12.05;11.878;11.77;11.697;11.538;10.11;9.9337;8.3418;6.4392;5.6155;4.0005;3.417;2.758;2.5918;2.9397;2.5771;2.3622;;
27-01-00 21:00;12.512;12.039;11.868;11.76;11.688;11.527;10.106;9.9289;8.3335;6.433;5.6041;3.993;3.4089;2.7476;2.5824;2.9282;2.5678;2.353;;
27-01-00 22:00;12.498;12.028;11.858;11.751;11.68;11.516;10.102;9.924;8.3251;6.4266;5.5926;3.9857;3.4009;2.7371;2.573;2.9166;2.5585;2.3437;;
27-01-00 23:00;12.485;12.016;11.847;11.742;11.671;11.505;10.098;9.9189;8.3167;6.4199;5.5812;3.9783;3.3929;2.7267;2.5636;2.9051;2.5492;2.3345;;
28-01-00 00:00;12.471;12.005;11.837;11.732;11.661;11.494;10.094;9.9136;8.3083;6.413;5.5699;3.971;3.3849;2.7162;2.5541;2.8936;2.5399;2.3253;;
28-01-00 01:00;12.457;11.993;11.826;11.722;11.652;11.483;10.089;9.908;8.3;6.4059;5.5586;3.9639;3.3769;2.7057;2.5447;2.882;2.5306;2.3162;;
28-01-00 02:00;12.442;11.98;11.815;11.711;11.642;11.472;10.084;9.9022;8.2916;6.3985;5.5474;3.957;3.369;2.6951;2.5352;2.8705;2.5212;2.307;;
28-01-00 03:00;12.427;11.968;11.803;11.701;11.632;11.461;10.079;9.8961;8.2834;6.3909;5.5363;3.9502;3.3611;2.6847;2.5258;2.859;2.5119;2.298;;
28-01-00 04:00;12.412;11.955;11.792;11.69;11.622;11.449;10.073;9.8897;8.2752;6.3831;5.5252;3.9435;3.3534;2.6743;2.5165;2.8478;2.5028;2.2891;;
28-01-00 05:00;12.397;11.942;11.78;11.679;11.611;11.438;10.067;9.8829;8.267;6.3749;5.5143;3.9369;3.3457;2.6641;2.5074;2.8367;2.4938;2.2803;;
28-01-00 06:00;12.382;11.929;11.768;11.667;11.6;11.427;10.061;9.8758;8.2588;6.3665;5.5035;3.9304;3.3383;2.654;2.4985;2.8258;2.4849;2.2718;;
28-01-00 07:00;12.367;11.916;11.755;11.656;11.589;11.416;10.054;9.8683;8.2507;6.3577;5.4928;3.924;3.3309;2.6442;2.4897;2.8151;2.4763;2.2635;;
28-01-00 08:00;12.352;11.902;11.743;11.644;11.577;11.405;10.047;9.8604;8.2425;6.3487;5.4823;3.9178;3.3238;2.6345;2.4812;2.8047;2.4679;2.2553;;
28-01-00 09:00;12.337;11.889;11.73;11.632;11.566;11.395;10.039;9.8521;8.2342;6.3394;5.4717;3.9117;3.3168;2.6251;2.4729;2.7945;2.4596;2.2474;;
28-01-00 10:00;12.322;11.876;11.718;11.62;11.554;11.384;10.03;9.8435;8.2259;6.33;5.4611;3.9056;3.3099;2.6159;2.4647;2.7845;2.4516;2.2397;;
28-01-00 11:00;12.307;11.863;11.706;11.608;11.542;11.373;10.021;9.8345;8.2175;6.3205;5.4504;3.8996;3.303;2.6068;2.4567;2.7747;2.4436;2.2321;;
28-01-00 12:00;12.293;11.85;11.694;11.597;11.531;11.363;10.01;9.8253;8.2091;6.3109;5.4396;3.8936;3.2963;2.5978;2.4488;2.7651;2.4358;2.2246;;
28-01-00 13:00;12.279;11.838;11.682;11.586;11.519;11.352;9.9997;9.8161;8.2007;6.3012;5.4288;3.8876;3.2896;2.5891;2.4411;2.7556;2.4282;2.2173;;
28-01-00 14:00;12.265;11.826;11.671;11.575;11.508;11.342;9.9889;9.8068;8.1921;6.2915;5.418;3.8817;3.2829;2.5805;2.4336;2.7463;2.4208;2.21;;
28-01-00 15:00;12.252;11.814;11.66;11.565;11.497;11.332;9.9777;9.7971;8.1833;6.2818;5.4071;3.8758;3.2762;2.5721;2.4262;2.7372;2.4135;2.2029;;
28-01-00 16:00;12.239;11.803;11.649;11.554;11.487;11.322;9.9662;9.7871;8.1744;6.2719;5.3962;3.8699;3.2696;2.564;2.419;2.7283;2.4064;2.1959;;
28-01-00 17:00;12.227;11.792;11.638;11.544;11.476;11.313;9.9544;9.7769;8.1653;6.2621;5.3855;3.8641;3.263;2.556;2.412;2.7195;2.3995;2.1891;;
28-01-00 18:00;12.214;11.781;11.628;11.535;11.466;11.303;9.9425;9.7667;8.156;6.2521;5.3749;3.8583;3.2565;2.5483;2.405;2.7114;2.3925;2.1817;;
28-01-00 19:00;12.203;11.771;11.618;11.525;11.456;11.294;9.9303;9.7562;8.1465;6.2422;5.3644;3.8526;3.2499;2.5407;2.3986;2.7027;2.3862;2.1758;;
28-01-00 20:00;12.191;11.76;11.609;11.516;11.446;11.285;9.9179;9.7457;8.1368;6.2322;5.3541;3.8468;3.2433;2.5333;2.3921;2.6945;2.3797;2.1693;;
28-01-00 21:00;12.18;11.751;11.6;11.507;11.437;11.276;9.9054;9.735;8.127;6.2222;5.3439;3.841;3.2367;2.5261;2.3859;2.6866;2.3735;2.163;;
28-01-00 22:00;12.169;11.741;11.59;11.499;11.427;11.267;9.8928;9.7241;8.1166;6.2121;5.3338;3.8353;3.2302;2.5191;2.3798;2.6788;2.3674;2.1568;;
28-01-00 23:00;12.159;11.732;11.582;11.49;11.418;11.259;9.8802;9.7131;8.1062;6.2019;5.3238;3.8296;3.2237;2.5124;2.3738;2.6713;2.3615;2.1507;;
29-01-00 00:00;12.148;11.722;11.573;11.482;11.408;11.25;9.8675;9.7021;8.0958;6.1914;5.3139;3.8239;3.2171;2.5058;2.3681;2.664;2.3557;2.1447;;
29-01-00 01:00;12.138;11.713;11.564;11.474;11.399;11.242;9.8548;9.6909;8.0854;6.1808;5.3039;3.8181;3.2106;2.4994;2.3625;2.6568;2.35;2.1389;;
29-01-00 02:00;12.128;11.705;11.556;11.466;11.39;11.233;9.842;9.6798;8.0751;6.1701;5.2939;3.8123;3.2038;2.493;2.3569;2.6497;2.3445;2.1331;;
29-01-00 03:00;12.119;11.696;11.548;11.458;11.381;11.225;9.8292;9.6684;8.065;6.1593;5.2839;3.8064;3.1971;2.4868;2.3515;2.6428;2.339;2.1273;;
29-01-00 04:00;12.109;11.688;11.54;11.45;11.373;11.217;9.8163;9.657;8.0551;6.1484;5.274;3.8005;3.1902;2.4808;2.3462;2.6359;2.3336;2.1217;;
29-01-00 05:00;12.1;11.68;11.532;11.442;11.364;11.209;9.8033;9.6455;8.0454;6.1375;5.264;3.7945;3.1833;2.4748;2.341;2.6292;2.3283;2.1161;;
29-01-00 06:00;12.091;11.672;11.525;11.435;11.355;11.201;9.7903;9.6339;8.0358;6.1266;5.254;3.7884;3.1762;2.469;2.3359;2.6227;2.3231;2.1106;;
29-01-00 07:00;12.083;11.664;11.518;11.428;11.347;11.193;9.7774;9.6224;8.0263;6.1157;5.244;3.7823;3.1691;2.4632;2.3308;2.6162;2.318;2.1052;;
29-01-00 08:00;12.075;11.657;11.511;11.421;11.339;11.185;9.7646;9.6108;8.017;6.1047;5.2339;3.776;3.1618;2.4575;2.3258;2.6098;2.3129;2.0998;;
29-01-00 09:00;12.067;11.65;11.504;11.414;11.331;11.178;9.752;9.5994;8.008;6.0937;5.2239;3.7696;3.1546;2.4518;2.3208;2.6033;2.3078;2.0944;;
29-01-00 10:00;12.06;11.644;11.498;11.408;11.323;11.17;9.7397;9.5882;7.9993;6.0826;5.2139;3.7633;3.1474;2.4461;2.3157;2.5969;2.3026;2.0889;;
29-01-00 11:00;12.053;11.638;11.492;11.402;11.316;11.163;9.7276;9.577;7.9907;6.0715;5.2039;3.7568;3.1402;2.4404;2.3107;2.5905;2.2975;2.0835;;
29-01-00 12:00;12.047;11.632;11.486;11.396;11.308;11.156;9.7159;9.566;7.9824;6.0604;5.194;3.7504;3.1331;2.4348;2.3057;2.5842;2.2924;2.0782;;
29-01-00 13:00;12.041;11.626;11.481;11.39;11.301;11.15;9.7046;9.5552;7.9743;6.0492;5.1842;3.7439;3.126;2.4293;2.3008;2.5779;2.2873;2.0729;;
29-01-00 14:00;12.035;11.621;11.476;11.385;11.295;11.143;9.6936;9.5446;7.9663;6.038;5.1744;3.7374;3.119;2.4238;2.2959;2.5718;2.2823;2.0677;;
29-01-00 15:00;12.03;11.616;11.471;11.38;11.288;11.137;9.683;9.5344;7.9585;6.0268;5.1646;3.7308;3.112;2.4184;2.2911;2.5657;2.2773;2.0625;;
29-01-00 16:00;12.025;11.611;11.466;11.375;11.282;11.131;9.6729;9.5246;7.9509;6.0157;5.1548;3.7242;3.105;2.4131;2.2864;2.5596;2.2724;2.0574;;
29-01-00 17:00;12.02;11.606;11.462;11.37;11.276;11.125;9.6632;9.5152;7.9436;6.0047;5.1451;3.7175;3.098;2.4078;2.2816;2.5537;2.2675;2.0523;;
29-01-00 18:00;12.015;11.602;11.457;11.365;11.27;11.12;9.654;9.5062;7.9364;5.9937;5.1353;3.7108;3.091;2.4025;2.2769;2.5477;2.2626;2.0473;;
29-01-00 19:00;12.011;11.598;11.453;11.361;11.265;11.114;9.6452;9.4976;7.9295;5.9827;5.1257;3.704;3.084;2.3973;2.2723;2.5419;2.2578;2.0423;;
29-01-00 20:00;12.007;11.594;11.449;11.357;11.259;11.109;9.6369;9.4894;7.923;5.9719;5.116;3.6972;3.077;2.3921;2.2677;2.5361;2.253;2.0374;;
