Time [yyyy-MM-dd HH:mm:ss];Water level at (PanKan2_B_A_B_ 0) [m AD];Water level at (PanKan2_B_A_A_ 1966_775) [m AD];Water level at (PanKan2_A_ 3170_907) [m AD]
29-01-00 20:00;11.88;11.88;12.078
29-01-00 21:00;11.875;11.875;12.074
29-01-00 22:00;11.87;11.87;12.07
29-01-00 23:00;11.866;11.866;12.065
30-01-00 00:00;11.862;11.862;12.062
30-01-00 01:00;11.858;11.858;12.058
30-01-00 02:00;11.854;11.854;12.054
30-01-00 03:00;11.851;11.851;12.051
30-01-00 04:00;11.848;11.848;12.048
30-01-00 05:00;11.844;11.844;12.045
30-01-00 06:00;11.841;11.841;12.042
30-01-00 07:00;11.837;11.837;12.038
30-01-00 08:00;11.834;11.834;12.034
30-01-00 09:00;11.83;11.83;12.03
30-01-00 10:00;11.825;11.825;12.026
30-01-00 11:00;11.821;11.821;12.021
30-01-00 12:00;11.816;11.816;12.016
30-01-00 13:00;11.811;11.811;12.011
30-01-00 14:00;11.805;11.805;12.005
30-01-00 15:00;11.799;11.799;11.999
30-01-00 16:00;11.793;11.793;11.993
30-01-00 17:00;11.787;11.787;11.986
30-01-00 18:00;11.78;11.78;11.98
30-01-00 19:00;11.774;11.774;11.973
30-01-00 20:00;11.767;11.767;11.966
30-01-00 21:00;11.759;11.759;11.958
30-01-00 22:00;11.752;11.752;11.951
30-01-00 23:00;11.744;11.744;11.943
31-01-00 00:00;11.737;11.737;11.935
