Time [yyyy-MM-dd HH:mm:ss];Water level at (51_A_B_ 4214_795) [m AD];Water level at (branch1_B_ 1434_988) [m AD];Water level at (Bovenrijn_A_ 2156_515) [m AD]
23-01-00 12:00;15.727;15.625;15.237
23-01-00 13:00;15.708;15.606;15.221
23-01-00 14:00;15.688;15.587;15.205
23-01-00 15:00;15.599;15.504;15.162
23-01-00 16:00;15.574;15.478;15.125
23-01-00 17:00;15.56;15.463;15.107
23-01-00 18:00;15.55;15.453;15.096
23-01-00 19:00;15.54;15.443;15.087
23-01-00 20:00;15.531;15.434;15.079
23-01-00 21:00;15.52;15.424;15.07
23-01-00 22:00;15.51;15.413;15.062
23-01-00 23:00;15.498;15.402;15.052
24-01-00 00:00;15.486;15.39;15.042
24-01-00 01:00;15.473;15.377;15.032
24-01-00 02:00;15.46;15.365;15.022
24-01-00 03:00;15.447;15.352;15.012
24-01-00 04:00;15.434;15.34;15.002
24-01-00 05:00;15.422;15.328;14.992
24-01-00 06:00;15.41;15.316;14.982
24-01-00 07:00;15.398;15.305;14.973
24-01-00 08:00;15.386;15.293;14.963
24-01-00 09:00;15.374;15.281;14.954
24-01-00 10:00;15.362;15.27;14.944
24-01-00 11:00;15.35;15.258;14.933
24-01-00 12:00;15.337;15.245;14.922
24-01-00 13:00;15.324;15.232;14.911
24-01-00 14:00;15.31;15.218;14.899
24-01-00 15:00;15.296;15.205;14.887
24-01-00 16:00;15.282;15.19;14.874
24-01-00 17:00;15.267;15.176;14.861
24-01-00 18:00;15.252;15.161;14.848
24-01-00 19:00;15.237;15.145;14.835
24-01-00 20:00;15.221;15.129;14.821
24-01-00 21:00;15.204;15.113;14.806
24-01-00 22:00;15.187;15.096;14.792
24-01-00 23:00;15.17;15.078;14.776
25-01-00 00:00;15.151;15.06;14.761
25-01-00 01:00;15.133;15.041;14.745
25-01-00 02:00;15.113;15.022;14.729
25-01-00 03:00;15.094;15.002;14.713
25-01-00 04:00;15.074;14.982;14.698
25-01-00 05:00;15.054;14.962;14.682
25-01-00 06:00;15.035;14.942;14.667
25-01-00 07:00;15.015;14.923;14.653
25-01-00 08:00;14.997;14.904;14.638
25-01-00 09:00;14.978;14.885;14.624
25-01-00 10:00;14.959;14.866;14.61
25-01-00 11:00;14.94;14.847;14.595
25-01-00 12:00;14.922;14.828;14.581
25-01-00 13:00;14.904;14.81;14.566
25-01-00 14:00;14.885;14.792;14.551
25-01-00 15:00;14.867;14.774;14.536
25-01-00 16:00;14.85;14.756;14.52
25-01-00 17:00;14.832;14.739;14.504
25-01-00 18:00;14.815;14.722;14.488
25-01-00 19:00;14.798;14.704;14.472
25-01-00 20:00;14.781;14.687;14.456
25-01-00 21:00;14.763;14.67;14.44
25-01-00 22:00;14.746;14.652;14.423
25-01-00 23:00;14.728;14.634;14.406
26-01-00 00:00;14.71;14.616;14.389
26-01-00 01:00;14.692;14.598;14.372
26-01-00 02:00;14.674;14.58;14.355
26-01-00 03:00;14.655;14.561;14.338
26-01-00 04:00;14.636;14.543;14.32
26-01-00 05:00;14.618;14.524;14.302
26-01-00 06:00;14.599;14.505;14.284
26-01-00 07:00;14.58;14.485;14.266
26-01-00 08:00;14.561;14.466;14.248
26-01-00 09:00;14.542;14.448;14.229
26-01-00 10:00;14.524;14.429;14.211
26-01-00 11:00;14.505;14.41;14.193
26-01-00 12:00;14.487;14.392;14.175
26-01-00 13:00;14.468;14.374;14.156
26-01-00 14:00;14.45;14.355;14.138
26-01-00 15:00;14.432;14.337;14.12
26-01-00 16:00;14.415;14.32;14.102
26-01-00 17:00;14.397;14.302;14.085
26-01-00 18:00;14.38;14.285;14.067
26-01-00 19:00;14.363;14.268;14.05
26-01-00 20:00;14.346;14.252;14.033
26-01-00 21:00;14.33;14.235;14.017
26-01-00 22:00;14.313;14.219;14
26-01-00 23:00;14.296;14.203;13.983
27-01-00 00:00;14.279;14.187;13.967
27-01-00 01:00;14.263;14.17;13.951
27-01-00 02:00;14.246;14.154;13.935
27-01-00 03:00;14.229;14.138;13.919
27-01-00 04:00;14.212;14.122;13.903
27-01-00 05:00;14.195;14.106;13.886
27-01-00 06:00;14.178;14.089;13.87
27-01-00 07:00;14.16;14.072;13.853
27-01-00 08:00;14.142;14.054;13.836
27-01-00 09:00;14.123;14.036;13.818
27-01-00 10:00;14.104;14.018;13.801
27-01-00 11:00;14.085;13.999;13.783
27-01-00 12:00;14.066;13.98;13.764
27-01-00 13:00;14.047;13.961;13.746
27-01-00 14:00;14.027;13.942;13.727
27-01-00 15:00;14.008;13.923;13.709
27-01-00 16:00;13.988;13.904;13.69
27-01-00 17:00;13.969;13.884;13.671
27-01-00 18:00;13.949;13.864;13.652
27-01-00 19:00;13.929;13.845;13.633
27-01-00 20:00;13.909;13.825;13.613
27-01-00 21:00;13.889;13.805;13.594
27-01-00 22:00;13.869;13.785;13.574
27-01-00 23:00;13.849;13.765;13.554
28-01-00 00:00;13.829;13.745;13.534
28-01-00 01:00;13.809;13.725;13.514
28-01-00 02:00;13.789;13.705;13.493
28-01-00 03:00;13.769;13.685;13.472
28-01-00 04:00;13.749;13.666;13.451
28-01-00 05:00;13.73;13.646;13.43
28-01-00 06:00;13.711;13.628;13.41
28-01-00 07:00;13.693;13.61;13.39
28-01-00 08:00;13.676;13.593;13.37
28-01-00 09:00;13.66;13.576;13.351
28-01-00 10:00;13.643;13.56;13.332
28-01-00 11:00;13.628;13.544;13.314
28-01-00 12:00;13.613;13.529;13.297
28-01-00 13:00;13.598;13.514;13.28
28-01-00 14:00;13.584;13.5;13.263
28-01-00 15:00;13.57;13.486;13.247
28-01-00 16:00;13.556;13.472;13.232
28-01-00 17:00;13.543;13.459;13.217
28-01-00 18:00;13.53;13.446;13.203
28-01-00 19:00;13.517;13.433;13.189
28-01-00 20:00;13.504;13.42;13.175
28-01-00 21:00;13.492;13.408;13.161
28-01-00 22:00;13.48;13.395;13.148
28-01-00 23:00;13.468;13.383;13.136
29-01-00 00:00;13.456;13.371;13.123
29-01-00 01:00;13.444;13.359;13.111
29-01-00 02:00;13.432;13.348;13.099
29-01-00 03:00;13.421;13.336;13.087
29-01-00 04:00;13.41;13.325;13.076
29-01-00 05:00;13.399;13.314;13.065
29-01-00 06:00;13.389;13.304;13.055
29-01-00 07:00;13.38;13.294;13.045
29-01-00 08:00;13.371;13.285;13.036
29-01-00 09:00;13.362;13.277;13.028
29-01-00 10:00;13.355;13.269;13.02
29-01-00 11:00;13.347;13.261;13.012
29-01-00 12:00;13.341;13.255;13.005
29-01-00 13:00;13.334;13.248;12.999
29-01-00 14:00;13.328;13.242;12.992
29-01-00 15:00;13.323;13.237;12.987
29-01-00 16:00;13.318;13.231;12.981
29-01-00 17:00;13.313;13.226;12.976
29-01-00 18:00;13.309;13.222;12.972
29-01-00 19:00;13.304;13.218;12.967
29-01-00 20:00;13.3;13.213;12.963
29-01-00 21:00;13.297;13.21;12.959
29-01-00 22:00;13.293;13.206;12.956
29-01-00 23:00;13.29;13.203;12.952
30-01-00 00:00;13.287;13.2;12.949
30-01-00 01:00;13.284;13.197;12.946
30-01-00 02:00;13.281;13.194;12.943
30-01-00 03:00;13.279;13.191;12.94
30-01-00 04:00;13.276;13.188;12.937
30-01-00 05:00;13.273;13.185;12.934
30-01-00 06:00;13.269;13.182;12.931
30-01-00 07:00;13.265;13.178;12.927
30-01-00 08:00;13.261;13.173;12.922
30-01-00 09:00;13.256;13.168;12.918
30-01-00 10:00;13.25;13.163;12.913
30-01-00 11:00;13.244;13.157;12.907
30-01-00 12:00;13.238;13.151;12.901
30-01-00 13:00;13.232;13.144;12.895
30-01-00 14:00;13.225;13.137;12.888
30-01-00 15:00;13.217;13.13;12.881
30-01-00 16:00;13.21;13.122;12.874
30-01-00 17:00;13.202;13.115;12.866
30-01-00 18:00;13.194;13.106;12.859
30-01-00 19:00;13.185;13.098;12.851
30-01-00 20:00;13.177;13.09;12.842
30-01-00 21:00;13.168;13.081;12.834
30-01-00 22:00;13.159;13.072;12.825
30-01-00 23:00;13.15;13.063;12.816
31-01-00 00:00;13.141;13.053;12.807
