Time [yyyy-MM-dd HH:mm:ss],883.00_IJ: Discharge at (IJssel02_B_A_ 865_75)_ Flow1D [m³/s],883.00_IJ: Discharge at (IJssel02_B_A_ 865_75)_ Flow1D [m³/s]
2000-01-23 09:00:00,1332_6,1332_6
2000-01-23 10:00:00,1327_7,1327_7
2000-01-23 11:00:00,1323_2,1323_2
2000-01-23 12:00:00,1319_2,1319_2
2000-01-23 13:00:00,1315_5,1315_5
2000-01-23 14:00:00,1311_9,1311_9
2000-01-23 15:00:00,1308_3,1308_3
2000-01-23 16:00:00,1304_6,1304_6
2000-01-23 17:00:00,1300_8,1300_8
2000-01-23 18:00:00,1296_9,1296_9
2000-01-23 19:00:00,1292_8,1292_8
2000-01-23 20:00:00,1288_6,1288_6
2000-01-23 21:00:00,1284_3,1284_3
2000-01-23 22:00:00,1279_9,1279_9
2000-01-23 23:00:00,1275_1,1275_1
2000-01-24 00:00:00,1270_1,1270_1
2000-01-24 01:00:00,1264_7,1264_7
2000-01-24 02:00:00,1259,1259
2000-01-24 03:00:00,1252_9,1252_9
2000-01-24 04:00:00,1246_8,1246_8
2000-01-24 05:00:00,1240_6,1240_6
2000-01-24 06:00:00,1234_4,1234_4
2000-01-24 07:00:00,1228,1228
2000-01-24 08:00:00,1221_5,1221_5
2000-01-24 09:00:00,1215,1215
2000-01-24 10:00:00,1208_3,1208_3
2000-01-24 11:00:00,1201_5,1201_5
2000-01-24 12:00:00,1194_4,1194_4
2000-01-24 13:00:00,1187,1187
2000-01-24 14:00:00,1179_4,1179_4
2000-01-24 15:00:00,1171_6,1171_6
2000-01-24 16:00:00,1163_6,1163_6
2000-01-24 17:00:00,1155_5,1155_5
2000-01-24 18:00:00,1147_2,1147_2
2000-01-24 19:00:00,1138_9,1138_9
2000-01-24 20:00:00,1130_5,1130_5
2000-01-24 21:00:00,1122,1122
2000-01-24 22:00:00,1113_5,1113_5
2000-01-24 23:00:00,1104_9,1104_9
2000-01-25 00:00:00,1096_4,1096_4
2000-01-25 01:00:00,1087_9,1087_9
2000-01-25 02:00:00,1079_5,1079_5
2000-01-25 03:00:00,1071_4,1071_4
2000-01-25 04:00:00,1063_6,1063_6
2000-01-25 05:00:00,1055_9,1055_9
2000-01-25 06:00:00,1048_5,1048_5
2000-01-25 07:00:00,1041_3,1041_3
2000-01-25 08:00:00,1034_2,1034_2
2000-01-25 09:00:00,1027_4,1027_4
2000-01-25 10:00:00,1020_7,1020_7
2000-01-25 11:00:00,1014_3,1014_3
2000-01-25 12:00:00,1008_1,1008_1
2000-01-25 13:00:00,1002_1,1002_1
2000-01-25 14:00:00,996_46,996_46
2000-01-25 15:00:00,991_03,991_03
2000-01-25 16:00:00,986_15,986_15
2000-01-25 17:00:00,981_5,981_5
2000-01-25 18:00:00,976_91,976_91
2000-01-25 19:00:00,972_35,972_35
2000-01-25 20:00:00,967_84,967_84
2000-01-25 21:00:00,963_18,963_18
2000-01-25 22:00:00,958_35,958_35
2000-01-25 23:00:00,953_59,953_59
2000-01-26 00:00:00,948_93,948_93
2000-01-26 01:00:00,944_36,944_36
2000-01-26 02:00:00,939_92,939_92
2000-01-26 03:00:00,935_52,935_52
2000-01-26 04:00:00,931_17,931_17
2000-01-26 05:00:00,926_85,926_85
2000-01-26 06:00:00,922_61,922_61
2000-01-26 07:00:00,918_46,918_46
2000-01-26 08:00:00,914_39,914_39
2000-01-26 09:00:00,910_4,910_4
2000-01-26 10:00:00,906_48,906_48
2000-01-26 11:00:00,902_63,902_63
2000-01-26 12:00:00,898_85,898_85
2000-01-26 13:00:00,895_12,895_12
2000-01-26 14:00:00,891_43,891_43
2000-01-26 15:00:00,887_76,887_76
2000-01-26 16:00:00,884_12,884_12
2000-01-26 17:00:00,880_52,880_52
2000-01-26 18:00:00,876_96,876_96
2000-01-26 19:00:00,873_4,873_4
2000-01-26 20:00:00,869_77,869_77
2000-01-26 21:00:00,865_97,865_97
2000-01-26 22:00:00,862_17,862_17
2000-01-26 23:00:00,858_4,858_4
2000-01-27 00:00:00,854_67,854_67
2000-01-27 01:00:00,851,851
2000-01-27 02:00:00,847_45,847_45
2000-01-27 03:00:00,844_11,844_11
2000-01-27 04:00:00,840_96,840_96
2000-01-27 05:00:00,837_97,837_97
2000-01-27 06:00:00,835,835
2000-01-27 07:00:00,832_14,832_14
2000-01-27 08:00:00,829_43,829_43
2000-01-27 09:00:00,826_84,826_84
2000-01-27 10:00:00,824_37,824_37
2000-01-27 11:00:00,822,822
2000-01-27 12:00:00,819_72,819_72
2000-01-27 13:00:00,817_55,817_55
2000-01-27 14:00:00,815_15,815_15
2000-01-27 15:00:00,812_58,812_58
2000-01-27 16:00:00,810_08,810_08
2000-01-27 17:00:00,807_61,807_61
2000-01-27 18:00:00,805_15,805_15
2000-01-27 19:00:00,802_68,802_68
2000-01-27 20:00:00,800_22,800_22
2000-01-27 21:00:00,797_77,797_77
2000-01-27 22:00:00,795_32,795_32
2000-01-27 23:00:00,792_89,792_89
2000-01-28 00:00:00,790_48,790_48
2000-01-28 01:00:00,788_08,788_08
2000-01-28 02:00:00,785_71,785_71
2000-01-28 03:00:00,783_38,783_38
2000-01-28 04:00:00,781_09,781_09
2000-01-28 05:00:00,778_84,778_84
2000-01-28 06:00:00,776_63,776_63
2000-01-28 07:00:00,774_44,774_44
2000-01-28 08:00:00,772_28,772_28
2000-01-28 09:00:00,770_15,770_15
2000-01-28 10:00:00,768_04,768_04
2000-01-28 11:00:00,765_94,765_94
2000-01-28 12:00:00,763_85,763_85
2000-01-28 13:00:00,761_78,761_78
2000-01-28 14:00:00,759_72,759_72
2000-01-28 15:00:00,757_69,757_69
2000-01-28 16:00:00,755_67,755_67
2000-01-28 17:00:00,753_66,753_66
2000-01-28 18:00:00,751_68,751_68
2000-01-28 19:00:00,749_71,749_71
2000-01-28 20:00:00,747_77,747_77
2000-01-28 21:00:00,745_84,745_84
2000-01-28 22:00:00,743_93,743_93
2000-01-28 23:00:00,742_03,742_03
2000-01-29 00:00:00,740_08,740_08
2000-01-29 01:00:00,738_09,738_09
2000-01-29 02:00:00,736_16,736_16
2000-01-29 03:00:00,734_33,734_33
2000-01-29 04:00:00,732_59,732_59
2000-01-29 05:00:00,730_9,730_9
2000-01-29 06:00:00,729_26,729_26
2000-01-29 07:00:00,727_67,727_67
2000-01-29 08:00:00,726_1,726_1
2000-01-29 09:00:00,724_56,724_56
2000-01-29 10:00:00,723_05,723_05
2000-01-29 11:00:00,721_55,721_55
2000-01-29 12:00:00,720_07,720_07
2000-01-29 13:00:00,718_6,718_6
2000-01-29 14:00:00,717_15,717_15
2000-01-29 15:00:00,715_72,715_72
2000-01-29 16:00:00,714_29,714_29
2000-01-29 17:00:00,712_88,712_88
2000-01-29 18:00:00,711_47,711_47
2000-01-29 19:00:00,710_07,710_07
2000-01-29 20:00:00,708_68,708_68
2000-01-29 21:00:00,707_3,707_3
2000-01-29 22:00:00,705_92,705_92
2000-01-29 23:00:00,704_54,704_54
2000-01-30 00:00:00,703_16,703_16
2000-01-30 01:00:00,701_8,701_8
2000-01-30 02:00:00,700_54,700_54
2000-01-30 03:00:00,699_39,699_39
2000-01-30 04:00:00,698_34,698_34
2000-01-30 05:00:00,697_34,697_34
2000-01-30 06:00:00,696_39,696_39
2000-01-30 07:00:00,695_47,695_47
2000-01-30 08:00:00,694_57,694_57
2000-01-30 09:00:00,693_68,693_68
2000-01-30 10:00:00,692_82,692_82
2000-01-30 11:00:00,691_96,691_96
2000-01-30 12:00:00,691_12,691_12
2000-01-30 13:00:00,690_32,690_32
2000-01-30 14:00:00,689_55,689_55
2000-01-30 15:00:00,688_79,688_79
2000-01-30 16:00:00,688_04,688_04
2000-01-30 17:00:00,687_29,687_29
2000-01-30 18:00:00,686_54,686_54
2000-01-30 19:00:00,685_79,685_79
2000-01-30 20:00:00,685_04,685_04
2000-01-30 21:00:00,684_3,684_3
2000-01-30 22:00:00,683_55,683_55
2000-01-30 23:00:00,682_8,682_8
2000-01-31 00:00:00,682_05,682_05
