Time [yyyy-MM-dd HH:mm:ss],50848ObsUS: Discharge at (IJssel04_A_ 109_4015)_ Flow1D [m³/s]
2000-01-05 16:00:00,759_55
2000-01-05 17:00:00,762_45
2000-01-05 18:00:00,765_38
2000-01-05 19:00:00,768_32
2000-01-05 20:00:00,771_27
2000-01-05 21:00:00,774_24
2000-01-05 22:00:00,777_22
2000-01-05 23:00:00,780_12
2000-01-06 00:00:00,782_99
2000-01-06 01:00:00,785_85
2000-01-06 02:00:00,788_68
2000-01-06 03:00:00,791_51
2000-01-06 04:00:00,794_33
2000-01-06 05:00:00,797_16
2000-01-06 06:00:00,799_98
2000-01-06 07:00:00,802_78
2000-01-06 08:00:00,805_56
2000-01-06 09:00:00,808_32
2000-01-06 10:00:00,811_1
2000-01-06 11:00:00,813_92
2000-01-06 12:00:00,816_78
2000-01-06 13:00:00,819_7
2000-01-06 14:00:00,822_69
2000-01-06 15:00:00,825_72
2000-01-06 16:00:00,828_8
2000-01-06 17:00:00,831_91
2000-01-06 18:00:00,835_08
2000-01-06 19:00:00,838_28
2000-01-06 20:00:00,841_52
2000-01-06 21:00:00,844_82
2000-01-06 22:00:00,848_16
2000-01-06 23:00:00,851_55
2000-01-07 00:00:00,855_37
2000-01-07 01:00:00,859_71
2000-01-07 02:00:00,864_31
2000-01-07 03:00:00,869_1
2000-01-07 04:00:00,874_09
2000-01-07 05:00:00,879_21
2000-01-07 06:00:00,884_47
2000-01-07 07:00:00,889_32
2000-01-07 08:00:00,894_04
2000-01-07 09:00:00,898_71
2000-01-07 10:00:00,903_38
2000-01-07 11:00:00,908_05
2000-01-07 12:00:00,912_75
2000-01-07 13:00:00,916_95
2000-01-07 14:00:00,920_94
2000-01-07 15:00:00,924_29
2000-01-07 16:00:00,927_35
2000-01-07 17:00:00,930_19
2000-01-07 18:00:00,932_86
2000-01-07 19:00:00,935_39
2000-01-07 20:00:00,937_81
2000-01-07 21:00:00,939_62
2000-01-07 22:00:00,941_1
2000-01-07 23:00:00,942_38
2000-01-08 00:00:00,943_54
2000-01-08 01:00:00,944_61
2000-01-08 02:00:00,945_58
2000-01-08 03:00:00,946_74
2000-01-08 04:00:00,948_42
2000-01-08 05:00:00,950_33
2000-01-08 06:00:00,952_36
2000-01-08 07:00:00,954_47
2000-01-08 08:00:00,956_65
2000-01-08 09:00:00,958_89
2000-01-08 10:00:00,961_19
2000-01-08 11:00:00,963_5
2000-01-08 12:00:00,965_77
2000-01-08 13:00:00,968_03
2000-01-08 14:00:00,970_31
2000-01-08 15:00:00,972_61
2000-01-08 16:00:00,974_96
2000-01-08 17:00:00,977_35
2000-01-08 18:00:00,979_8
2000-01-08 19:00:00,982_31
2000-01-08 20:00:00,984_88
2000-01-08 21:00:00,987_52
2000-01-08 22:00:00,990_23
2000-01-08 23:00:00,993_01
2000-01-09 00:00:00,995_86
2000-01-09 01:00:00,998_76
2000-01-09 02:00:00,1001_7
2000-01-09 03:00:00,1004_8
2000-01-09 04:00:00,1007_8
2000-01-09 05:00:00,1010_9
2000-01-09 06:00:00,1014
2000-01-09 07:00:00,1017_1
2000-01-09 08:00:00,1020_3
2000-01-09 09:00:00,1023_4
2000-01-09 10:00:00,1026_5
2000-01-09 11:00:00,1029_9
2000-01-09 12:00:00,1033_2
