Time [yyyy-MM-dd HH:mm:ss],50878ObsUS: Discharge at (IJssel02_A_ 960_331)_ Flow1D [m³/s]
2000-01-05 16:00:00,630_04
2000-01-05 17:00:00,630_34
2000-01-05 18:00:00,630_64
2000-01-05 19:00:00,630_93
2000-01-05 20:00:00,631_22
2000-01-05 21:00:00,631_52
2000-01-05 22:00:00,631_81
2000-01-05 23:00:00,632_11
2000-01-06 00:00:00,632_4
2000-01-06 01:00:00,632_82
2000-01-06 02:00:00,633_68
2000-01-06 03:00:00,634_94
2000-01-06 04:00:00,636_46
2000-01-06 05:00:00,638_16
2000-01-06 06:00:00,640
2000-01-06 07:00:00,641_93
2000-01-06 08:00:00,643_93
2000-01-06 09:00:00,645_99
2000-01-06 10:00:00,648_09
2000-01-06 11:00:00,650_22
2000-01-06 12:00:00,652_4
2000-01-06 13:00:00,654_6
2000-01-06 14:00:00,656_81
2000-01-06 15:00:00,659_03
2000-01-06 16:00:00,661_26
2000-01-06 17:00:00,663_48
2000-01-06 18:00:00,665_69
2000-01-06 19:00:00,667_91
2000-01-06 20:00:00,670_13
2000-01-06 21:00:00,672_35
2000-01-06 22:00:00,674_58
2000-01-06 23:00:00,676_81
2000-01-07 00:00:00,679_04
2000-01-07 01:00:00,681_38
2000-01-07 02:00:00,684_13
2000-01-07 03:00:00,687_27
2000-01-07 04:00:00,690_67
2000-01-07 05:00:00,694_22
2000-01-07 06:00:00,697_88
2000-01-07 07:00:00,701_64
2000-01-07 08:00:00,705_46
2000-01-07 09:00:00,709_32
2000-01-07 10:00:00,713_2
2000-01-07 11:00:00,717_09
2000-01-07 12:00:00,720_99
2000-01-07 13:00:00,724_88
2000-01-07 14:00:00,728_77
2000-01-07 15:00:00,732_68
2000-01-07 16:00:00,736_53
2000-01-07 17:00:00,740_47
2000-01-07 18:00:00,744_51
2000-01-07 19:00:00,748_58
2000-01-07 20:00:00,752_66
2000-01-07 21:00:00,756_75
2000-01-07 22:00:00,760_85
2000-01-07 23:00:00,764_96
2000-01-08 00:00:00,769_09
2000-01-08 01:00:00,773_29
2000-01-08 02:00:00,777_71
2000-01-08 03:00:00,782_31
2000-01-08 04:00:00,787_05
2000-01-08 05:00:00,791_89
2000-01-08 06:00:00,796_8
2000-01-08 07:00:00,801_77
2000-01-08 08:00:00,806_79
2000-01-08 09:00:00,811_84
2000-01-08 10:00:00,816_82
2000-01-08 11:00:00,821_71
2000-01-08 12:00:00,826_56
2000-01-08 13:00:00,831_37
2000-01-08 14:00:00,836_16
2000-01-08 15:00:00,840_95
2000-01-08 16:00:00,845_76
2000-01-08 17:00:00,850_58
2000-01-08 18:00:00,855_4
2000-01-08 19:00:00,860_22
2000-01-08 20:00:00,865_01
2000-01-08 21:00:00,869_78
2000-01-08 22:00:00,874_55
2000-01-08 23:00:00,879_31
2000-01-09 00:00:00,884_08
2000-01-09 01:00:00,888_9
2000-01-09 02:00:00,893_91
2000-01-09 03:00:00,899_17
2000-01-09 04:00:00,904_61
2000-01-09 05:00:00,910_13
2000-01-09 06:00:00,915_7
2000-01-09 07:00:00,921_25
2000-01-09 08:00:00,926_55
2000-01-09 09:00:00,931_6
2000-01-09 10:00:00,936_33
2000-01-09 11:00:00,941_04
2000-01-09 12:00:00,946_03
2000-01-09 13:00:00,951_35
