Time [yyyy-MM-dd HH:mm:ss];Discharge at (PanKan2_B_A_B_ 92_347) [m³/s];Discharge at (PanKan2_B_A_A_ 1638_979) [m³/s];Discharge at (PanKan2_A_ 2774_544) [m³/s]
24-01-00 12:00;2797.3;2796.3;2789.6
24-01-00 13:00;2780.2;2779.2;2772.5
24-01-00 14:00;2763.3;2762.3;2755.6
24-01-00 15:00;2746.6;2745.6;2739
24-01-00 16:00;2730;2729;2722.4
24-01-00 17:00;2713.4;2712.4;2705.7
24-01-00 18:00;2696.8;2695.8;2689.1
24-01-00 19:00;2680.3;2679.2;2672.5
24-01-00 20:00;2663.8;2662.8;2656.1
24-01-00 21:00;2647.4;2646.4;2639.7
24-01-00 22:00;2631.2;2630.1;2623.4
24-01-00 23:00;2615.1;2614;2607.3
25-01-00 00:00;2599.2;2598;2591.3
25-01-00 01:00;2583.4;2582.2;2575.5
25-01-00 02:00;2567.8;2566.6;2559.8
25-01-00 03:00;2552.5;2551.3;2544.4
25-01-00 04:00;2537.5;2536.3;2529.5
25-01-00 05:00;2523;2521.8;2514.9
25-01-00 06:00;2509;2507.7;2501
25-01-00 07:00;2495.6;2494.3;2487.5
25-01-00 08:00;2482.6;2481.3;2474.5
25-01-00 09:00;2470;2468.6;2461.8
25-01-00 10:00;2457.6;2456.2;2449.3
25-01-00 11:00;2445.5;2444;2436.9
25-01-00 12:00;2433.5;2432;2424.7
25-01-00 13:00;2421.6;2419.9;2412.3
25-01-00 14:00;2409.8;2408;2400
25-01-00 15:00;2398.2;2396.1;2387.8
25-01-00 16:00;2387;2384.6;2375.5
25-01-00 17:00;2376.3;2373.5;2363.6
25-01-00 18:00;2365.7;2362.5;2351.7
25-01-00 19:00;2355.1;2351.5;2339.9
25-01-00 20:00;2344.1;2340.3;2328.1
25-01-00 21:00;2333;2329;2316.4
25-01-00 22:00;2321.8;2317.7;2304.7
25-01-00 23:00;2310.7;2306.4;2293
26-01-00 00:00;2299.6;2295.2;2281.4
26-01-00 01:00;2288.5;2283.9;2269.7
26-01-00 02:00;2277.6;2272.9;2258.1
26-01-00 03:00;2266.9;2262.1;2246.7
26-01-00 04:00;2256.5;2251.5;2235.5
26-01-00 05:00;2246.4;2241.3;2224.5
26-01-00 06:00;2236.8;2231.5;2213.9
26-01-00 07:00;2227.8;2222.2;2203.6
26-01-00 08:00;2219.3;2213.5;2194
26-01-00 09:00;2211.9;2205.9;2185.1
26-01-00 10:00;2205.4;2199.2;2177.1
26-01-00 11:00;2198.9;2192.5;2169.8
26-01-00 12:00;2192.3;2185.7;2162.7
26-01-00 13:00;2185.5;2178.9;2155.6
26-01-00 14:00;2178.9;2172.1;2148.8
26-01-00 15:00;2172.3;2165.5;2142
26-01-00 16:00;2165.6;2158.8;2135.3
26-01-00 17:00;2159;2152.1;2128.6
26-01-00 18:00;2152.4;2145.4;2121.9
26-01-00 19:00;2145.9;2138.9;2115.5
26-01-00 20:00;2139.6;2132.6;2109.2
26-01-00 21:00;2133.3;2126.3;2103
26-01-00 22:00;2127.2;2120.1;2096.9
26-01-00 23:00;2121.1;2114.1;2091
27-01-00 00:00;2115.2;2108.1;2085.2
27-01-00 01:00;2109.4;2102.3;2079.6
27-01-00 02:00;2103.7;2096.6;2074.1
27-01-00 03:00;2098.1;2091.1;2068.6
27-01-00 04:00;2092.6;2085.5;2063.1
27-01-00 05:00;2087;2079.8;2057.5
27-01-00 06:00;2081;2073.9;2051.6
27-01-00 07:00;2073.2;2066;2044.6
27-01-00 08:00;2068.8;2061.2;2038.3
27-01-00 09:00;2062.9;2055.3;2032.1
27-01-00 10:00;2056.9;2049.1;2025.8
27-01-00 11:00;2050.5;2042.8;2019.3
27-01-00 12:00;2044.1;2036.3;2012.6
27-01-00 13:00;2037.5;2029.5;2005.8
27-01-00 14:00;2030.7;2022.6;1998.9
27-01-00 15:00;2023.7;2015.8;1992
27-01-00 16:00;2016.8;2008.9;1985.1
27-01-00 17:00;2009.8;2002;1978.1
27-01-00 18:00;2002.8;1995;1971.2
27-01-00 19:00;1995.8;1988.1;1964.2
27-01-00 20:00;1988.6;1981;1957.2
27-01-00 21:00;1981.4;1973.9;1950.3
27-01-00 22:00;1974.2;1966.7;1943.3
27-01-00 23:00;1967;1959.5;1936.3
28-01-00 00:00;1959.6;1952.3;1929.3
28-01-00 01:00;1952.2;1945;1922.2
28-01-00 02:00;1944.7;1937.5;1914.9
28-01-00 03:00;1937;1930;1907.6
28-01-00 04:00;1929.4;1922.4;1900.4
28-01-00 05:00;1921.9;1915;1893.4
28-01-00 06:00;1914.5;1907.9;1886.8
28-01-00 07:00;1907.5;1901;1880.5
28-01-00 08:00;1900.7;1894.5;1874.7
28-01-00 09:00;1894.1;1888.2;1869.1
28-01-00 10:00;1887.8;1882.1;1863.7
28-01-00 11:00;1881.7;1876.4;1858.7
28-01-00 12:00;1876;1870.9;1854
28-01-00 13:00;1870.6;1865.8;1849.6
28-01-00 14:00;1865.4;1860.9;1845.4
28-01-00 15:00;1860.4;1856.1;1841.3
28-01-00 16:00;1855.7;1851.7;1837.5
28-01-00 17:00;1851.1;1847.4;1833.8
28-01-00 18:00;1846.8;1843.2;1830.3
28-01-00 19:00;1842.7;1839.3;1826.9
28-01-00 20:00;1838.8;1835.6;1823.6
28-01-00 21:00;1835;1832;1820.5
28-01-00 22:00;1831.4;1828.6;1817.5
28-01-00 23:00;1827.9;1825.2;1814.5
29-01-00 00:00;1824.5;1822;1811.6
29-01-00 01:00;1821.2;1818.8;1808.8
29-01-00 02:00;1818;1815.8;1806
29-01-00 03:00;1814.8;1812.8;1803.2
29-01-00 04:00;1811.8;1809.9;1800.7
29-01-00 05:00;1809;1807.2;1798.3
29-01-00 06:00;1806.5;1804.8;1796.2
29-01-00 07:00;1804.1;1802.5;1794.3
29-01-00 08:00;1801.9;1800.5;1792.6
29-01-00 09:00;1800;1798.6;1791.1
29-01-00 10:00;1798.2;1796.9;1789.8
29-01-00 11:00;1796.6;1795.4;1788.6
29-01-00 12:00;1795.2;1794.1;1787.5
29-01-00 13:00;1793.8;1792.8;1786.5
29-01-00 14:00;1792.6;1791.7;1785.7
29-01-00 15:00;1791.5;1790.7;1784.8
29-01-00 16:00;1790.6;1789.8;1784.1
29-01-00 17:00;1789.6;1788.9;1783.5
29-01-00 18:00;1788.8;1788.1;1782.9
29-01-00 19:00;1788;1787.4;1782.4
29-01-00 20:00;1787.3;1786.7;1781.9
29-01-00 21:00;1786.7;1786.1;1781.4
29-01-00 22:00;1786;1785.5;1781
29-01-00 23:00;1785.5;1785;1780.6
30-01-00 00:00;1784.9;1784.5;1780.2
30-01-00 01:00;1784.4;1784;1779.8
30-01-00 02:00;1784;1783.6;1779.5
30-01-00 03:00;1783.5;1783.1;1779.1
30-01-00 04:00;1783;1782.6;1778.6
30-01-00 05:00;1782.3;1781.9;1777.9
30-01-00 06:00;1781.4;1781.1;1777
30-01-00 07:00;1780.4;1780;1775.8
30-01-00 08:00;1779.1;1778.7;1774.5
30-01-00 09:00;1777.7;1777.3;1772.9
30-01-00 10:00;1776.1;1775.6;1771.1
30-01-00 11:00;1774.3;1773.8;1769.1
30-01-00 12:00;1772.4;1771.9;1767
30-01-00 13:00;1770.3;1769.8;1764.8
30-01-00 14:00;1768.1;1767.5;1762.5
30-01-00 15:00;1765.7;1765.2;1760
30-01-00 16:00;1763.3;1762.7;1757.4
30-01-00 17:00;1760.7;1760.1;1754.8
30-01-00 18:00;1758.1;1757.5;1752.1
30-01-00 19:00;1755.4;1754.8;1749.3
30-01-00 20:00;1752.7;1752.1;1746.5
30-01-00 21:00;1749.9;1749.2;1743.6
30-01-00 22:00;1747;1746.3;1740.6
30-01-00 23:00;1744;1743.4;1737.6
31-01-00 00:00;1741;1740.4;1734.7
